datetime,open,high,low,close,volume
1569504600000,24.75,24.85,24.01,24.38,37165
1569505500000,24.39,24.41,24.25,24.295,3530
1569506400000,24.35,24.42,24.04,24.1,13141
1569507300000,24.09,24.23,23.97,24.23,7130
1569508200000,24.215,24.23,24.05,24.13,10561
1569509100000,24.15,24.23,24.0586,24.1722,5759
1569510000000,24.19,24.23,24.03,24.11,30521
1569510900000,24.16,24.18,23.94,24.01,34224
1569511800000,24.04,24.2427,24.0275,24.2427,13096
1569512700000,24.26,24.32,24.14,24.32,5300
1569513600000,24.27,24.37,24.27,24.3,2700
1569514500000,24.3,24.35,24.23,24.35,7724
1569515400000,24.3302,24.47,24.3302,24.44,6320
1569516300000,24.47,24.47,24.32,24.32,2768
1569517200000,24.34,24.38,24.2421,24.33,3461
1569518100000,24.3,24.33,24.28,24.285,3200
1569519000000,24.33,24.45,24.33,24.45,3476
1569519900000,24.45,24.53,24.43,24.53,4758
1569520800000,24.54,24.65,24.45,24.65,5923
1569521700000,24.62,24.73,24.61,24.65,7728
1569522600000,24.64,24.658,24.56,24.56,4100
1569523500000,24.58,24.62,24.56,24.56,3644
1569524400000,24.51,24.58,24.49,24.545,5735
1569525300000,24.54,24.6235,24.54,24.61,5250
1569526200000,24.63,24.69,24.63,24.64,5240
1569527100000,24.63,24.7,24.59,24.61,23189
1569591000000,24.71,25.64,24.47,25.64,20943
1569591900000,25.49,25.605,25.16,25.25,7589
1569592800000,25.145,25.195,24.9606,25.07,3800
1569593700000,25.02,25.11,24.96,25.0,2932
1569594600000,25.0,25.01,24.94,24.99,1003
1569595500000,24.99,25.19,24.99,25.19,900
1569596400000,25.175,25.27,25.13,25.13,2485
1569597300000,25.105,25.18,25.085,25.1,3850
1569598200000,25.095,25.145,24.75,24.9115,21638
1569599100000,24.93,25.03,24.835,25.01,3000
1569600000000,24.97,25.06,24.88,24.9978,17662
1569600900000,25.005,25.005,24.84,24.935,10680
1569601800000,24.935,24.99,24.88,24.95,5399
1569602700000,24.92,24.94,24.83,24.8785,7282
1569603600000,24.87,24.94,24.84,24.91,6500
1569604500000,24.91,24.92,24.87,24.92,3397
1569605400000,24.9,24.97,24.87,24.97,6379
1569606300000,24.975,25.005,24.81,24.94,8784
1569607200000,24.96,24.98,24.9,24.98,5018
1569608100000,24.98,25.03,24.92,24.985,4494
1569609000000,24.97,24.97,24.92,24.94,1900
1569609900000,24.94,24.96,24.88,24.96,8564
1569610800000,24.94,24.95,24.885,24.91,4006
1569611700000,24.91,24.94,24.86,24.86,3516
1569612600000,24.86,24.89,24.82,24.83,8713
1569613500000,24.83,24.92,24.81,24.89,21695
1569850200000,24.84,25.23,24.67,24.805,14753
1569851100000,24.86,24.945,24.67,24.945,9832
1569852000000,24.97,25.09,24.835,25.09,6549
1569852900000,25.11,25.23,25.04,25.065,14014
1569853800000,25.1,25.2,25.09,25.1,6700
1569854700000,25.06,25.23,25.06,25.21,3746
1569855600000,25.21,25.4,25.19,25.33,10138
1569856500000,25.33,25.53,25.33,25.47,6541
1569857400000,25.49,25.5,25.39,25.48,5883
1569858300000,25.455,25.455,25.16,25.26,18534
1569859200000,25.3299,25.355,25.14,25.14,3520
1569860100000,25.165,25.28,25.165,25.27,3984
1569861000000,25.29,25.295,25.19,25.25,6000
1569861900000,25.22,25.36,25.2,25.3,7114
1569862800000,25.3,25.3,25.19,25.255,4602
1569863700000,25.25,25.3,25.15,25.18,7358
1569864600000,25.22,25.27,25.17,25.27,4534
1569865500000,25.31,25.37,25.29,25.33,2240
1569866400000,25.33,25.33,25.19,25.2598,5985
1569867300000,25.24,25.3,25.18,25.28,7317
