datetime,open,high,low,close,volume
1569504600000,39.68,39.89,39.67,39.8,31167
1569505500000,39.82,39.92,39.7,39.8617,9974
1569506400000,39.91,40.02,39.79,39.79,9449
1569507300000,39.74,39.91,39.73,39.91,7612
1569508200000,39.91,40.03,39.86,40.005,6249
1569509100000,39.98,40.025,39.83,39.84,9220
1569510000000,39.85,39.85,39.72,39.72,2505
1569510900000,39.76,39.78,39.675,39.73,3700
1569511800000,39.76,39.86,39.7,39.83,3501
1569512700000,39.8,39.8,39.67,39.69,2500
1569513600000,39.66,39.83,39.65,39.76,3300
1569514500000,39.8,39.83,39.7,39.77,3500
1569515400000,39.78,39.85,39.76,39.78,1800
1569516300000,39.8,39.87,39.78,39.8,4947
1569517200000,39.83,39.84,39.67,39.69,2828
1569518100000,39.69,39.76,39.67,39.69,3450
1569519000000,39.69,39.8,39.67,39.77,2944
1569519900000,39.78,39.8,39.695,39.8,9700
1569520800000,39.84,39.85,39.71,39.78,5961
1569521700000,39.79,39.85,39.72,39.74,4241
1569522600000,39.735,39.79,39.735,39.76,4664
1569523500000,39.74,39.78,39.67,39.69,5000
1569524400000,39.66,39.76,39.66,39.76,5700
1569525300000,39.73,39.74,39.57,39.66,9426
1569526200000,39.66,39.735,39.59,39.62,10430
1569527100000,39.61,39.635,39.44,39.52,44089
1569591000000,39.67,40.25,39.67,40.15,6212
1569591900000,40.2,40.2,39.87,39.89,1300
1569592800000,39.74,39.8,39.66,39.72,2432
1569593700000,39.72,39.85,39.69,39.85,8528
1569594600000,39.85,39.85,39.72,39.76,3900
1569595500000,39.745,39.97,39.73,39.97,3211
1569596400000,39.97,40.02,39.964,39.99,9963
1569597300000,40.0,40.05,39.97,40.05,3025
1569598200000,40.06,40.11,39.795,39.985,49156
1569599100000,39.97,40.1,39.94,40.04,10326
1569600000000,40.05,40.13,40.01,40.13,4496
1569600900000,40.07,40.1,39.99,40.1,3034
1569601800000,40.06,40.14,40.0,40.06,5928
1569602700000,40.08,40.18,40.03,40.09,23166
1569603600000,40.06,40.15,40.02,40.09,11872
1569604500000,40.07,40.07,39.9,39.94,46283
1569605400000,39.925,39.94,39.88,39.91,9144
1569606300000,39.9,40.02,39.78,40.02,8026
1569607200000,40.035,40.07,40.005,40.07,10333
1569608100000,40.05,40.07,39.98,40.04,8983
1569609000000,40.04,40.04,39.9,39.9073,37490
1569609900000,39.91,40.05,39.9,40.05,15494
1569610800000,40.04,40.08,39.995,40.07,13693
1569611700000,40.05,40.16,40.05,40.12,9326
1569612600000,40.105,40.31,40.105,40.21,19897
1569613500000,40.195,40.31,40.16,40.26,38623
1569850200000,40.4,40.635,40.23,40.44,11438
1569851100000,40.4574,40.49,40.3,40.4,9300
1569852000000,40.39,40.42,40.28,40.39,11310
1569852900000,40.44,40.54,40.32,40.32,4841
1569853800000,40.355,40.37,40.27,40.31,10303
1569854700000,40.31,40.515,40.27,40.495,6897
1569855600000,40.51,40.55,40.415,40.55,7643
1569856500000,40.53,40.59,40.48,40.57,4261
1569857400000,40.56,40.61,40.465,40.57,10708
1569858300000,40.59,40.59,40.475,40.5,5289
1569859200000,40.5,40.56,40.465,40.465,7932
1569860100000,40.48,40.52,40.35,40.5,18515
1569861000000,40.5,40.545,40.45,40.51,5429
1569861900000,40.47,40.53,40.47,40.51,9736
1569862800000,40.515,40.57,40.5,40.545,3410
1569863700000,40.54,40.54,40.46,40.46,1500
1569864600000,40.46,40.48,40.43,40.45,2600
1569865500000,40.465,40.48,40.43,40.48,3579
1569866400000,40.48,40.51,40.47,40.51,1568
1569867300000,40.51,40.51,40.435,40.46,5242
1569868200000,40.49,40.56,40.49,40.54,2933
1569869100000,40.549,40.6,40.549,40.6,12215
1569870000000,40.62,40.645,40.53,40.6,7271
1569870900000,40.59,40.65,40.53,40.53,6897
1569871800000,40.53,40.58,40.42,40.44,12833
1569872700000,40.44,40.465,40.18,40.24,75981
1569936600000,40.78,41.34,40.64,41.06,141292
1569937500000,41.06,41.06,40.86,40.96,63469
1569938400000,40.92,40.92,40.49,40.69,57518
1569939300000,40.66,40.72,40.385,40.44,37090
1569940200000,40.47,40.6,40.45,40.56,63608
1569941100000,40.57,40.71,40.53,40.61,44320
1569942000000,40.6,40.66,40.58,40.6,22633
1569942900000,40.59,40.64,40.53,40.64,8699
1569943800000,40.63,40.67,40.55,40.55,9761
1569944700000,40.535,40.535,40.38,40.42,33634
1569945600000,40.41,40.42,40.27,40.27,27503
1569946500000,40.29,40.38,40.245,40.29,4728
1569947400000,40.24,40.4,40.24,40.39,4700
1569948300000,40.39,40.4,40.21,40.26,8768
1569949200000,40.265,40.28,40.19,40.19,16019
1569950100000,40.19,40.22,40.09,40.11,10616
1569951000000,40.13,40.205,40.08,40.12,16894
1569951900000,40.11,40.14,39.88,39.88,34525
1569952800000,39.85,39.93,39.82,39.9,18010
1569953700000,39.9,39.9,39.76,39.87,15027
1569954600000,39.875,40.055,39.87,40.05,10509
1569955500000,40.08,40.14,39.98,40.01,10796
1569956400000,40.02,40.1,40.0,40.08,17839
1569957300000,40.12,40.13,40.05,40.12,14658
1569958200000,40.12,40.125,39.87,39.985,18223
1569959100000,39.98,39.99,39.86,39.88,38946
1570023000000,39.42,39.75,39.39,39.47,12979
1570023900000,39.53,39.59,39.48,39.5596,7192
1570024800000,39.55,39.6,39.43,39.48,12125
1570025700000,39.48,39.56,39.38,39.42,14032
1570026600000,39.41,39.41,39.09,39.14,8769
1570027500000,39.12,39.43,39.12,39.43,11501
1570028400000,39.52,39.57,39.47,39.53,2845
1570029300000,39.53,39.54,39.4,39.47,4005
1570030200000,39.47,39.47,39.25,39.265,6354
1570031100000,39.29,39.37,39.2625,39.27,6792
1570032000000,39.26,39.36,39.25,39.29,5999
1570032900000,39.28,39.42,39.22,39.385,17683
1570033800000,39.38,39.3839,39.24,39.255,10373
1570034700000,39.25,39.28,39.15,39.17,5131
1570035600000,39.16,39.26,39.14,39.2,4079
1570036500000,39.15,39.24,39.15,39.24,2500
1570037400000,39.23,39.23,39.15,39.155,1100
1570038300000,39.13,39.14,39.07,39.07,2874
1570039200000,39.04,39.04,38.98,39.005,3869
1570040100000,39.045,39.3,39.04,39.28,20264
1570041000000,39.29,39.35,39.29,39.315,1922
1570041900000,39.335,39.43,39.335,39.375,2900
1570042800000,39.37,39.37,39.25,39.31,4593
1570043700000,39.31,39.33,39.27,39.29,3236
1570044600000,39.28,39.345,39.25,39.25,9765
1570045500000,39.24,39.31,39.13,39.31,33977
1570109400000,39.15,39.33,39.045,39.195,20285
1570110300000,39.25,39.48,39.23,39.23,10236
1570111200000,39.01,39.01,38.5,38.6926,20642
1570112100000,38.72,38.74,38.6,38.68,15134
1570113000000,38.68,38.78,38.6,38.65,4400
1570113900000,38.63,38.74,38.55,38.64,9092
1570114800000,38.64,39.05,38.64,38.98,6306
1570115700000,39.06,39.09,38.875,38.89,5049
1570116600000,38.87,38.87,38.63,38.7,2800
1570117500000,38.74,38.81,38.7,38.77,9323
1570118400000,38.8,38.86,38.79,38.83,3200
1570119300000,38.845,38.92,38.74,38.92,3657
1570120200000,38.92,38.965,38.91,38.92,2516
1570121100000,38.865,39.015,38.865,39.01,5420
1570122000000,39.04,39.04,38.97,39.03,2449
1570122900000,39.01,39.18,39.01,39.11,4306
1570123800000,39.16,39.24,39.12,39.24,3000
1570124700000,39.2452,39.29,39.21,39.21,4430
1570125600000,39.22,39.29,39.18,39.29,1600
1570126500000,39.33,39.42,39.33,39.4,3008
1570127400000,39.39,39.43,39.31,39.34,7137
1570128300000,39.345,39.395,39.28,39.285,3013
1570129200000,39.3,39.34,39.28,39.33,4512
1570130100000,39.32,39.35,39.25,39.285,6351
1570131000000,39.31,39.31,39.23,39.25,11238
1570131900000,39.24,39.36,39.15,39.36,38391
1570195800000,39.36,39.79,39.31,39.51,15736
1570196700000,39.495,39.495,39.26,39.44,3142
1570197600000,39.46,39.48,39.24,39.295,7042
1570198500000,39.3,39.31,39.13,39.15,4209
1570199400000,39.135,39.19,39.12,39.14,6126
1570200300000,39.16,39.21,39.11,39.13,4360
1570201200000,39.08,39.08,38.99,39.06,2182
1570202100000,39.1,39.175,39.06,39.16,11605
1570203000000,39.16,39.31,39.16,39.195,3856
1570203900000,39.195,39.285,39.195,39.285,4869
1570204800000,39.295,39.32,39.25,39.29,7429
1570205700000,39.26,39.315,39.19,39.27,6110
1570206600000,39.29,39.315,39.16,39.16,5330
1570207500000,39.16,39.17,39.12,39.125,2061
1570208400000,39.125,39.17,39.08,39.16,3842
1570209300000,39.14,39.15,39.11,39.11,1719
1570210200000,39.11,39.225,39.075,39.18,7642
1570211100000,39.165,39.235,39.14,39.165,5335
1570212000000,39.165,39.22,39.165,39.22,7452
1570212900000,39.245,39.25,39.18,39.2,6616
1570213800000,39.21,39.27,39.19,39.26,3629
1570214700000,39.27,39.27,39.22,39.265,7653
1570215600000,39.265,39.35,39.23,39.3,11069
1570216500000,39.3,39.36,39.25,39.36,5100
1570217400000,39.365,39.56,39.36,39.53,10724
1570218300000,39.53,39.68,39.52,39.66,26477
1570455000000,39.86,39.86,39.46,39.46,7662
1570455900000,39.53,39.7,39.52,39.625,2700
1570456800000,39.6,39.62,39.5106,39.535,20150
1570457700000,39.56,39.6,39.52,39.57,2367
1570458600000,39.57,39.625,39.53,39.585,3100
1570459500000,39.575,39.58,39.51,39.51,3492
1570460400000,39.58,39.69,39.51,39.51,5151
1570461300000,39.55,39.56,39.43,39.43,2168
1570462200000,39.43,39.55,39.43,39.54,3861
1570463100000,39.54,39.56,39.48,39.52,3944
1570464000000,39.53,39.55,39.5,39.5,2500
1570464900000,39.54,39.6,39.51,39.555,4197
1570465800000,39.56,39.56,39.485,39.56,1800
1570466700000,39.56,39.62,39.53,39.62,5437
1570467600000,39.61,39.61,39.5,39.51,3313
1570468500000,39.5,39.52,39.46,39.52,1700
