datetime,open,high,low,close,volume
1591968600000,13.62,13.63,13.3,13.4714,446928
1591969500000,13.4575,13.4827,13.235,13.39,194034
1591970400000,13.4,13.47,13.3,13.3356,101066
1591971300000,13.34,13.47,13.225,13.2601,117819
1591972200000,13.2878,13.29,13.0,13.1396,183002
1591973100000,13.1063,13.2094,13.0,13.01,121486
1591974000000,13.0,13.1553,12.87,12.99,160965
1591974900000,13.0,13.1,12.82,13.05,131030
1591975800000,13.042,13.21,12.96,13.04,64620
1591976700000,13.04,13.2,13.0301,13.19,79960
1591977600000,13.2,13.29,13.1,13.17,105921
1591978500000,13.1987,13.3,13.1247,13.2099,59476
1591979400000,13.2,13.2108,13.05,13.1432,144775
1591980300000,13.11,13.15,13.0648,13.12,76402
1591981200000,13.11,13.115,13.01,13.03,44506
1591982100000,13.04,13.08,13.0,13.05,30741
1591983000000,13.03,13.0573,12.94,12.94,80904
1591983900000,12.9301,13.0,12.88,12.88,85991
1591984800000,12.88,13.08,12.86,13.011,64318
1591985700000,13.02,13.11,12.972,13.064,74703
1591986600000,13.0707,13.14,13.0,13.0399,67924
1591987500000,13.04,13.16,12.98,13.14,109688
1591988400000,13.142,13.16,13.04,13.14,54494
1591989300000,13.11,13.14,13.0,13.0616,74280
1591990200000,13.0453,13.18,13.02,13.12,119413
1591991100000,13.1101,13.28,13.1101,13.2079,202850
