datetime,open,high,low,close,volume
1569504600000,16.35,16.35,16.12,16.15,175342
1569505500000,16.15,16.24,16.095,16.11,100270
1569506400000,16.11,16.18,16.085,16.1,47736
1569507300000,16.1,16.155,16.04,16.1,95232
1569508200000,16.09,16.105,16.03,16.085,70704
1569509100000,16.08,16.11,16.03,16.05,73139
1569510000000,16.04,16.04,15.955,16.02,132428
1569510900000,16.01,16.05,15.92,15.935,49361
1569511800000,15.94,16.04,15.93,16.015,52091
1569512700000,16.01,16.03,15.99,16.025,42989
1569513600000,16.025,16.115,16.0,16.08,42656
1569514500000,16.085,16.15,16.075,16.1499,36474
1569515400000,16.16,16.215,16.15,16.1636,47141
1569516300000,16.165,16.185,16.14,16.15,46441
1569517200000,16.15,16.2,16.12,16.145,42641
1569518100000,16.14,16.145,16.11,16.13,21812
1569519000000,16.13,16.2,16.13,16.175,43064
1569519900000,16.18,16.185,16.12,16.145,55062
1569520800000,16.14,16.185,16.125,16.175,27843
1569521700000,16.18,16.2,16.13,16.145,71822
1569522600000,16.15,16.155,16.11,16.13,27530
1569523500000,16.13,16.15,16.11,16.115,37393
1569524400000,16.115,16.145,16.115,16.13,34542
1569525300000,16.13,16.21,16.125,16.17,69589
1569526200000,16.175,16.1999,16.13,16.135,71874
1569527100000,16.135,16.15,16.1,16.1,176663
1569591000000,16.21,16.24,16.08,16.215,179860
1569591900000,16.22,16.29,16.06,16.205,217706
1569592800000,16.2,16.205,16.1,16.13,181089
1569593700000,16.12,16.17,16.07,16.09,108299
1569594600000,16.1,16.18,16.095,16.18,99463
1569595500000,16.175,16.19,16.115,16.1865,52581
1569596400000,16.185,16.21,16.16,16.175,58672
1569597300000,16.175,16.22,16.15,16.205,77346
1569598200000,16.21,16.29,16.06,16.125,306300
1569599100000,16.11,16.28,16.1,16.22,87166
1569600000000,16.22,16.24,16.155,16.17,63491
1569600900000,16.17,16.17,16.1,16.1,38824
1569601800000,16.1,16.1,16.01,16.01,118926
1569602700000,16.01,16.085,15.985,16.025,100446
1569603600000,16.02,16.05,15.945,16.04,129904
1569604500000,16.03,16.055,16.01,16.05,34703
1569605400000,16.04,16.05,15.99,15.995,36290
1569606300000,15.99,16.02,15.955,16.01,60204
