datetime,open,high,low,close,volume
1569504600000,13.98,14.09,13.93,14.01,31876
1569505500000,14.01,14.03,13.98,13.9953,15000
1569506400000,14.005,14.02,13.97,14.0,12542
1569507300000,13.99,14.01,13.915,13.97,17007
1569508200000,13.97,13.97,13.92,13.94,11649
1569509100000,13.93,13.95,13.9,13.92,15164
1569510000000,13.92,13.95,13.89,13.905,29968
1569510900000,13.905,13.905,13.84,13.86,21230
1569511800000,13.87,13.905,13.85,13.8956,21409
1569512700000,13.895,13.9,13.86,13.87,15802
1569513600000,13.88,13.93,13.88,13.9,18936
1569514500000,13.9,13.91,13.88,13.89,21654
1569515400000,13.885,13.91,13.88,13.9,17747
1569516300000,13.9,13.93,13.8901,13.93,7067
1569517200000,13.92,13.93,13.86,13.86,26986
1569518100000,13.875,13.91,13.875,13.91,10790
1569519000000,13.91,13.96,13.9,13.955,24217
1569519900000,13.96,13.995,13.9525,13.98,21267
1569520800000,13.98,14.0,13.98,13.995,10180
1569521700000,14.0,14.05,14.0,14.04,49750
1569522600000,14.04,14.07,14.04,14.045,10146
1569523500000,14.045,14.06,14.01,14.06,27877
1569524400000,14.06,14.07,14.045,14.065,9043
1569525300000,14.07,14.07,14.035,14.07,20878
1569526200000,14.065,14.07,14.03,14.05,18258
1569527100000,14.05,14.09,14.03,14.05,67478
1569591000000,14.1,14.1,14.03,14.06,32028
1569591900000,14.05,14.09,14.03,14.085,7006
1569592800000,14.095,14.11,13.99,14.03,16243
1569593700000,14.04,14.0561,14.01,14.03,6509
1569594600000,14.05,14.09,14.05,14.08,7755
1569595500000,14.095,14.12,14.06,14.12,11574
1569596400000,14.11,14.12,14.06,14.095,11299
1569597300000,14.095,14.1,14.08,14.08,2555
1569598200000,14.08,14.1,14.02,14.05,9560
1569599100000,14.05,14.08,14.02,14.02,10800
1569600000000,14.03,14.03,13.945,13.945,7949
1569600900000,13.95,13.95,13.85,13.875,14246
1569601800000,13.88,13.93,13.87,13.915,16114
1569602700000,13.915,13.9219,13.8762,13.9,13321
1569603600000,13.9,13.95,13.8959,13.95,5261
1569604500000,13.94,13.95,13.89,13.8966,7786
1569605400000,13.9,13.95,13.87,13.94,18626
1569606300000,13.93,13.97,13.915,13.9431,10312
1569607200000,13.95,13.95,13.8901,13.92,5372
1569608100000,13.92,13.92,13.84,13.87,14570
1569609000000,13.87,13.9,13.82,13.9,27433
1569609900000,13.9,13.9001,13.828,13.83,32687
1569610800000,13.84,13.85,13.8,13.8,16310
1569611700000,13.8,13.84,13.8,13.82,9411
1569612600000,13.82,13.85,13.8,13.835,19553
1569613500000,13.845,13.89,13.83,13.88,48620
1569850200000,13.85,13.93,13.8,13.93,11304
1569851100000,13.93,13.98,13.9,13.9176,23376
1569852000000,13.93,13.95,13.88,13.91,5337
1569852900000,13.91,13.93,13.9,13.9,11536
1569853800000,13.92,13.93,13.88,13.89,5248
1569854700000,13.89,13.93,13.89,13.91,4025
1569855600000,13.91,13.915,13.86,13.875,13163
1569856500000,13.87,13.9,13.86,13.873,9626
1569857400000,13.875,13.92,13.85,13.92,13432
1569858300000,13.92,13.925,13.88,13.9,13244
1569859200000,13.9,13.955,13.9,13.93,11136
1569860100000,13.94,13.97,13.93,13.97,10205
1569861000000,13.98,13.985,13.955,13.965,7543
1569861900000,13.9621,13.97,13.95,13.95,3200
1569862800000,13.94,13.96,13.935,13.95,9715
1569863700000,13.945,13.95,13.88,13.905,20287
1569864600000,13.905,13.905,13.88,13.9,7493
1569865500000,13.9,13.91,13.89,13.9,5819
1569866400000,13.9,13.92,13.85,13.87,14425
1569867300000,13.87,13.895,13.87,13.8801,10852
1569868200000,13.88,13.92,13.88,13.92,33616
1569869100000,13.915,13.96,13.915,13.95,22699
1569870000000,13.955,13.99,13.955,13.99,19347
1569870900000,13.99,14.03,13.975,13.975,22159
1569871800000,13.98,13.99,13.95,13.98,62040
1569872700000,13.98,13.99,13.91,13.96,81774
