datetime,open,high,low,close,volume
1569504600000,9.94,10.03,9.875,10.02,387046
1569505500000,10.02,10.02,9.89,10.0001,430436
1569506400000,10.0,10.02,9.915,9.97,397240
1569507300000,9.97,9.99,9.8904,9.935,124040
1569508200000,9.935,10.005,9.9,9.915,199447
1569509100000,9.92,10.01,9.91,10.01,173493
1569510000000,10.0,10.065,9.99,10.0,173465
1569510900000,9.995,10.085,9.99,10.03,123729
1569511800000,10.03,10.075,10.02,10.045,100502
1569512700000,10.04,10.09,9.96,9.97,144559
1569513600000,9.97,9.98,9.89,9.935,127177
1569514500000,9.93,9.98,9.92,9.955,159973
1569515400000,9.95,9.95,9.91,9.94,169407
1569516300000,9.935,9.99,9.9,9.965,62114
1569517200000,9.965,9.98,9.934,9.95,84960
1569518100000,9.94,10.015,9.935,10.01,58633
1569519000000,10.01,10.03,9.96,9.965,74742
1569519900000,9.965,9.965,9.91,9.925,59252
1569520800000,9.93,10.01,9.93,9.99,158634
1569521700000,9.99,10.04,9.98,10.02,80924
1569522600000,10.02,10.03,9.99,10.01,48033
1569523500000,10.01,10.03,9.97,10.03,68721
1569524400000,10.02,10.0297,9.99,10.01,41028
1569525300000,10.0,10.01,9.95,9.96,81160
1569526200000,9.96,9.96,9.92,9.945,158303
1569527100000,9.945,9.95,9.9,9.9,330879
1569591000000,9.56,9.65,9.44,9.555,756546
1569591900000,9.55,9.595,9.45,9.59,537632
1569592800000,9.585,9.67,9.54,9.63,396137
1569593700000,9.64,9.675,9.59,9.62,213128
1569594600000,9.63,9.695,9.59,9.695,275701
1569595500000,9.6999,9.75,9.69,9.745,247289
1569596400000,9.75,9.76,9.59,9.5999,198892
1569597300000,9.6,9.61,9.53,9.54,178826
1569598200000,9.535,9.67,9.48,9.625,343560
1569599100000,9.63,9.645,9.56,9.58,108639
1569600000000,9.5744,9.625,9.55,9.57,116588
1569600900000,9.575,9.63,9.57,9.59,81782
1569601800000,9.585,9.68,9.585,9.64,117310
