datetime,open,high,low,close,volume
1591968600000,3.64,3.66,3.6,3.62,166730
1591969500000,3.62,3.63,3.62,3.63,38080
1591970400000,3.62,3.63,3.6,3.61,96767
1591971300000,3.615,3.6178,3.6,3.6,72703
1591972200000,3.6,3.605,3.455,3.5181,187336
1591973100000,3.515,3.55,3.32,3.33,291313
1591974000000,3.34,3.37,3.24,3.29,448192
1591974900000,3.28,3.33,3.25,3.3127,207779
1591975800000,3.315,3.4,3.27,3.35,135163
1591976700000,3.35,3.43,3.35,3.41,75020
1591977600000,3.41,3.44,3.39,3.42,68880
1591978500000,3.42,3.475,3.41,3.41,50426
1591979400000,3.41,3.4282,3.41,3.42,24145
1591980300000,3.425,3.46,3.4,3.43,49248
1591981200000,3.43,3.4378,3.41,3.42,24143
1591982100000,3.42,3.44,3.41,3.42,18978
1591983000000,3.42,3.43,3.41,3.41,38620
1591983900000,3.41,3.41,3.335,3.35,125830
1591984800000,3.35,3.39,3.34,3.38,53016
1591985700000,3.38,3.49,3.36,3.46,216509
1591986600000,3.46,3.47,3.38,3.415,65955
1591987500000,3.4151,3.47,3.41,3.46,65785
1591988400000,3.47,3.475,3.45,3.46,24201
1591989300000,3.465,3.47,3.43,3.455,62124
1591990200000,3.455,3.49,3.45,3.485,62011
1591991100000,3.49,3.5099,3.47,3.48,195506
