datetime,open,high,low,close,volume
1569504600000,5.92,5.92,5.87,5.92,894
1569505500000,5.92,5.92,5.88,5.88,1667
1569506400000,5.9,5.9,5.86,5.86,2951
1569507300000,5.86,5.86,5.83,5.83,900
1569508200000,5.83,5.83,5.82,5.82,800
1569509100000,5.82,5.825,5.7901,5.795,3746
1569510000000,5.79,5.79,5.76,5.77,4837
1569510900000,5.77,5.77,5.74,5.74,6967
1569511800000,5.735,5.755,5.72,5.72,7654
1569512700000,5.72,5.72,5.71,5.71,1800
1569513600000,5.71,5.72,5.71,5.715,1500
1569514500000,5.71,5.72,5.71,5.72,1100
1569515400000,5.72,5.75,5.72,5.75,3363
1569516300000,5.75,5.76,5.72,5.72,7810
1569517200000,5.72,5.72,5.7,5.715,2800
1569518100000,5.71,5.715,5.71,5.71,800
1569519000000,5.71,5.725,5.71,5.725,1585
1569519900000,5.725,5.7265,5.72,5.725,4300
1569520800000,5.72,5.73,5.72,5.72,3500
1569521700000,5.72,5.73,5.66,5.66,4000
1569522600000,5.66,5.6627,5.65,5.65,4450
1569523500000,5.65,5.66,5.65,5.655,5736
1569524400000,5.65,5.655,5.65,5.65,3000
1569525300000,5.65,5.6575,5.65,5.65,12184
1569526200000,5.65,5.655,5.65,5.65,22845
1569527100000,5.65,5.65,5.59,5.63,150814
1569591000000,5.64,5.675,5.63,5.63,3417
1569591900000,5.64,5.67,5.64,5.64,4872
1569592800000,5.64,5.64,5.63,5.63,3101
1569593700000,5.63,5.69,5.63,5.69,2600
1569594600000,5.705,5.735,5.705,5.735,2300
1569595500000,5.74,5.76,5.71,5.71,4420
1569596400000,5.71,5.72,5.69,5.69,2500
1569597300000,5.71,5.71,5.67,5.67,5899
1569598200000,5.68,5.685,5.645,5.66,4814
1569599100000,5.67,5.6871,5.65,5.67,8973
1569600000000,5.675,5.675,5.66,5.66,2600
1569600900000,5.66,5.665,5.65,5.655,2250
1569601800000,5.65,5.68,5.65,5.67,14424
1569602700000,5.67,5.68,5.66,5.66,5200
1569603600000,5.67,5.69,5.66,5.69,2600
1569604500000,5.69,5.71,5.69,5.71,1500
1569605400000,5.715,5.715,5.7,5.71,1426
1569606300000,5.71,5.715,5.7,5.71,2200
1569607200000,5.72,5.735,5.72,5.735,3399
1569608100000,5.735,5.74,5.71,5.71,2300
1569609000000,5.72,5.73,5.7,5.7,1500
1569609900000,5.71,5.715,5.7,5.7,2400
1569610800000,5.71,5.72,5.68,5.695,4700
1569611700000,5.695,5.695,5.68,5.685,2200
1569612600000,5.68,5.69,5.65,5.65,5669
1569613500000,5.65,5.71,5.65,5.7,31633
1569850200000,5.65,5.74,5.65,5.74,13395
1569851100000,5.74,5.76,5.74,5.745,2900
1569852000000,5.745,5.755,5.74,5.75,4010
1569852900000,5.755,5.76,5.745,5.745,3947
1569853800000,5.75,5.75,5.75,5.75,400
