datetime,open,high,low,close,volume
1569504600000,17.96,18.02,17.91,17.96,6076
1569505500000,17.985,17.99,17.91,17.99,3465
1569506400000,17.96,17.96,17.91,17.93,1911
1569507300000,17.92,17.98,17.91,17.975,9513
1569508200000,17.98,18.0,17.94,17.94,5084
1569509100000,17.955,17.96,17.91,17.96,6612
1569510000000,17.96,17.97,17.93,17.9633,4907
1569510900000,17.9502,17.9502,17.92,17.945,2896
1569511800000,17.96,18.0,17.96,18.0,2184
1569512700000,18.01,18.01,17.97,17.995,10003
1569513600000,18.0,18.05,18.0,18.03,9802
1569514500000,18.02,18.02,17.99,18.01,9348
1569515400000,18.0,18.01,17.985,17.985,4082
1569516300000,17.985,17.99,17.98,17.99,700
1569517200000,18.0,18.01,17.99,18.005,10843
1569518100000,18.0,18.0,17.97,17.99,4760
1569519000000,17.99,18.01,17.98,18.0031,3030
1569519900000,18.0,18.03,17.99,18.03,11605
1569520800000,18.025,18.0599,18.0,18.01,26102
1569521700000,18.01,18.015,17.99,18.0,11023
1569522600000,18.0,18.01,17.99,18.005,23250
1569523500000,18.0,18.025,17.98,18.015,58650
1569524400000,18.015,18.03,18.015,18.025,12700
1569525300000,18.025,18.04,17.99,18.03,56202
1569526200000,18.025,18.025,17.98,18.005,18885
1569527100000,18.0,18.01,17.97,18.0,44538
1569591000000,18.11,18.14,17.98,17.99,12124
1569591900000,17.975,18.01,17.96,18.0,4855
1569592800000,17.99,18.03,17.965,17.99,124216
1569593700000,18.0,18.06,17.985,18.03,118550
1569594600000,18.04,18.08,18.04,18.07,6063
1569595500000,18.063,18.09,18.05,18.06,18461
1569596400000,18.05,18.05,17.99,18.045,21707
1569597300000,18.045,18.06,18.04,18.055,9317
1569598200000,18.055,18.06,17.96,17.96,10923
1569599100000,17.97,17.985,17.94,17.95,10522
1569600000000,17.95,17.98,17.94,17.9671,6960
1569600900000,17.97,17.97,17.89,17.925,7826
1569601800000,17.925,17.945,17.92,17.93,3346
1569602700000,17.92,17.93,17.88,17.88,9869
1569603600000,17.88,18.0,17.88,18.0,17281
1569604500000,17.995,18.0,17.945,17.95,4643
1569605400000,17.95,17.96,17.94,17.95,3861
1569606300000,17.96,17.975,17.94,17.975,4814
1569607200000,17.98,17.99,17.95,17.95,4097
1569608100000,17.95,17.97,17.93,17.94,4747
1569609000000,17.935,17.935,17.895,17.915,3933
1569609900000,17.91,17.91,17.82,17.86,8266
1569610800000,17.86,17.885,17.85,17.86,6735
1569611700000,17.86,17.88,17.86,17.87,7862
1569612600000,17.87,17.95,17.87,17.95,4500
1569613500000,17.945,17.99,17.945,17.99,32679
1569850200000,18.0,18.09,18.0,18.09,8825
1569851100000,18.09,18.15,18.0678,18.07,8087
1569852000000,18.07,18.08,18.015,18.015,4625
1569852900000,18.0,18.02,17.985,17.99,15800
1569853800000,18.0,18.0,17.98,17.99,1248
1569854700000,18.0,18.1,18.0,18.1,5653
1569855600000,18.1,18.12,18.08,18.1,5714
1569856500000,18.1,18.1,18.06,18.09,7366
1569857400000,18.09,18.145,18.08,18.14,6161
1569858300000,18.145,18.15,18.11,18.11,19872
1569859200000,18.12,18.15,18.12,18.145,4909
1569860100000,18.15,18.19,18.14,18.14,19083
1569861000000,18.135,18.14,18.1,18.14,8686
1569861900000,18.135,18.15,18.135,18.145,6161
1569862800000,18.145,18.145,18.12,18.12,2607
1569863700000,18.12,18.12,18.115,18.115,1602
1569864600000,18.12,18.12,18.09,18.12,6828
1569865500000,18.12,18.12,18.09,18.1,5700
1569866400000,18.1,18.11,18.095,18.1,2430
1569867300000,18.11,18.11,18.1,18.1,5548
1569868200000,18.1,18.12,18.1,18.11,5819
1569869100000,18.12,18.12,18.095,18.1,4587
1569870000000,18.1,18.12,18.095,18.12,3064
1569870900000,18.115,18.12,18.1,18.1,6120
1569871800000,18.11,18.11,18.09,18.095,12776
1569872700000,18.095,18.13,18.08,18.09,61669
1569936600000,18.13,18.16,18.05,18.05,7457
1569937500000,18.075,18.08,18.0,18.06,9690
1569938400000,18.04,18.07,17.92,17.96,48940
1569939300000,17.97,18.1,17.955,18.09,7140
1569940200000,18.075,18.1,18.06,18.0999,2650
1569941100000,18.1,18.11,18.08,18.1,2542
1569942000000,18.09,18.15,18.09,18.12,4134
1569942900000,18.11,18.16,18.095,18.13,4500
1569943800000,18.14,18.16,18.11,18.13,6478
1569944700000,18.13,18.13,18.09,18.12,2950
1569945600000,18.12,18.12,18.09,18.09,9493
1569946500000,18.09,18.1034,18.06,18.09,5558
1569947400000,18.1,18.13,18.1,18.13,1648
1569948300000,18.12,18.12,18.08,18.08,4509
1569949200000,18.08,18.08,18.02,18.03,4085
1569950100000,18.0343,18.0343,17.98,17.98,3280
1569951000000,17.99,18.0,17.97,17.98,4700
1569951900000,17.97,17.98,17.95,17.97,2341
1569952800000,17.97,18.01,17.94,18.01,4585
1569953700000,18.01,18.01,17.96,17.96,2624
1569954600000,17.96,18.01,17.96,17.96,13664
1569955500000,17.97,17.99,17.96,17.96,3380
1569956400000,17.97,17.98,17.95,17.96,8066
1569957300000,17.96,18.005,17.96,17.98,5425
1569958200000,17.99,18.0,17.96,18.0,12903
1569959100000,17.99,18.005,17.97,18.0,38919
1570023000000,17.98,18.0,17.84,17.935,15394
1570023900000,17.91,18.0,17.91,17.99,10716
1570024800000,17.99,18.0,17.97,17.98,10003
1570025700000,17.995,18.0,17.945,17.97,19321
1570026600000,17.97,17.99,17.95,17.97,4955
1570027500000,17.95,17.97,17.92,17.95,2334
1570028400000,17.95,18.0,17.9466,18.0,6815
1570029300000,17.995,18.02,17.96,17.98,13193
1570030200000,17.97,17.98,17.95,17.96,11390
1570031100000,17.9619,17.99,17.93,17.98,22848
1570032000000,17.985,18.03,17.98,17.995,12502
1570032900000,17.99,17.995,17.98,17.995,2698
1570033800000,18.0,18.0,17.98,17.985,2249
1570034700000,17.99,17.99,17.97,17.99,2706
1570035600000,18.0,18.05,17.98,18.05,18255
1570036500000,18.05,18.05,18.005,18.015,10003
1570037400000,18.015,18.05,18.01,18.03,8405
1570038300000,18.02,18.03,18.01,18.02,15180
1570039200000,18.02,18.05,18.02,18.04,18645
1570040100000,18.0401,18.1,18.035,18.083,27820
1570041000000,18.09,18.095,18.05,18.06,17126
1570041900000,18.06,18.06,17.995,18.04,21454
1570042800000,18.04,18.1,18.0,18.09,27900
1570043700000,18.09,18.09,18.06,18.065,7596
1570044600000,18.065,18.09,18.045,18.09,11929
1570045500000,18.085,18.09,18.05,18.08,73258
1570109400000,18.13,18.17,18.06,18.17,11705
1570110300000,18.2,18.2027,18.1,18.1,8150
1570111200000,18.08,18.085,17.995,18.0,3692
1570112100000,18.0132,18.2,18.0,18.19,10258
1570113000000,18.2,18.32,18.2,18.29,15369
1570113900000,18.28,18.28,18.15,18.195,8943
1570114800000,18.19,18.22,18.19,18.2,3447
1570115700000,18.22,18.22,18.15,18.15,8757
1570116600000,18.15,18.15,18.09,18.13,4291
1570117500000,18.13,18.16,18.11,18.13,7759
1570118400000,18.13,18.185,18.12,18.181,6879
1570119300000,18.18,18.18,18.13,18.175,5255
1570120200000,18.18,18.2,18.18,18.18,2000
1570121100000,18.18,18.18,18.14,18.14,9852
1570122000000,18.14,18.14,18.12,18.13,5583
1570122900000,18.13,18.15,18.12,18.13,4313
1570123800000,18.13,18.17,18.11,18.165,7489
1570124700000,18.165,18.19,18.16,18.16,4500
1570125600000,18.15,18.16,18.15,18.15,4430
1570126500000,18.15,18.15,18.12,18.12,4463
1570127400000,18.12,18.13,18.1,18.1,4353
1570128300000,18.11,18.13,18.1,18.12,10028
1570129200000,18.12,18.13,18.11,18.125,4191
1570130100000,18.12,18.14,18.12,18.135,4055
1570131000000,18.13,18.13,18.1,18.11,10806
1570131900000,18.11,18.17,18.1,18.17,29274
1570195800000,18.17,18.23,18.17,18.22,2595
1570196700000,18.22,18.22,18.19,18.19,2439
1570197600000,18.2098,18.2495,18.11,18.11,21436
1570198500000,18.15,18.24,18.15,18.23,3077
1570199400000,18.23,18.23,18.19,18.21,10941
1570200300000,18.21,18.22,18.2,18.22,3780
1570201200000,18.21,18.255,18.2,18.25,11743
1570202100000,18.255,18.27,18.255,18.265,4770
1570203000000,18.265,18.29,18.265,18.28,3864
1570203900000,18.29,18.29,18.26,18.27,5998
1570204800000,18.27,18.27,18.22,18.22,7691
1570205700000,18.22,18.25,18.21,18.25,3400
1570206600000,18.26,18.28,18.2501,18.26,9796
1570207500000,18.27,18.28,18.26,18.26,3045
1570208400000,18.25,18.255,18.235,18.255,4642
1570209300000,18.26,18.29,18.26,18.29,2747
1570210200000,18.2986,18.3,18.28,18.29,5143
1570211100000,18.3,18.3,18.29,18.295,4853
1570212000000,18.295,18.3,18.26,18.27,11065
1570212900000,18.265,18.28,18.265,18.28,2800
1570213800000,18.28,18.28,18.26,18.27,3400
1570214700000,18.265,18.265,18.23,18.235,4327
1570215600000,18.24,18.25,18.24,18.25,3486
1570216500000,18.25,18.26,18.22,18.24,5549
1570217400000,18.24,18.27,18.24,18.265,9583
1570218300000,18.265,18.3,18.245,18.3,60815
1570455000000,18.24,18.24,18.11,18.14,8588
1570455900000,18.2,18.24,18.19,18.2,6367
1570456800000,18.21,18.28,18.19,18.28,12118
1570457700000,18.28,18.29,18.2507,18.27,6836
1570458600000,18.28,18.32,18.28,18.32,7952
1570459500000,18.3,18.36,18.3,18.355,17114
1570460400000,18.355,18.355,18.26,18.3,6890
1570461300000,18.285,18.31,18.27,18.29,6515
1570462200000,18.28,18.31,18.275,18.3,6130
1570463100000,18.29,18.33,18.29,18.33,5565
1570464000000,18.32,18.34,18.31,18.33,7300
1570464900000,18.33,18.335,18.3,18.315,8721
1570465800000,18.31,18.32,18.285,18.32,3100
1570466700000,18.315,18.35,18.31,18.33,4500
1570467600000,18.34,18.34,18.31,18.31,3186
1570468500000,18.31,18.32,18.3,18.32,3102
1570469400000,18.315,18.36,18.315,18.36,18459
1570470300000,18.36,18.3736,18.3405,18.36,7383
1570471200000,18.355,18.355,18.305,18.33,9219
1570472100000,18.33,18.35,18.33,18.35,2402
1570473000000,18.345,18.345,18.3,18.33,6000
1570473900000,18.33,18.35,18.33,18.35,2745
1570474800000,18.35,18.35,18.3,18.32,7483
1570475700000,18.32,18.34,18.31,18.33,5159
1570476600000,18.325,18.325,18.23,18.27,9246
1570477500000,18.28,18.33,18.28,18.3,31874
1570541400000,18.26,18.29,18.23,18.23,4579
1570542300000,18.23,18.25,18.19,18.23,5007
1570543200000,18.21,18.21,18.13,18.17,4889
1570544100000,18.17,18.22,18.17,18.18,3265
1570545000000,18.1601,18.19,18.13,18.18,2331
1570545900000,18.17,18.2,18.13,18.2,3887
1570546800000,18.2,18.22,18.18,18.21,8557
1570547700000,18.2,18.23,18.19,18.19,8259
1570548600000,18.19,18.19,18.15,18.19,3579
1570549500000,18.19,18.24,18.18,18.22,8655
1570550400000,18.24,18.24,18.22,18.24,7930
1570551300000,18.23,18.265,18.22,18.24,7062
1570552200000,18.235,18.235,18.21,18.22,1722
1570553100000,18.23,18.27,18.23,18.235,3986
1570554000000,18.24,18.24,18.22,18.22,1431
1570554900000,18.24,18.255,18.22,18.255,4348
1570555800000,18.27,18.28,18.25,18.26,3200
1570556700000,18.26,18.28,18.25,18.28,2491
1570557600000,18.28,18.28,18.26,18.2768,3822
1570558500000,18.26,18.27,18.255,18.255,1278
1570559400000,18.26,18.32,18.25,18.29,9670
1570560300000,18.29,18.3,18.24,18.25,5772
1570561200000,18.27,18.3,18.23,18.25,1577
1570562100000,18.24,18.28,18.2399,18.28,3557
1570563000000,18.28,18.28,18.19,18.2,8181
1570563900000,18.19,18.23,18.18,18.21,30337
1570627800000,18.22,18.3,18.21,18.21,4907
1570628700000,18.21,18.26,18.185,18.2197,8513
1570629600000,18.205,18.22,18.15,18.2,2991
1570630500000,18.18,18.18,18.17,18.18,1700
1570631400000,18.18,18.19,18.16,18.18,2249
1570632300000,18.18,18.18,18.15,18.175,5722
1570633200000,18.17,18.17,18.14,18.15,1435
1570634100000,18.15,18.19,18.15,18.16,4682
1570635000000,18.17,18.18,18.15,18.16,1731
1570635900000,18.16,18.16,18.13,18.13,2514
1570636800000,18.13,18.14,18.13,18.14,1065
1570637700000,18.14,18.15,18.14,18.145,2592
1570638600000,18.1407,18.19,18.1407,18.17,6188
1570639500000,18.165,18.18,18.15,18.18,4000
1570640400000,18.2,18.2,18.14,18.14,4339
1570641300000,18.145,18.145,18.135,18.14,901
1570642200000,18.14,18.157,18.13,18.157,2806
1570643100000,18.15,18.18,18.15,18.17,3010
1570644000000,18.16,18.16,18.11,18.14,5765
1570644900000,18.14,18.15,18.13,18.13,2181
1570645800000,18.13,18.165,18.13,18.16,4921
1570646700000,18.18,18.18,18.15,18.16,5999
1570647600000,18.16,18.18,18.15,18.17,8965
1570648500000,18.17,18.17,18.155,18.165,3526
1570649400000,18.17,18.18,18.12,18.12,11799
1570650300000,18.12,18.145,18.1,18.13,20922
1570714200000,18.05,18.17,18.05,18.07,5937
1570715100000,18.06,18.1,18.02,18.1,6881
1570716000000,18.0917,18.11,18.08,18.08,4038
1570716900000,18.08,18.09,18.065,18.065,1340
1570717800000,18.06,18.06,18.05,18.05,1482
1570718700000,18.05,18.09,18.04,18.0702,3447
1570719600000,18.08,18.08,18.0609,18.0711,4700
1570720500000,18.08,18.1,18.08,18.08,2501
1570721400000,18.07,18.09,18.06,18.08,5418
1570722300000,18.09,18.09,18.06,18.06,3123
1570723200000,18.05,18.05,18.02,18.02,1224
1570724100000,18.02,18.05,18.02,18.04,3639
1570725000000,18.04,18.05,18.02,18.02,1725
1570725900000,18.025,18.025,18.02,18.025,1314
1570726800000,18.025,18.025,18.01,18.02,3301
1570727700000,18.02,18.04,18.02,18.02,2323
1570728600000,18.02,18.02,18.01,18.02,915
1570729500000,18.02,18.06,18.02,18.0302,3979
1570730400000,18.04,18.05,17.97,18.01,6978
