datetime,open,high,low,close,volume
1569504600000,27.73,27.73,27.5,27.53,4319
1569505500000,27.67,27.67,27.11,27.23,5300
1569506400000,27.27,27.305,27.08,27.14,3850
1569507300000,27.14,27.14,26.94,27.0,4800
1569508200000,27.01,27.13,27.0,27.04,5750
1569509100000,27.03,27.0887,26.9,26.92,6236
1569510000000,26.92,26.92,26.74,26.74,8323
1569510900000,26.72,26.73,26.61,26.635,9994
1569511800000,26.65,26.8,26.65,26.8,6844
1569512700000,26.79,26.8,26.72,26.8,2319
1569513600000,26.8,26.94,26.77,26.91,3650
1569514500000,26.92,26.96,26.9,26.96,2582
1569515400000,26.97,27.08,26.97,27.046,2839
1569516300000,27.06,27.07,26.99,27.03,2200
1569517200000,27.005,27.04,26.94,26.95,7333
1569518100000,26.94,26.95,26.86,26.88,4503
1569519000000,26.92,26.99,26.91,26.96,5710
1569519900000,26.99,27.0,26.94,27.0,4321
1569520800000,27.0,27.05,26.96,27.015,3020
1569521700000,27.02,27.07,27.02,27.03,4450
1569522600000,27.025,27.08,27.02,27.06,2550
1569523500000,27.06,27.14,27.04,27.055,5081
1569524400000,27.07,27.12,27.02,27.11,16160
1569525300000,27.09,27.195,27.08,27.14,5953
1569526200000,27.15,27.17,27.06,27.08,8587
1569527100000,27.06,27.07,26.99,27.03,28356
1569591000000,27.07,27.49,26.79,27.49,5167
1569591900000,27.3659,27.53,27.22,27.22,4700
1569592800000,27.17,27.29,27.08,27.13,5674
1569593700000,27.125,27.37,27.1,27.315,18249
1569594600000,27.32,27.45,27.315,27.395,3100
1569595500000,27.395,27.42,27.35,27.42,2500
1569596400000,27.46,27.48,27.3518,27.3518,2422
1569597300000,27.36,27.47,27.36,27.47,2300
1569598200000,27.45,27.4636,27.11,27.25,9406
1569599100000,27.21,27.39,27.2,27.335,3221
1569600000000,27.27,27.36,27.23,27.36,1900
1569600900000,27.3628,27.3628,27.24,27.25,2600
1569601800000,27.21,27.31,27.21,27.26,1600
1569602700000,27.25,27.29,27.15,27.2,4547
1569603600000,27.16,27.28,27.16,27.28,1300
1569604500000,27.29,27.36,27.27,27.34,4158
1569605400000,27.3323,27.37,27.2731,27.34,8991
1569606300000,27.29,27.34,27.24,27.34,3685
1569607200000,27.34,27.345,27.275,27.345,4010
1569608100000,27.345,27.39,27.32,27.39,1600
1569609000000,27.425,27.425,27.35,27.365,4494
1569609900000,27.33,27.33,27.24,27.26,9616
1569610800000,27.28,27.34,27.22,27.29,16679
1569611700000,27.3,27.44,27.29,27.395,8203
1569612600000,27.395,27.42,27.36,27.36,5000
1569613500000,27.365,27.47,27.36,27.44,26716
1569850200000,27.56,27.8,27.52,27.63,5157
1569851100000,27.62,27.71,27.52,27.69,10991
1569852000000,27.65,27.65,27.56,27.57,2300
1569852900000,27.62,27.675,27.58,27.58,1900
1569853800000,27.625,27.67,27.62,27.655,2492
1569854700000,27.655,27.86,27.655,27.855,3010
1569855600000,27.86,27.89,27.81,27.81,7967
1569856500000,27.81,27.87,27.735,27.75,5300
1569857400000,27.73,27.88,27.73,27.85,10775
1569858300000,27.89,27.89,27.82,27.83,2400
1569859200000,27.85,27.9,27.85,27.88,2528
1569860100000,27.87,28.01,27.835,27.98,7814
1569861000000,28.0,28.04,27.92,27.98,20443
1569861900000,27.95,28.02,27.92,27.98,4808
1569862800000,28.02,28.02,27.9,27.905,2090
1569863700000,27.8981,27.8981,27.82,27.8527,3996
1569864600000,27.85,27.98,27.84,27.95,6198
1569865500000,27.95,27.985,27.91,27.91,8075
1569866400000,27.91,27.935,27.86,27.92,8600
1569867300000,27.92,27.95,27.92,27.95,3164
1569868200000,27.95,27.99,27.92,27.935,8213
1569869100000,27.93,27.93,27.86,27.86,4495
1569870000000,27.88,27.96,27.82,27.95,19887
1569870900000,27.95,27.9681,27.88,27.9,9951
1569871800000,27.9,27.925,27.83,27.84,16095
1569872700000,27.84,27.92,27.63,27.69,57195
1569936600000,27.88,28.39,27.825,28.39,4094
1569937500000,28.405,28.405,28.0,28.0,8063
1569938400000,27.97,27.97,27.63,27.705,17856
1569939300000,27.655,27.7,27.555,27.62,11695
1569940200000,27.62,27.68,27.485,27.55,15502
1569941100000,27.57,27.66,27.48,27.53,12018
1569942000000,27.475,27.55,27.24,27.245,24071
1569942900000,27.21,27.27,27.15,27.18,11057
1569943800000,27.16,27.23,27.0,27.04,29517
1569944700000,27.04,27.11,26.945,27.005,10400
1569945600000,26.975,26.99,26.79,26.82,2850
1569946500000,26.825,27.0,26.82,26.945,5653
1569947400000,26.95,27.06,26.93,27.04,5110
1569948300000,27.045,27.045,26.91,26.93,5441
1569949200000,26.87,26.87,26.725,26.765,6559
1569950100000,26.74,26.74,26.58,26.595,3700
1569951000000,26.56,26.56,26.42,26.46,8122
1569951900000,26.46,26.49,26.395,26.395,5075
1569952800000,26.395,26.45,26.34,26.44,5200
1569953700000,26.48,26.48,26.36,26.42,4701
1569954600000,26.44,26.58,26.41,26.525,9575
1569955500000,26.5298,26.58,26.49,26.5,6601
