datetime,open,high,low,close,volume
1569504600000,47.0,47.62,43.67,43.7601,146137
1569505500000,43.96,43.96,41.69,41.955,80864
1569506400000,42.09,42.09,40.77,41.46,82512
1569507300000,41.405,42.133,41.155,41.43,63657
1569508200000,41.36,42.1422,41.25,42.0371,32319
1569509100000,42.0,43.05,42.0,42.34,64155
1569510000000,42.24,42.24,40.92,40.92,56099
1569510900000,40.94,41.75,40.94,41.62,24020
1569511800000,41.51,41.51,41.2,41.31,15077
1569512700000,41.29,41.99,41.2205,41.85,26683
1569513600000,41.85,42.28,41.78,42.16,27310
1569514500000,42.19,42.19,41.695,41.695,20141
1569515400000,41.715,41.8812,41.6695,41.74,13635
1569516300000,41.73,42.63,41.726,42.375,41744
1569517200000,42.37,42.7,42.24,42.54,17006
1569518100000,42.55,42.78,42.52,42.62,29107
1569519000000,42.58,42.72,42.5112,42.6,26186
1569519900000,42.56,42.56,42.21,42.22,29699
1569520800000,42.24,42.2775,42.0,42.25,22631
1569521700000,42.31,42.36,42.21,42.3101,18112
1569522600000,42.31,42.66,42.285,42.42,17568
1569523500000,42.41,42.92,42.41,42.57,25970
1569524400000,42.56,42.57,42.44,42.525,22385
1569525300000,42.51,42.7,42.4,42.42,47773
1569526200000,42.37,42.38,41.62,41.68,37263
1569527100000,41.675,41.71,41.17,41.34,104279
1569591000000,41.24,41.53,41.02,41.24,13300
1569591900000,41.26,41.45,41.03,41.13,9255
1569592800000,41.29,41.445,41.03,41.445,13243
1569593700000,41.435,41.45,41.3,41.3,3300
1569594600000,41.33,41.56,41.325,41.505,3699
1569595500000,41.51,41.69,41.48,41.575,6516
1569596400000,41.61,41.61,41.23,41.35,6212
1569597300000,41.38,41.38,41.15,41.37,6620
1569598200000,41.27,41.42,41.13,41.31,8203
1569599100000,41.31,41.5885,41.29,41.485,8177
1569600000000,41.55,41.55,41.415,41.49,5885
1569600900000,41.48,41.48,41.265,41.27,6810
1569601800000,41.28,41.42,41.255,41.33,5800
1569602700000,41.32,41.32,41.2,41.26,10000
1569603600000,41.21,41.415,41.21,41.4,4680
1569604500000,41.38,41.39,41.21,41.26,5186
1569605400000,41.21,41.3312,41.2,41.29,4143
1569606300000,41.25,41.54,41.18,41.5101,4702
1569607200000,41.51,41.54,41.4606,41.505,5936
1569608100000,41.5,41.695,41.47,41.695,4363
1569609000000,41.66,41.69,41.5461,41.57,7396
1569609900000,41.585,41.59,41.41,41.46,7963
1569610800000,41.47,41.55,41.4401,41.52,9191
1569611700000,41.515,41.83,41.515,41.68,10900
1569612600000,41.6702,41.85,41.59,41.78,21429
1569613500000,41.775,41.89,41.69,41.84,38269
1569850200000,41.78,42.13,41.78,41.83,8856
1569851100000,41.91,42.12,41.81,42.07,9693
1569852000000,42.12,42.13,41.96,42.02,21131
1569852900000,42.04,42.07,41.58,41.66,14845
1569853800000,41.63,41.71,41.58,41.63,8558
1569854700000,41.64,41.64,41.44,41.52,7551
1569855600000,41.52,41.52,41.35,41.39,3746
1569856500000,41.36,41.42,41.35,41.35,3550
1569857400000,41.4,41.57,41.34,41.44,9654
1569858300000,41.39,41.39,41.26,41.31,5890
1569859200000,41.31,41.49,41.31,41.4462,1043
1569860100000,41.45,41.57,41.44,41.57,2178
1569861000000,41.57,41.765,41.5,41.5,12569
1569861900000,41.515,41.54,41.51,41.51,500
1569862800000,41.52,41.7839,41.52,41.7839,9130
1569863700000,41.875,41.9,41.57,41.57,9882
1569864600000,41.57,41.71,41.55,41.695,6424
1569865500000,41.8,41.93,41.78,41.9,8731
1569866400000,41.95,41.95,41.8,41.82,4693
1569867300000,41.82,41.85,41.77,41.79,1548
1569868200000,41.8,41.81,41.7,41.75,6847
1569869100000,41.74,41.765,41.6,41.75,7518
1569870000000,41.7,41.7,41.52,41.6,17338
1569870900000,41.62,41.79,41.59,41.69,12130
1569871800000,41.69,41.69,41.44,41.44,14861
1569872700000,41.44,41.5,41.18,41.2,54796
1569936600000,41.23,41.9,41.23,41.54,4128
1569937500000,41.67,41.72,41.36,41.48,3001
1569938400000,41.43,41.46,40.81,40.81,5557
1569939300000,40.8402,41.07,40.8402,41.07,2363
1569940200000,41.075,41.19,40.95,41.18,9141
1569941100000,41.18,41.3,41.07,41.19,4074
