datetime,open,high,low,close,volume
1569504600000,24.77,24.77,24.745,24.745,1550
1569505500000,24.72,24.77,24.7,24.77,900
1569506400000,24.78,24.78,24.75,24.75,400
1569507300000,24.72,24.72,24.71,24.71,300
1569508200000,24.745,24.7486,24.71,24.71,2230
1569509100000,24.71,24.71,24.54,24.6,20739
1569510000000,24.62,24.64,24.565,24.59,2286
1569510900000,24.56,24.65,24.56,24.63,2495
1569511800000,24.64,24.68,24.64,24.66,10086
1569512700000,24.66,24.66,24.61,24.625,1300
1569513600000,24.61,24.68,24.6,24.65,2900
1569514500000,24.66,24.66,24.64,24.66,1600
1569515400000,24.69,24.7,24.67,24.67,2071
1569516300000,24.67,24.69,24.65,24.65,1118
1569517200000,24.65,24.65,24.57,24.59,4087
1569518100000,24.58,24.6,24.575,24.595,3626
1569519000000,24.595,24.64,24.595,24.62,2458
1569519900000,24.63,24.63,24.59,24.62,2289
1569520800000,24.65,24.69,24.62,24.67,2882
1569521700000,24.68,24.7,24.62,24.62,4510
1569522600000,24.62,24.66,24.61,24.61,3125
1569523500000,24.61,24.65,24.59,24.59,4400
1569524400000,24.57,24.62,24.57,24.585,6402
1569525300000,24.585,24.6,24.56,24.565,5837
1569526200000,24.58,24.58,24.53,24.54,5512
1569527100000,24.54,24.555,24.5,24.52,29504
1569591000000,24.59,24.7,24.59,24.7,1543
1569591900000,24.7,24.7,24.6,24.68,1200
1569592800000,24.675,24.71,24.62,24.62,1215
1569593700000,24.62,24.645,24.5922,24.62,1900
1569594600000,24.63,24.63,24.63,24.63,100
1569595500000,24.66,24.7,24.63,24.68,1400
1569596400000,24.68,24.69,24.62,24.64,2700
1569597300000,24.62,24.68,24.61,24.68,4359
1569598200000,24.68,24.695,24.52,24.59,2875
1569599100000,24.55,24.645,24.55,24.62,2452
1569600000000,24.58,24.59,24.565,24.58,1100
1569600900000,24.57,24.57,24.54,24.56,1156
1569601800000,24.54,24.55,24.54,24.54,400
1569602700000,24.51,24.555,24.46,24.48,2400
1569603600000,24.46,24.5,24.46,24.5,1120
1569604500000,24.505,24.52,24.4836,24.4836,1032
1569605400000,24.47,24.53,24.47,24.5,2803
1569606300000,24.47,24.5,24.45,24.49,1093
1569607200000,24.49,24.49,24.45,24.47,2800
1569608100000,24.45,24.48,24.43,24.43,3644
1569609000000,24.41,24.44,24.41,24.44,2094
1569609900000,24.42,24.42,24.35,24.4,3001
1569610800000,24.41,24.41,24.31,24.31,3214
1569611700000,24.31,24.4,24.31,24.38,3479
1569612600000,24.38,24.46,24.36,24.43,6775
1569613500000,24.445,24.55,24.44,24.53,23760
1569850200000,24.56,24.59,24.52,24.52,2457
1569851100000,24.54,24.63,24.54,24.59,1409
1569852000000,24.63,24.64,24.53,24.54,1266
1569852900000,24.53,24.565,24.53,24.565,1000
1569853800000,24.6,24.62,24.56,24.6,1432
1569854700000,24.6,24.65,24.6,24.635,1500
1569855600000,24.65,24.65,24.62,24.64,3443
1569856500000,24.62,24.62,24.54,24.57,4800
1569857400000,24.58,24.59,24.55,24.56,800
1569858300000,24.57,24.57,24.52,24.55,848
1569859200000,24.55,24.58,24.5413,24.58,2800
1569860100000,24.56,24.72,24.56,24.72,10359
1569861000000,24.7,24.7,24.66,24.686,2303
1569861900000,24.67,24.68,24.66,24.67,2013
1569862800000,24.68,24.7,24.67,24.67,2586
1569863700000,24.6764,24.6764,24.63,24.63,1753
1569864600000,24.63,24.66,24.63,24.66,1200
