datetime,open,high,low,close,volume
1591968600000,11.69,11.74,11.38,11.54,98824
1591969500000,11.52,11.53,11.27,11.31,36816
1591970400000,11.33,11.49,11.29,11.3,51106
1591971300000,11.305,11.33,11.2,11.22,58662
1591972200000,11.22,11.23,11.1,11.16,33240
1591973100000,11.16,11.25,11.035,11.0374,41793
1591974000000,11.03,11.18,10.95,11.03,108043
1591974900000,11.02,11.07,10.95,11.01,47369
1591975800000,11.02,11.17,10.96,11.105,68785
1591976700000,11.11,11.21,11.09,11.2,74866
1591977600000,11.2,11.215,11.1124,11.115,37106
1591978500000,11.11,11.125,10.995,11.025,59484
1591979400000,11.02,11.05,10.985,11.015,59307
1591980300000,11.0,11.03,10.94,10.985,52848
1591981200000,10.98,11.025,10.9401,11.005,44769
1591982100000,11.0,11.015,10.925,10.955,54316
1591983000000,10.96,10.98,10.84,10.855,49226
1591983900000,10.83,10.845,10.68,10.7,53585
1591984800000,10.7,10.89,10.6952,10.835,48440
1591985700000,10.84,10.93,10.79,10.925,29503
1591986600000,10.925,10.97,10.83,10.9,49780
1591987500000,10.905,10.955,10.83,10.87,75868
1591988400000,10.865,10.926,10.85,10.89,80708
1591989300000,10.885,10.89,10.82,10.87,134583
1591990200000,10.865,11.12,10.855,11.105,219526
1591991100000,11.105,11.14,11.09,11.14,256496
