datetime,open,high,low,close,volume
1569504600000,8.27,8.29,8.27,8.276,9364
1569505500000,8.2898,8.29,8.275,8.275,6644
1569506400000,8.275,8.283,8.271,8.28,3079
1569507300000,8.28,8.28,8.27,8.275,12151
1569508200000,8.275,8.278,8.27,8.275,1312
1569509100000,8.2756,8.28,8.2662,8.27,6995
1569510000000,8.265,8.27,8.26,8.26,1112
1569510900000,8.26,8.27,8.241,8.26,18886
1569511800000,8.255,8.27,8.255,8.26,6815
1569512700000,8.27,8.27,8.252,8.26,5226
1569513600000,8.26,8.265,8.26,8.26,5765
1569514500000,8.26,8.26,8.25,8.25,5338
1569515400000,8.255,8.26,8.25,8.25,6357
1569516300000,8.25,8.25,8.25,8.25,5000
1569517200000,8.2508,8.2508,8.24,8.245,5740
1569518100000,8.24,8.25,8.24,8.24,2545
1569519000000,8.24,8.26,8.24,8.25,4100
1569519900000,8.25,8.26,8.25,8.25,9261
1569520800000,8.25,8.26,8.24,8.25,42533
1569521700000,8.255,8.26,8.25,8.26,13610
1569522600000,8.25,8.26,8.25,8.25,15040
1569523500000,8.25,8.255,8.25,8.25,3200
1569524400000,8.25,8.26,8.25,8.25,5574
1569525300000,8.25,8.2632,8.25,8.26,11940
1569526200000,8.25,8.27,8.25,8.25,33006
1569527100000,8.2527,8.27,8.25,8.26,48854
1569591000000,8.28,8.3,8.28,8.3,10770
1569591900000,8.29,8.29,8.28,8.28,4370
1569592800000,8.28,8.28,8.27,8.27,3252
1569593700000,8.2699,8.27,8.24,8.24,11568
1569594600000,8.25,8.26,8.245,8.26,3295
1569595500000,8.26,8.28,8.26,8.275,22827
1569596400000,8.28,8.29,8.28,8.285,2166
1569597300000,8.285,8.285,8.2817,8.285,3075
1569598200000,8.285,8.285,8.25,8.26,14322
1569599100000,8.255,8.27,8.255,8.27,3922
1569600000000,8.27,8.28,8.2668,8.2668,1700
1569600900000,8.27,8.27,8.26,8.26,2414
1569601800000,8.26,8.26,8.25,8.26,2025
1569602700000,8.25,8.25,8.24,8.24,2240
1569603600000,8.24,8.25,8.24,8.25,1844
1569604500000,8.2501,8.2501,8.24,8.24,8906
1569605400000,8.2465,8.259,8.245,8.259,5549
1569606300000,8.25,8.25,8.24,8.24,2095
1569607200000,8.24,8.24,8.24,8.24,3020
1569608100000,8.24,8.249,8.24,8.24,13949
1569609000000,8.24,8.245,8.22,8.225,11934
1569609900000,8.22,8.24,8.22,8.2331,12399
1569610800000,8.2353,8.2353,8.235,8.235,500
1569611700000,8.24,8.25,8.24,8.25,8218
1569612600000,8.24,8.26,8.24,8.26,9057
1569613500000,8.26,8.27,8.24,8.25,40143
1569850200000,8.28,8.29,8.2719,8.29,38344
1569851100000,8.285,8.3,8.2805,8.2899,4430
1569852000000,8.29,8.3,8.2897,8.3,24685
1569852900000,8.3,8.3,8.29,8.295,14650
1569853800000,8.29,8.29,8.29,8.29,2157
1569854700000,8.2882,8.29,8.28,8.28,11540
1569855600000,8.29,8.29,8.28,8.29,2616
1569856500000,8.29,8.2925,8.28,8.29,17066
1569857400000,8.29,8.29,8.29,8.29,1900
1569858300000,8.3,8.31,8.3,8.31,6592
1569859200000,8.32,8.33,8.3133,8.33,8594
1569860100000,8.32,8.33,8.32,8.32,1900
1569861000000,8.32,8.33,8.32,8.32,2931
1569861900000,8.32,8.32,8.31,8.32,4300
1569862800000,8.32,8.33,8.32,8.32,7000
1569863700000,8.33,8.33,8.32,8.3241,2812
1569864600000,8.325,8.33,8.32,8.32,26049
1569865500000,8.32,8.33,8.32,8.32,800
1569866400000,8.32,8.3264,8.32,8.32,920
1569867300000,8.33,8.33,8.32,8.32,12162
1569868200000,8.32,8.325,8.31,8.32,6231
1569869100000,8.3261,8.3299,8.32,8.32,13171
1569870000000,8.3153,8.32,8.31,8.32,6490
1569870900000,8.319,8.3263,8.319,8.32,5127
1569871800000,8.33,8.33,8.32,8.32,20586
1569872700000,8.325,8.33,8.32,8.32,51155
1569936600000,8.36,8.3601,8.345,8.3501,36942
1569937500000,8.355,8.36,8.34,8.34,4943
1569938400000,8.34,8.34,8.291,8.291,12403
1569939300000,8.295,8.31,8.285,8.31,7826
1569940200000,8.3075,8.31,8.29,8.3,22934
1569941100000,8.3,8.3,8.29,8.29,4656
1569942000000,8.28,8.28,8.2732,8.28,5201
1569942900000,8.28,8.29,8.27,8.27,11930
1569943800000,8.275,8.285,8.27,8.28,13225
1569944700000,8.285,8.29,8.2746,8.2746,16562
1569945600000,8.28,8.28,8.27,8.27,21818
1569946500000,8.275,8.28,8.27,8.275,4850
1569947400000,8.275,8.28,8.2746,8.2746,7375
1569948300000,8.2796,8.2796,8.27,8.27,19680
1569949200000,8.2666,8.2666,8.26,8.265,6097
1569950100000,8.265,8.265,8.2601,8.2634,3907
1569951000000,8.265,8.2676,8.26,8.265,9000
1569951900000,8.26,8.265,8.26,8.26,9012
1569952800000,8.265,8.2679,8.26,8.26,7380
1569953700000,8.26,8.27,8.26,8.26,5948
1569954600000,8.26,8.265,8.26,8.26,2660
