datetime,open,high,low,close,volume
1569504600000,2.39,2.4,2.32,2.32,863
1569506400000,2.3631,2.3631,2.3631,2.3631,1000
1569507300000,2.3551,2.3551,2.3536,2.3536,1500
1569508200000,2.3729,2.375,2.3729,2.375,4300
1569509100000,2.38,2.39,2.38,2.39,4099
1569510000000,2.385,2.385,2.34,2.36,4350
1569510900000,2.36,2.36,2.36,2.36,1100
1569511800000,2.36,2.36,2.3491,2.36,3460
1569512700000,2.36,2.36,2.36,2.36,800
1569513600000,2.36,2.36,2.35,2.36,1500
1569514500000,2.36,2.37,2.36,2.37,1750
1569515400000,2.37,2.38,2.3475,2.3475,7000
1569516300000,2.34,2.36,2.32,2.33,5350
1569517200000,2.34,2.34,2.34,2.34,400
1569518100000,2.34,2.34,2.3265,2.34,1590
1569519000000,2.35,2.35,2.35,2.35,700
1569519900000,2.36,2.36,2.35,2.35,1195
1569520800000,2.35,2.37,2.35,2.37,900
1569521700000,2.37,2.38,2.3677,2.38,1500
1569522600000,2.38,2.38,2.36,2.36,2200
1569523500000,2.38,2.38,2.34,2.36,4135
1569524400000,2.36,2.37,2.3533,2.37,1015
1569525300000,2.3603,2.39,2.3603,2.39,2494
1569526200000,2.39,2.4,2.37,2.37,9049
1569527100000,2.39,2.39,2.36,2.37,6700
1569591000000,2.36,2.39,2.36,2.39,716
1569593700000,2.3264,2.3264,2.3264,2.3264,549
1569594600000,2.35,2.35,2.32,2.32,1068
1569598200000,2.32,2.32,2.26,2.27,9512
1569599100000,2.27,2.27,2.24,2.2599,8200
1569600000000,2.25,2.27,2.25,2.27,1600
1569600900000,2.26,2.26,2.2511,2.2511,1000
1569601800000,2.25,2.25,2.22,2.2208,4100
1569602700000,2.24,2.26,2.2378,2.26,6616
1569603600000,2.24,2.24,2.2316,2.2395,4000
1569604500000,2.235,2.235,2.23,2.23,800
1569605400000,2.24,2.26,2.24,2.26,8217
1569606300000,2.27,2.3,2.27,2.2839,8100
1569607200000,2.29,2.29,2.26,2.29,12947
1569608100000,2.28,2.29,2.28,2.2826,485
1569609000000,2.27,2.27,2.2618,2.2618,625
1569609900000,2.25,2.25,2.21,2.22,83549
1569610800000,2.2299,2.23,2.212,2.22,11980
1569611700000,2.21,2.23,2.2,2.225,11200
1569612600000,2.225,2.23,2.225,2.23,2900
