datetime,open,high,low,close,volume
1569504600000,14.67,14.67,14.56,14.615,4522
1569505500000,14.61,14.61,14.565,14.565,2266
1569506400000,14.5727,14.6,14.5727,14.59,668
1569507300000,14.585,14.585,14.44,14.44,2673
1569508200000,14.445,14.5,14.445,14.48,7212
1569509100000,14.48,14.52,14.47,14.52,7826
1569510000000,14.52,14.58,14.45,14.505,29566
1569510900000,14.4952,14.505,14.47,14.4851,2592
1569511800000,14.5,14.575,14.5,14.57,3655
1569512700000,14.56,14.56,14.56,14.56,100
1569513600000,14.54,14.5685,14.54,14.56,9225
1569514500000,14.57,14.57,14.53,14.53,2337
1569515400000,14.52,14.53,14.5139,14.515,4562
1569516300000,14.5,14.52,14.48,14.52,6379
1569517200000,14.5299,14.546,14.52,14.546,3085
1569518100000,14.54,14.5424,14.51,14.53,2446
1569519000000,14.53,14.57,14.53,14.57,4652
1569519900000,14.58,14.6,14.58,14.5831,2818
1569520800000,14.59,14.63,14.58,14.62,9216
1569521700000,14.61,14.63,14.6,14.6199,11072
1569522600000,14.63,14.65,14.625,14.64,8288
1569523500000,14.6399,14.64,14.625,14.625,4104
1569524400000,14.6266,14.63,14.6165,14.62,1319
1569525300000,14.625,14.66,14.6246,14.66,17608
1569526200000,14.69,14.71,14.68,14.7,6855
1569527100000,14.7,14.7,14.665,14.67,10953
1569591000000,14.73,14.73,14.6749,14.71,2733
1569591900000,14.68,14.68,14.65,14.66,500
1569592800000,14.65,14.71,14.65,14.67,4044
1569593700000,14.66,14.6827,14.66,14.6825,7655
1569594600000,14.69,14.71,14.68,14.71,1030
1569595500000,14.73,14.75,14.71,14.71,6724
1569596400000,14.7,14.7,14.5919,14.62,9369
1569597300000,14.625,14.675,14.625,14.66,3639
1569598200000,14.66,14.685,14.64,14.68,5968
1569599100000,14.65,14.68,14.63,14.66,4978
1569600000000,14.68,14.68,14.645,14.6726,4394
1569600900000,14.66,14.6729,14.65,14.6729,8229
1569601800000,14.66,14.66,14.6497,14.66,4058
1569602700000,14.65,14.65,14.62,14.62,4150
1569603600000,14.62,14.66,14.62,14.66,1595
1569604500000,14.655,14.655,14.6,14.6,5503
1569605400000,14.59,14.62,14.59,14.6,2374
1569606300000,14.59,14.625,14.58,14.62,2539
1569607200000,14.61,14.61,14.58,14.59,1301
1569608100000,14.58,14.6,14.58,14.58,1900
1569609000000,14.5741,14.58,14.57,14.58,605
1569609900000,14.56,14.56,14.53,14.54,2335
1569610800000,14.545,14.545,14.5,14.5,2805
