datetime,open,high,low,close,volume
1569504600000,6.73,6.78,6.73,6.78,10212
1569505500000,6.78,6.79,6.74,6.77,6506
1569506400000,6.78,6.82,6.78,6.82,1590
1569507300000,6.81,6.82,6.8,6.81,1726
1569508200000,6.82,6.85,6.815,6.825,3501
1569509100000,6.83,6.85,6.83,6.835,2937
1569510000000,6.84,6.85,6.83,6.85,2914
1569510900000,6.85,6.85,6.84,6.85,2500
1569511800000,6.85,6.86,6.845,6.86,9182
1569512700000,6.85,6.86,6.845,6.855,2412
1569513600000,6.855,6.89,6.855,6.885,16432
1569514500000,6.89,6.9,6.88,6.9,2555
1569515400000,6.91,6.91,6.9,6.9,2609
1569516300000,6.9,6.9,6.89,6.895,1500
1569517200000,6.895,6.91,6.895,6.905,2151
1569518100000,6.91,6.91,6.9,6.9,1179
1569519000000,6.9,6.91,6.9,6.9,1700
1569519900000,6.91,6.91,6.9,6.91,1166
1569520800000,6.91,6.94,6.91,6.94,2002
1569521700000,6.93,6.94,6.93,6.94,6908
1569522600000,6.935,6.94,6.84,6.845,12997
1569523500000,6.845,6.87,6.84,6.85,38805
1569524400000,6.84,6.86,6.84,6.85,2568
1569525300000,6.84,6.85,6.82,6.85,5970
1569526200000,6.84,6.86,6.84,6.84,3300
1569527100000,6.84,6.85,6.81,6.81,22576
1569591000000,6.8,6.86,6.8,6.82,3489
1569591900000,6.81,6.81,6.77,6.77,7481
1569592800000,6.79,6.79,6.7664,6.7664,1150
1569593700000,6.76,6.79,6.75,6.76,6000
1569594600000,6.79,6.795,6.79,6.79,747
1569595500000,6.79,6.79,6.78,6.78,700
1569596400000,6.79,6.8,6.77,6.78,1620
1569597300000,6.775,6.78,6.775,6.78,550
1569598200000,6.78,6.78,6.72,6.735,5571
1569599100000,6.73,6.73,6.705,6.715,2230
1569600000000,6.72,6.73,6.71,6.71,1700
1569600900000,6.71,6.71,6.71,6.71,100
1569601800000,6.72,6.72,6.72,6.72,100
1569602700000,6.72,6.74,6.72,6.73,4014
1569603600000,6.71,6.71,6.71,6.71,200
1569604500000,6.72,6.72,6.71,6.72,800
1569605400000,6.72,6.73,6.71,6.72,6123
1569606300000,6.71,6.71,6.69,6.7,1486
1569607200000,6.7,6.7,6.69,6.69,969
1569608100000,6.695,6.695,6.69,6.69,500
1569609000000,6.69,6.695,6.69,6.69,500
1569609900000,6.695,6.695,6.665,6.68,4090
1569610800000,6.68,6.69,6.67,6.67,1151
1569611700000,6.675,6.675,6.66,6.67,11681
1569612600000,6.66,6.66,6.6,6.605,18674
1569613500000,6.6,6.64,6.59,6.64,28551
1569850200000,6.63,6.75,6.63,6.72,12009
1569851100000,6.73,6.73,6.7,6.72,14468
1569852000000,6.72,6.73,6.7,6.72,3412
1569852900000,6.725,6.725,6.7,6.71,3310
1569853800000,6.71,6.77,6.71,6.76,16023
1569854700000,6.76,6.79,6.76,6.78,6598
1569855600000,6.785,6.79,6.73,6.73,23258
1569856500000,6.73,6.755,6.73,6.755,6268
1569857400000,6.75,6.765,6.75,6.765,3200
1569858300000,6.77,6.77,6.74,6.745,3300
1569859200000,6.745,6.75,6.73,6.73,4000
1569860100000,6.72,6.735,6.72,6.73,4202
1569861000000,6.73,6.73,6.69,6.705,4456
1569861900000,6.7001,6.71,6.7,6.7,3269
1569862800000,6.705,6.72,6.7,6.72,4812
1569863700000,6.72,6.72,6.71,6.715,2700
1569864600000,6.715,6.715,6.685,6.69,3199
1569865500000,6.69,6.69,6.68,6.68,2800
1569866400000,6.685,6.69,6.68,6.69,4700
1569867300000,6.685,6.71,6.68,6.705,4970
1569868200000,6.71,6.73,6.705,6.725,4990
1569869100000,6.72,6.725,6.71,6.71,5256
1569870000000,6.715,6.715,6.71,6.715,3659
1569870900000,6.715,6.72,6.71,6.715,5901
1569871800000,6.715,6.72,6.68,6.7,12009
1569872700000,6.7,6.72,6.685,6.7,77913
1569936600000,6.71,6.78,6.7,6.71,6627
1569937500000,6.71,6.73,6.7,6.7,3628
1569938400000,6.7,6.7,6.64,6.65,6448
1569939300000,6.65,6.66,6.63,6.66,5291
1569940200000,6.665,6.69,6.64,6.64,55121
1569941100000,6.63,6.655,6.63,6.6401,4174
1569942000000,6.64,6.64,6.63,6.64,2000
1569942900000,6.64,6.64,6.61,6.62,36440
1569943800000,6.62,6.625,6.6,6.6,2394
1569944700000,6.6,6.6,6.58,6.58,600
1569945600000,6.5701,6.5701,6.55,6.55,1600
1569946500000,6.55,6.56,6.53,6.53,6275
1569947400000,6.5454,6.56,6.53,6.56,3910
1569948300000,6.56,6.58,6.56,6.57,3060
1569949200000,6.57,6.58,6.56,6.57,2400
1569950100000,6.57,6.58,6.565,6.58,4641
1569951000000,6.58,6.5925,6.57,6.5924,6929
1569951900000,6.595,6.595,6.59,6.59,900
1569952800000,6.59,6.6,6.58,6.58,3600
1569953700000,6.59,6.59,6.57,6.575,1725
1569954600000,6.57,6.59,6.57,6.5823,2800
1569955500000,6.58,6.585,6.58,6.58,2328
1569956400000,6.58,6.58,6.56,6.58,10064
1569957300000,6.59,6.59,6.545,6.545,2700
1569958200000,6.55,6.555,6.53,6.53,9710
1569959100000,6.53,6.6,6.53,6.58,68156
1570023000000,6.54,6.54,6.54,6.54,2802
1570023900000,6.6,6.6,6.51,6.52,324939
1570024800000,6.52,6.55,6.51,6.52,7701
1570025700000,6.53,6.53,6.505,6.515,2100
1570026600000,6.515,6.515,6.43,6.45,11505
1570027500000,6.445,6.47,6.42,6.47,6714
1570028400000,6.46,6.485,6.445,6.485,8629
1570029300000,6.48,6.48,6.46,6.46,1803
1570030200000,6.47,6.47,6.44,6.45,4677
1570031100000,6.45,6.47,6.445,6.465,4999
1570032000000,6.47,6.51,6.47,6.51,4100
1570032900000,6.505,6.505,6.49,6.5,3900
1570033800000,6.505,6.52,6.5,6.505,4960
1570034700000,6.51,6.53,6.505,6.53,3934
1570035600000,6.5337,6.59,6.5337,6.59,5751
1570036500000,6.59,6.59,6.56,6.58,8927
1570037400000,6.585,6.585,6.55,6.55,6300
1570038300000,6.54,6.55,6.52,6.53,4129
1570039200000,6.53,6.53,6.52,6.53,3365
1570040100000,6.525,6.535,6.52,6.53,4500
1570041000000,6.525,6.53,6.51,6.51,5200
1570041900000,6.5,6.53,6.5,6.53,6600
1570042800000,6.525,6.56,6.52,6.56,13101
1570043700000,6.56,6.6,6.55,6.56,27885
1570044600000,6.56,6.565,6.53,6.535,12900
1570045500000,6.5325,6.56,6.53,6.54,64788
1570109400000,6.54,6.55,6.54,6.55,1786
1570111200000,6.54,6.54,6.465,6.48,2300
1570112100000,6.475,6.49,6.475,6.49,29761
1570113000000,6.5,6.505,6.44,6.47,110702
1570113900000,6.465,6.48,6.465,6.47,12209
1570114800000,6.48,6.48,6.47,6.47,59270
1570115700000,6.465,6.465,6.44,6.45,32458
1570116600000,6.45,6.45,6.38,6.43,59788
1570117500000,6.44,6.48,6.44,6.46,26949
1570118400000,6.46,6.46,6.46,6.46,800
1570119300000,6.46,6.46,6.43,6.455,22278
1570120200000,6.455,6.47,6.455,6.47,115254
1570121100000,6.46,6.485,6.445,6.465,14001
1570122000000,6.47,6.475,6.455,6.46,9094
1570122900000,6.46,6.46,6.455,6.46,3928
1570123800000,6.46,6.47,6.46,6.47,1300
1570124700000,6.46,6.47,6.45,6.46,11695
1570125600000,6.47,6.53,6.4675,6.53,11244
1570126500000,6.54,6.54,6.47,6.48,19627
1570127400000,6.47,6.485,6.47,6.48,40356
1570128300000,6.48,6.5,6.47,6.48,32062
1570129200000,6.485,6.49,6.48,6.48,1800
1570130100000,6.48,6.495,6.48,6.495,1700
1570131000000,6.5,6.5,6.445,6.46,7656
1570131900000,6.46,6.465,6.435,6.45,39984
1570195800000,6.47,6.6099,6.28,6.56,52241
1570196700000,6.56,6.57,6.52,6.545,6374
1570197600000,6.55,6.55,6.53,6.53,2700
1570198500000,6.52,6.52,6.48,6.48,5990
1570199400000,6.47,6.5,6.47,6.5,7090
1570200300000,6.51,6.52,6.48,6.48,17483
1570201200000,6.49,6.5,6.49,6.5,4130
1570202100000,6.51,6.53,6.5,6.5,7298
1570203000000,6.5,6.5,6.49,6.495,5413
1570203900000,6.495,6.505,6.48,6.495,8229
1570204800000,6.495,6.495,6.48,6.49,3938
1570205700000,6.485,6.5,6.48,6.5,28535
1570206600000,6.495,6.5,6.47,6.495,15569
1570207500000,6.49,6.5,6.49,6.495,3894
1570208400000,6.495,6.5,6.49,6.495,6526
1570209300000,6.495,6.5,6.49,6.495,4518
1570210200000,6.495,6.515,6.495,6.515,6201
1570211100000,6.51,6.515,6.49,6.505,7587
1570212000000,6.505,6.51,6.5,6.505,4564
1570212900000,6.505,6.505,6.5,6.5,4648
1570213800000,6.495,6.505,6.49,6.49,41713
1570214700000,6.49,6.505,6.485,6.5,13925
1570215600000,6.5,6.56,6.49,6.54,21116
1570216500000,6.54,6.55,6.52,6.535,17042
1570217400000,6.535,6.555,6.49,6.495,54463
1570218300000,6.495,6.51,6.48,6.5,103764
1570455000000,6.55,6.55,6.515,6.53,10187
1570455900000,6.515,6.53,6.515,6.53,1100
1570456800000,6.53,6.535,6.53,6.53,830
1570457700000,6.53,6.53,6.525,6.525,1050
1570458600000,6.52,6.52,6.505,6.505,1346
