datetime,open,high,low,close,volume
1569504600000,16.01,16.02,15.93,15.99,11667
1569505500000,15.95,15.98,15.95,15.95,1100
1569506400000,15.94,16.0,15.94,15.99,17198
1569507300000,15.95,15.99,15.92,15.94,4050
1569508200000,15.925,15.9495,15.91,15.9495,10398
1569509100000,15.95,15.95,15.88,15.9013,12533
1569510000000,15.8798,15.91,15.81,15.88,49319
1569510900000,15.89,15.9,15.6,15.6126,66601
1569511800000,15.6,15.6,15.45,15.51,28714
1569512700000,15.5,15.5255,15.5,15.51,28988
1569513600000,15.51,15.5826,15.5,15.56,4807
1569514500000,15.57,15.59,15.55,15.59,955
1569515400000,15.6506,15.6506,15.6201,15.6201,1130
1569516300000,15.6378,15.6577,15.6378,15.6409,3292
1569517200000,15.6315,15.6315,15.56,15.5946,13926
1569518100000,15.61,15.7599,15.61,15.6842,4674
1569519000000,15.74,15.741,15.74,15.74,1200
1569519900000,15.74,15.7712,15.7158,15.7556,7124
1569520800000,15.7799,15.785,15.7799,15.785,600
1569521700000,15.77,15.79,15.765,15.765,830
1569522600000,15.7895,15.7895,15.67,15.7522,3427
1569523500000,15.77,15.77,15.77,15.77,100
1569524400000,15.77,15.77,15.7501,15.7501,1275
1569525300000,15.75,15.85,15.7486,15.82,6629
1569526200000,15.85,15.86,15.82,15.835,7405
1569527100000,15.835,15.88,15.81,15.84,22657
1569591000000,15.85,16.0,15.85,15.96,12106
1569591900000,15.96,15.9699,15.905,15.935,2250
1569592800000,15.9,15.9,15.73,15.73,4871
1569593700000,15.8046,15.88,15.8046,15.81,9312
1569594600000,15.815,15.98,15.81,15.8853,10495
1569595500000,15.9026,15.91,15.86,15.9,7271
1569596400000,15.8809,15.895,15.87,15.895,1524
1569597300000,15.9,15.91,15.895,15.91,4170
1569598200000,15.91,15.91,15.81,15.81,6802
1569599100000,15.8346,15.8622,15.81,15.83,7393
1569600000000,15.855,15.855,15.8139,15.84,4876
1569600900000,15.82,15.87,15.82,15.865,1600
1569601800000,15.9,15.9,15.85,15.8766,1700
1569602700000,15.8939,15.8939,15.86,15.89,2670
1569603600000,15.89,15.89,15.88,15.89,1400
1569604500000,15.895,15.95,15.895,15.9,2631
1569605400000,15.896,15.95,15.87,15.885,16709
1569606300000,15.87,15.92,15.87,15.92,3202
