datetime,open,high,low,close,volume
1569504600000,10.78,10.79,10.7,10.71,21198
1569505500000,10.72,10.745,10.695,10.74,10768
1569506400000,10.76,10.795,10.76,10.78,11141
1569507300000,10.775,10.7849,10.76,10.77,10624
1569508200000,10.775,10.78,10.75,10.78,12699
1569509100000,10.79,10.94,10.788,10.915,33601
1569510000000,10.915,10.955,10.88,10.935,30433
1569510900000,10.94,10.99,10.92,10.99,17405
1569511800000,10.985,11.026,10.9511,11.01,25400
1569512700000,11.02,11.04,10.99,11.04,15006
1569513600000,11.03,11.05,10.96,10.985,22075
1569514500000,10.98,10.995,10.97,10.995,7712
1569515400000,10.99,11.0,10.99,10.9965,2400
1569516300000,10.99,11.0,10.975,10.99,12193
1569517200000,10.995,10.995,10.9335,10.9672,15444
1569518100000,10.965,10.965,10.95,10.96,7627
1569519000000,10.96,10.99,10.96,10.97,6606
1569519900000,10.965,10.97,10.94,10.97,5663
1569520800000,10.97,11.0,10.97,10.995,7748
1569521700000,10.995,11.0,10.94,10.945,21707
1569522600000,10.945,11.0,10.9444,10.995,4961
1569523500000,10.995,10.995,10.96,10.96,8744
1569524400000,10.97,10.995,10.95,10.975,16065
1569525300000,10.97,10.98,10.955,10.965,9633
1569526200000,10.97,10.98,10.92,10.95,22921
1569527100000,10.945,10.96,10.93,10.95,48013
1569591000000,11.01,11.0713,10.99,11.0713,7123
1569591900000,11.08,11.08,10.99,11.02,2111
1569592800000,11.0139,11.03,10.97,10.9867,13469
1569593700000,10.995,11.01,10.95,11.01,13232
1569594600000,10.99,11.05,10.99,11.05,3824
1569595500000,11.06,11.13,11.055,11.13,8397
1569596400000,11.13,11.14,11.08,11.1,6867
1569597300000,11.09,11.1,11.0752,11.08,5401
1569598200000,11.08,11.08,11.0,11.03,18181
1569599100000,11.0156,11.02,10.9,10.98,21922
1569600000000,10.97,11.01,10.95,11.01,5105
1569600900000,11.01,11.01,10.99,10.99,2664
1569601800000,10.9867,11.0,10.98,10.98,5843
1569602700000,10.96,10.96,10.94,10.95,2990
1569603600000,10.94,10.96,10.915,10.96,6353
1569604500000,10.96,10.96,10.9522,10.96,1391
1569605400000,10.96,10.97,10.95,10.97,3343
1569606300000,10.97,10.97,10.9443,10.95,3791
1569607200000,10.95,10.95,10.88,10.91,17082
1569608100000,10.93,10.93,10.89,10.8931,4461
1569609000000,10.89,10.91,10.87,10.9,21029
1569609900000,10.905,10.91,10.885,10.905,4915
1569610800000,10.91,10.91,10.87,10.873,10366
1569611700000,10.88,10.89,10.86,10.865,9145
1569612600000,10.86,10.88,10.86,10.88,8346
1569613500000,10.88,10.91,10.88,10.91,38024
