datetime,open,high,low,close,volume
1569504600000,5.3,5.32,5.26,5.26,4518
1569505500000,5.25,5.25,5.14,5.17,8716
1569506400000,5.16,5.18,5.16,5.16,700
1569507300000,5.18,5.24,5.18,5.2119,19684
1569508200000,5.2,5.2,5.18,5.18,5400
1569509100000,5.19,5.19,5.15,5.155,2000
1569510000000,5.1359,5.14,5.1,5.1,6087
1569510900000,5.1,5.12,5.08,5.12,16287
1569511800000,5.13,5.14,5.11,5.1201,2435
1569512700000,5.12,5.17,5.12,5.17,5651
1569513600000,5.17,5.22,5.1698,5.22,20354
1569514500000,5.22,5.22,5.21,5.21,1600
1569515400000,5.21,5.22,5.2,5.2,10701
1569516300000,5.2,5.2,5.17,5.17,7835
1569517200000,5.175,5.21,5.175,5.195,3840
1569518100000,5.21,5.21,5.2,5.2,400
1569519000000,5.2,5.22,5.19,5.22,5600
1569519900000,5.215,5.22,5.21,5.21,6225
1569520800000,5.22,5.24,5.21,5.24,3739
1569521700000,5.25,5.25,5.23,5.245,3000
1569522600000,5.24,5.24,5.22,5.24,1703
1569523500000,5.22,5.24,5.22,5.24,400
1569524400000,5.2,5.2,5.18,5.19,3500
1569525300000,5.19,5.19,5.14,5.14,20931
1569526200000,5.16,5.17,5.14,5.17,10790
1569527100000,5.16,5.18,5.15,5.16,17361
1569591000000,5.27,5.27,5.16,5.17,15957
1569591900000,5.19,5.19,5.13,5.16,7048
1569592800000,5.14,5.17,5.14,5.16,6440
1569593700000,5.14,5.16,5.14,5.145,1300
1569594600000,5.1599,5.17,5.15,5.15,4790
1569595500000,5.17,5.19,5.17,5.19,2783
1569596400000,5.19,5.19,5.15,5.17,10464
1569597300000,5.17,5.17,5.165,5.165,900
1569598200000,5.165,5.17,5.11,5.12,5860
1569599100000,5.12,5.125,5.11,5.12,900
1569600000000,5.1,5.1,5.07,5.08,7348
1569600900000,5.09,5.09,5.05,5.06,4539
1569601800000,5.05,5.05,5.035,5.035,2554
1569602700000,5.03,5.04,5.0,5.005,7762
1569603600000,5.0,5.04,5.0,5.04,13790
