datetime,open,high,low,close,volume
1569504600000,7.29,7.34,7.21,7.2594,5655
1569505500000,7.23,7.235,7.22,7.22,2637
1569506400000,7.225,7.25,7.22,7.225,3500
1569507300000,7.215,7.225,7.19,7.21,4549
1569508200000,7.21,7.21,7.19,7.19,1700
1569509100000,7.2,7.215,7.18,7.185,3956
1569510000000,7.18,7.18,7.16,7.16,4403
1569510900000,7.16,7.16,7.12,7.13,1400
1569511800000,7.125,7.14,7.11,7.13,3314
1569512700000,7.13,7.13,7.11,7.11,5969
1569513600000,7.12,7.14,7.12,7.14,1389
1569514500000,7.15,7.155,7.14,7.155,1000
1569515400000,7.16,7.16,7.14,7.145,2600
1569516300000,7.15,7.155,7.145,7.155,1500
1569517200000,7.155,7.155,7.14,7.145,1369
1569518100000,7.14,7.15,7.13,7.15,1723
1569519000000,7.145,7.155,7.135,7.135,5689
1569519900000,7.14,7.14,7.135,7.135,1700
1569520800000,7.14,7.155,7.14,7.15,1688
1569521700000,7.15,7.16,7.14,7.14,2237
1569522600000,7.145,7.15,7.14,7.15,1272
1569523500000,7.14,7.145,7.14,7.14,717
1569524400000,7.14,7.16,7.14,7.16,4240
1569525300000,7.155,7.17,7.15,7.165,2100
1569526200000,7.16,7.17,7.15,7.15,5314
1569527100000,7.15,7.16,7.14,7.14,12314
1569591000000,7.14,7.15,7.11,7.13,2828
1569591900000,7.13,7.15,7.1,7.1,2079
1569592800000,7.11,7.13,7.11,7.13,600
1569593700000,7.13,7.13,7.08,7.08,3602
1569594600000,7.08,7.11,7.07,7.11,2107
1569595500000,7.12,7.14,7.12,7.1308,700
1569596400000,7.12,7.13,7.12,7.125,2122
1569597300000,7.13,7.135,7.13,7.135,300
1569598200000,7.132,7.14,7.07,7.09,4832
1569599100000,7.07,7.07,7.07,7.07,200
1569600000000,7.08,7.09,7.07,7.09,1300
1569600900000,7.08,7.08,7.06,7.06,1000
1569601800000,7.06,7.06,7.04,7.055,700
1569602700000,7.04,7.04,6.99,6.99,7000
1569603600000,6.99,7.01,6.98,7.01,2410
1569604500000,7.01,7.01,6.99,6.9971,4850
1569605400000,6.995,7.01,6.99,7.01,3384
1569606300000,7.0,7.01,7.0,7.01,721
1569607200000,7.0,7.01,6.99,7.0,3900
1569608100000,7.0,7.0,6.99,6.99,592
1569609000000,6.98,6.98,6.96,6.96,1732
1569609900000,6.95,6.95,6.92,6.945,2400
1569610800000,6.95,6.955,6.93,6.95,3927
1569611700000,6.94,6.965,6.94,6.96,1400
1569612600000,6.96,6.98,6.96,6.97,4500
1569613500000,6.97,6.98,6.95,6.96,15641
1569850200000,6.98,6.9918,6.95,6.98,1487
1569851100000,6.97,6.99,6.97,6.99,1904
1569852000000,6.985,7.0,6.97,6.98,4282
1569852900000,6.97,6.975,6.95,6.955,6100
1569853800000,6.96,6.97,6.93,6.96,11512
1569854700000,6.96,7.005,6.96,7.0,9629
1569855600000,6.99,7.01,6.99,7.005,44262
1569856500000,7.0,7.0,6.97,6.995,5705
1569857400000,6.99,6.99,6.985,6.99,1600
1569858300000,6.98,6.98,6.98,6.98,800
1569859200000,6.98,6.985,6.97,6.985,1910
1569860100000,6.985,7.01,6.985,7.0,2611
1569861000000,6.995,7.0,6.97,6.995,3200
1569861900000,6.995,7.0,6.99,6.995,1900
1569862800000,6.995,7.0,6.995,6.995,612
1569863700000,7.0,7.01,6.995,7.005,2279
1569864600000,7.01,7.01,7.005,7.005,200
1569865500000,7.01,7.02,6.99,7.015,3470
1569866400000,7.01,7.04,7.01,7.03,2587
1569867300000,7.025,7.03,7.015,7.015,900
1569868200000,7.015,7.025,7.01,7.025,3912
1569869100000,7.02,7.02,7.01,7.02,2424
1569870000000,7.01,7.0136,7.0,7.01,3500
1569870900000,7.0,7.01,6.99,6.99,5196
1569871800000,6.99,6.995,6.98,6.98,10912
1569872700000,6.99,6.99,6.93,6.93,46984
1569936600000,6.96,6.97,6.95,6.965,1113
1569937500000,6.99,7.0122,6.99,7.0,1797
1569938400000,6.98,6.99,6.94,6.94,500
1569939300000,6.94,6.96,6.92,6.96,1953
1569940200000,6.965,6.97,6.94,6.94,3400
1569941100000,6.95,6.95,6.92,6.93,1800
1569942000000,6.92,6.92,6.9,6.91,4615
1569942900000,6.9,6.91,6.9,6.9,4100
1569943800000,6.91,6.92,6.89,6.9,5600
1569944700000,6.895,6.905,6.88,6.905,3306
1569945600000,6.9,6.9,6.895,6.9,5247
1569946500000,6.9,6.905,6.88,6.88,5632
1569947400000,6.885,6.89,6.885,6.885,2412
1569948300000,6.885,6.885,6.875,6.875,31275
1569949200000,6.87,6.875,6.86,6.86,3577
1569950100000,6.865,6.865,6.82,6.83,8990
1569951000000,6.83,6.835,6.8035,6.8035,7178
1569951900000,6.8,6.8,6.77,6.785,45589
1569952800000,6.78,6.79,6.75,6.765,6254
1569953700000,6.765,6.775,6.75,6.775,3192
1569954600000,6.7739,6.795,6.77,6.795,11132
1569955500000,6.8,6.805,6.79,6.79,2635
1569956400000,6.79,6.79,6.77,6.77,7547
1569957300000,6.765,6.77,6.75,6.75,9263
1569958200000,6.75,6.79,6.75,6.79,10378
1569959100000,6.785,6.785,6.73,6.74,49288
1570023000000,6.7,6.711,6.63,6.63,16448
1570023900000,6.64,6.675,6.61,6.62,5692
1570024800000,6.62,6.685,6.61,6.66,2850
1570025700000,6.65,6.655,6.63,6.63,2007
1570026600000,6.64,6.65,6.59,6.645,36424
1570027500000,6.65,6.665,6.62,6.65,11418
1570028400000,6.65,6.665,6.64,6.665,20271
1570029300000,6.66,6.69,6.645,6.655,9078
1570030200000,6.65,6.655,6.63,6.63,6100
1570031100000,6.635,6.635,6.6,6.625,5200
1570032000000,6.625,6.625,6.59,6.595,2700
1570032900000,6.59,6.595,6.48,6.5,80770
1570033800000,6.5,6.58,6.48,6.57,30178
