datetime,open,high,low,close,volume
1569504600000,14.3,14.315,14.08,14.155,16192
1569505500000,14.14,14.162,14.05,14.1138,10296
1569506400000,14.14,14.24,14.13,14.24,5272
1569507300000,14.24,14.27,14.18,14.2,4200
1569508200000,14.19,14.19,14.09,14.12,5035
1569509100000,14.08,14.12,14.01,14.03,10226
1569510000000,14.0,14.01,13.85,13.92,10971
1569510900000,13.8806,13.885,13.63,13.68,53034
1569511800000,13.7,13.79,13.65,13.735,17595
1569512700000,13.745,13.79,13.63,13.63,39388
1569513600000,13.63,13.64,13.51,13.55,14530
1569514500000,13.54,13.71,13.53,13.68,8990
1569515400000,13.69,13.73,13.66,13.66,7323
1569516300000,13.63,13.6342,13.53,13.53,6269
1569517200000,13.525,13.58,13.46,13.5197,12412
1569518100000,13.51,13.51,13.41,13.47,7601
1569519000000,13.46,13.59,13.44,13.59,9517
1569519900000,13.59,13.65,13.58,13.59,5500
1569520800000,13.6,13.69,13.55,13.67,14690
1569521700000,13.65,13.7,13.6,13.66,6750
1569522600000,13.67,13.77,13.66,13.67,7099
1569523500000,13.67,13.71,13.67,13.71,5390
1569524400000,13.71,13.82,13.71,13.715,11440
1569525300000,13.71,13.72,13.64,13.66,8636
1569526200000,13.62,13.72,13.61,13.66,24017
1569527100000,13.65,13.66,13.53,13.56,55538
1569591000000,11.85,12.15,11.5,11.915,158585
1569591900000,11.93,12.459,11.885,12.44,132533
1569592800000,12.4001,12.825,12.35,12.65,40214
1569593700000,12.63,13.12,12.63,12.94,70114
1569594600000,12.9928,13.34,12.94,13.09,74503
1569595500000,13.085,13.2088,13.07,13.13,51819
1569596400000,13.1201,13.28,12.97,13.05,52727
1569597300000,13.05,13.125,12.89,13.12,49947
1569598200000,13.115,13.17,12.9687,13.13,35842
1569599100000,13.115,13.5482,13.11,13.47,51767
1569600000000,13.47,13.5,13.33,13.395,42321
1569600900000,13.39,13.39,13.09,13.3,28672
1569601800000,13.29,13.29,13.13,13.18,12501
1569602700000,13.17,13.2,13.1,13.1,12650
1569603600000,13.09,13.31,13.09,13.2,22551
1569604500000,13.2271,13.26,13.18,13.24,15290
1569605400000,13.24,13.31,13.21,13.28,13770
1569606300000,13.28,13.4,13.21,13.39,16992
1569607200000,13.39,13.5,13.37,13.5,19106
1569608100000,13.51,13.53,13.46,13.48,17929
1569609000000,13.46,13.46,13.1,13.1,24555
1569609900000,13.12,13.25,13.12,13.23,25907
1569610800000,13.22,13.3,13.19,13.22,18080
1569611700000,13.215,13.345,13.215,13.33,12855
1569612600000,13.335,13.38,13.28,13.33,27030
1569613500000,13.335,13.53,13.28,13.46,108108
1569850200000,13.41,13.41,13.12,13.12,18833
1569851100000,13.15,13.3,13.085,13.16,17354
1569852000000,13.15,13.25,13.14,13.24,13943
1569852900000,13.25,13.46,13.24,13.44,21413
1569853800000,13.43,13.56,13.43,13.56,12338
1569854700000,13.52,13.56,13.46,13.475,12915
1569855600000,13.48,13.49,13.36,13.36,8045
1569856500000,13.36,13.416,13.3,13.4,5461
1569857400000,13.42,13.45,13.39,13.44,11410
1569858300000,13.46,13.515,13.36,13.505,36980
1569859200000,13.51,13.55,13.48,13.5,11200
1569860100000,13.505,13.62,13.5,13.59,10710
1569861000000,13.61,13.6524,13.6,13.643,6027
1569861900000,13.62,13.65,13.6,13.64,5300
1569862800000,13.67,13.775,13.66,13.75,14663
1569863700000,13.75,13.8,13.68,13.795,11165
1569864600000,13.8,14.05,13.79,14.04,40254
