datetime,open,high,low,close,volume
1591968600000,45.39,46.1,45.17,45.38,3848
1591969500000,45.55,45.57,45.18,45.27,4100
1591970400000,45.27,45.52,45.03,45.17,2305
1591971300000,45.06,45.08,44.8,44.81,4717
1591972200000,44.9,44.9,44.69,44.78,4072
1591973100000,44.72,44.725,44.17,44.29,4818
1591974000000,44.15,44.25,43.85,44.08,17078
1591974900000,44.17,44.17,43.76,44.01,2400
1591975800000,44.08,44.83,44.08,44.79,4500
1591976700000,44.63,44.92,44.63,44.92,1120
1591977600000,44.9125,45.06,44.84,44.84,13837
1591978500000,44.89,45.005,44.6,44.76,3800
1591979400000,44.65,44.835,44.63,44.77,5205
1591980300000,44.73,44.93,44.58,44.91,6070
1591981200000,44.88,44.97,44.595,44.84,9509
1591982100000,44.78,44.79,44.41,44.45,6633
1591983000000,44.38,44.38,44.18,44.21,3111
1591983900000,44.08,44.09,43.8,43.8,3600
1591984800000,43.71,44.1,43.71,44.02,5308
1591985700000,44.08,44.13,43.74,44.05,3100
1591986600000,44.06,44.25,43.84,43.9,5300
1591987500000,43.92,44.05,43.85,43.95,3985
1591988400000,44.12,44.34,44.1,44.22,6959
1591989300000,44.19,44.19,43.81,43.91,6103
1591990200000,43.95,44.13,43.7,43.92,8000
1591991100000,44.06,44.74,44.06,44.55,40250
