datetime,open,high,low,close,volume
1569504600000,21.01,21.01,20.78,20.78,2145
1569505500000,20.77,21.0,20.64,20.7199,18456
1569506400000,20.74,20.74,20.61,20.61,1779
1569507300000,20.635,20.68,20.59,20.68,1983
1569508200000,20.65,20.65,20.6,20.61,500
1569509100000,20.6,20.82,20.6,20.795,5545
1569510000000,20.78,20.78,20.67,20.68,2800
1569510900000,20.68,20.68,20.59,20.62,3312
1569511800000,20.63,20.69,20.62,20.63,2085
1569512700000,20.63,20.63,20.58,20.61,2830
1569513600000,20.62,20.68,20.62,20.64,1158
1569514500000,20.63,20.63,20.59,20.61,2987
1569515400000,20.62,20.62,20.62,20.62,700
1569516300000,20.61,20.635,20.59,20.62,6822
1569517200000,20.63,20.715,20.63,20.71,5452
1569518100000,20.72,20.76,20.72,20.74,2200
1569519000000,20.74,20.785,20.74,20.76,2744
1569519900000,20.74,20.74,20.6401,20.65,3884
1569520800000,20.67,20.68,20.62,20.66,3300
1569521700000,20.68,20.71,20.675,20.705,1936
1569522600000,20.68,20.705,20.67,20.69,1900
1569523500000,20.69,20.71,20.65,20.65,2205
1569524400000,20.67,20.73,20.67,20.73,3340
1569525300000,20.73,20.8,20.73,20.78,10628
1569526200000,20.78,20.81,20.77,20.775,2510
1569527100000,20.76,20.805,20.74,20.8,46595
1569591000000,20.87,21.02,20.63,20.99,6114
1569591900000,20.985,21.12,20.95,20.95,3800
1569592800000,20.95,21.01,20.94,20.99,5766
1569593700000,20.9755,21.02,20.94,20.94,8820
1569594600000,20.94,21.005,20.94,21.005,27421
1569595500000,21.015,21.07,20.96,21.07,8800
1569596400000,21.06,21.12,21.06,21.1,5472
1569597300000,21.07,21.15,21.07,21.12,2300
1569598200000,21.1,21.105,20.965,21.01,6900
1569599100000,21.03,21.03,20.97,21.01,1600
1569600000000,21.07,21.07,20.93,20.95,2973
1569600900000,20.96,20.96,20.92,20.945,3200
1569601800000,20.93,21.01,20.925,20.98,2700
1569602700000,20.975,20.975,20.9,20.915,2906
1569603600000,20.9,20.93,20.84,20.91,2000
1569604500000,20.91,20.92,20.9,20.92,1438
1569605400000,20.93,20.96,20.92,20.94,1300
1569606300000,20.94,20.95,20.905,20.945,3700
1569607200000,20.93,20.96,20.87,20.87,1580
1569608100000,20.87,20.9,20.855,20.9,3000
1569609000000,20.87,20.8712,20.86,20.86,8300
1569609900000,20.87,20.9,20.85,20.88,5393
1569610800000,20.87,20.89,20.84,20.87,4114
1569611700000,20.8741,20.91,20.87,20.87,3428
1569612600000,20.88,20.895,20.82,20.83,5500
1569613500000,20.84,20.89,20.79,20.84,25058
1569850200000,20.95,21.015,20.95,21.0004,6316
1569851100000,20.98,21.04,20.955,21.01,10730
1569852000000,21.01,21.1215,21.0,21.1,8539
1569852900000,21.0995,21.1,21.025,21.07,6085
1569853800000,21.065,21.14,21.065,21.14,5870
1569854700000,21.1,21.155,21.1,21.155,2607
1569855600000,21.17,21.2112,21.13,21.2112,2989
1569856500000,21.21,21.26,21.2,21.26,3400
1569857400000,21.26,21.26,21.19,21.2,6319
1569858300000,21.19,21.19,21.09,21.09,2600
1569859200000,21.12,21.13,21.055,21.055,8064
1569860100000,21.07,21.16,21.07,21.16,1749
1569861000000,21.16,21.19,21.04,21.04,5256
1569861900000,21.05,21.11,21.05,21.1,3855
1569862800000,21.17,21.17,21.13,21.14,1900
1569863700000,21.15,21.15,21.09,21.09,2066
1569864600000,21.09,21.14,21.09,21.11,2134
1569865500000,21.12,21.14,21.11,21.11,1200
1569866400000,21.12,21.12,21.07,21.1,3942
1569867300000,21.1,21.13,21.09,21.13,3411
1569868200000,21.15,21.15,21.12,21.14,3022
1569869100000,21.13,21.17,21.13,21.16,2300
1569870000000,21.15,21.15,21.1299,21.13,1960
1569870900000,21.14,21.14,21.12,21.125,4018
1569871800000,21.12,21.17,21.11,21.15,7684
1569872700000,21.16,21.16,21.02,21.03,25291
1569936600000,21.05,21.18,21.02,21.18,2840
1569937500000,21.285,21.43,21.28,21.34,16291
1569938400000,21.28,21.3,21.19,21.22,10700
1569939300000,21.23,21.33,21.11,21.14,19959
1569940200000,21.12,21.15,21.0,21.0,9846
1569941100000,21.01,21.02,20.93,20.98,12155
1569942000000,20.95,21.0,20.9,20.99,9364
1569942900000,20.99,21.055,20.99,21.015,4975
1569943800000,21.0149,21.05,20.99,21.0,4743
1569944700000,20.98,20.99,20.9,20.92,6118
1569945600000,20.9,20.93,20.875,20.9,7498
1569946500000,20.895,20.935,20.85,20.87,2800
1569947400000,20.855,20.96,20.84,20.95,9179
1569948300000,20.935,20.96,20.85,20.85,8930
1569949200000,20.855,20.855,20.74,20.79,7546
1569950100000,20.785,20.85,20.74,20.78,10908
1569951000000,20.76,20.76,20.71,20.75,13800
1569951900000,20.75,20.8099,20.63,20.64,15000
1569952800000,20.625,20.75,20.62,20.7,7662
1569953700000,20.69,20.75,20.69,20.725,7969
1569954600000,20.73,20.89,20.73,20.88,13966
1569955500000,20.87,20.91,20.87,20.895,7819
1569956400000,20.895,20.91,20.85,20.905,13099
1569957300000,20.9,20.93,20.81,20.83,9368
1569958200000,20.83,20.88,20.82,20.845,10600
1569959100000,20.85,20.94,20.82,20.88,42065
1570023000000,20.89,20.89,20.58,20.76,10421
1570023900000,20.73,20.73,20.6005,20.64,7452
1570024800000,20.67,20.71,20.59,20.69,11461
1570025700000,20.65,20.69,20.57,20.585,8288
1570026600000,20.6,20.64,20.51,20.58,5705
1570027500000,20.58,20.67,20.56,20.65,5500
1570028400000,20.65,20.7,20.55,20.57,5482
1570029300000,20.59,20.65,20.56,20.565,7333
1570030200000,20.55,20.55,20.33,20.33,3100
1570031100000,20.38,20.38,20.27,20.27,3900
1570032000000,20.255,20.44,20.245,20.42,13412
1570032900000,20.43,20.47,20.35,20.43,16706
1570033800000,20.43,20.505,20.43,20.505,9529
1570034700000,20.51,20.52,20.415,20.4648,6898
1570035600000,20.48,20.58,20.48,20.52,5823
1570036500000,20.5,20.51,20.415,20.43,7819
1570037400000,20.45,20.48,20.45,20.45,6500
1570038300000,20.45,20.51,20.45,20.51,4000
1570039200000,20.5,20.65,20.5,20.505,6143
1570040100000,20.51,20.55,20.505,20.55,5188
1570041000000,20.535,20.55,20.49,20.49,2300
1570041900000,20.49,20.5,20.46,20.46,3600
1570042800000,20.46,20.47,20.34,20.45,4900
1570043700000,20.42,20.475,20.41,20.47,5167
1570044600000,20.48,20.48,20.39,20.395,5058
1570045500000,20.395,20.46,20.33,20.45,24894
1570109400000,20.39,20.39,20.3068,20.3068,2140
1570110300000,20.275,20.29,20.25,20.25,300
1570111200000,20.25,20.25,19.93,20.02,18964
1570112100000,19.98,20.04,19.94,20.04,2721
1570113000000,20.0,20.0,19.92,19.96,5320
1570113900000,19.97,20.005,19.91,20.005,4800
1570114800000,20.03,20.04,19.92,19.97,12800
1570115700000,19.98,20.01,19.81,19.835,10482
1570116600000,19.8,19.9,19.77,19.87,26623
1570117500000,19.88,19.92,19.85,19.92,4100
1570118400000,19.93,19.95,19.86,19.93,3180
1570119300000,19.89,19.89,19.775,19.84,7192
1570120200000,19.79,19.87,19.77,19.87,2711
1570121100000,19.885,19.97,19.82,19.82,10738
