datetime,open,high,low,close,volume
1569504600000,20.59,20.59,20.41,20.5337,12941
1569505500000,20.5349,20.5349,20.46,20.46,3750
1569506400000,20.45,20.49,20.36,20.36,4556
1569507300000,20.31,20.34,20.15,20.2404,10609
1569508200000,20.2,20.41,20.15,20.3892,7278
1569509100000,20.45,20.45,20.34,20.34,745
1569510000000,20.3,20.32,20.2,20.2,3468
1569510900000,20.16,20.23,20.15,20.23,1678
1569511800000,20.2484,20.26,20.23,20.24,1800
1569512700000,20.18,20.192,20.15,20.1874,6883
1569513600000,20.25,20.33,20.23,20.28,500
1569514500000,20.28,20.32,20.28,20.3,1900
1569515400000,20.3126,20.3126,20.29,20.29,700
1569516300000,20.2599,20.3,20.2599,20.3,2150
1569517200000,20.41,20.42,20.41,20.41,300
1569518100000,20.36,20.36,20.325,20.36,1061
1569519000000,20.32,20.36,20.32,20.34,400
1569519900000,20.28,20.311,20.25,20.265,3075
1569520800000,20.29,20.29,20.17,20.2475,8691
1569521700000,20.29,20.29,20.29,20.29,100
1569522600000,20.25,20.3295,20.25,20.32,1200
1569523500000,20.32,20.32,20.29,20.3,3600
1569524400000,20.2701,20.34,20.2701,20.31,2754
1569525300000,20.2901,20.3029,20.23,20.28,7524
1569526200000,20.3,20.3,20.25,20.25,1475
1569527100000,20.26,20.27,20.17,20.19,18063
1569591000000,20.18,20.45,20.18,20.3,5383
1569591900000,20.2445,20.2445,19.94,20.11,16267
1569592800000,20.1544,20.1656,20.11,20.1506,1496
1569593700000,20.13,20.48,20.13,20.4,15621
1569594600000,20.4,20.49,20.36,20.436,10890
1569595500000,20.39,20.3955,20.33,20.33,1300
1569596400000,20.3298,20.3298,20.17,20.2,4039
1569597300000,20.2388,20.24,20.2388,20.24,350
1569598200000,20.27,20.28,20.13,20.1776,5722
1569599100000,20.16,20.24,20.03,20.21,8118
1569600000000,20.15,20.3181,20.06,20.31,10049
1569600900000,20.15,20.3199,20.15,20.3,1300
1569601800000,20.3029,20.3029,20.16,20.22,6344
1569602700000,20.165,20.19,20.1,20.14,1783
1569603600000,20.04,20.1,20.04,20.1,600
1569604500000,20.08,20.09,19.98,20.04,9338
1569605400000,20.06,20.1,20.01,20.1,3233
1569606300000,20.0839,20.15,20.06,20.15,5408
1569607200000,20.15,20.1519,20.0955,20.0955,2231
1569608100000,20.11,20.125,19.96,19.985,12047
1569609000000,19.985,19.985,19.94,19.975,2273
