datetime,open,high,low,close,volume
1569504600000,4.3,4.36,4.25,4.31,52992
1569505500000,4.31,4.44,4.31,4.4,63388
1569506400000,4.4,4.4,4.32,4.32,11439
1569507300000,4.32,4.39,4.31,4.38,7889
1569508200000,4.35,4.4,4.29,4.36,77981
1569509100000,4.36,4.4,4.28,4.32,20738
1569510000000,4.33,4.39,4.32,4.34,7410
1569510900000,4.33,4.34,4.29,4.31,15305
1569511800000,4.305,4.345,4.28,4.3,12949
1569512700000,4.29,4.315,4.29,4.29,5698
1569513600000,4.29,4.34,4.29,4.31,8000
1569514500000,4.31,4.3582,4.3049,4.35,13386
1569515400000,4.36,4.39,4.36,4.36,6030
1569516300000,4.36,4.365,4.24,4.24,39340
1569517200000,4.24,4.24,4.16,4.2,22576
1569518100000,4.18,4.2,4.02,4.0902,41314
1569519000000,4.12,4.13,4.0618,4.1,11537
1569519900000,4.1173,4.1173,4.1,4.115,5350
1569520800000,4.13,4.13,4.09,4.1,14916
1569521700000,4.105,4.105,3.98,4.08,45619
1569522600000,4.08,4.08,3.98,4.02,67271
1569523500000,4.0,4.05,3.93,4.05,44575
1569524400000,4.04,4.05,4.0065,4.04,6644
1569525300000,4.04,4.05,4.01,4.0149,13286
1569526200000,4.015,4.02,3.98,3.99,21623
1569527100000,3.98,4.0,3.94,3.96,36449
1569591000000,3.92,4.17,3.91,4.17,20859
1569591900000,4.08,4.11,4.0,4.0,28555
1569592800000,4.0,4.11,4.0,4.06,10438
1569593700000,4.0578,4.1,4.0578,4.08,5825
1569594600000,4.1,4.13,4.07,4.08,9020
1569595500000,4.11,4.15,4.1,4.15,18115
1569596400000,4.175,4.2177,4.175,4.21,5000
1569597300000,4.19,4.26,4.165,4.25,6565
1569598200000,4.25,4.26,4.12,4.2,13825
1569599100000,4.22,4.29,4.2,4.2894,19500
1569600000000,4.27,4.28,4.27,4.28,1000
1569600900000,4.29,4.38,4.29,4.305,13256
1569601800000,4.32,4.39,4.31,4.39,9900
1569602700000,4.3508,4.39,4.29,4.32,4100
1569603600000,4.2728,4.3,4.26,4.3,3050
1569604500000,4.27,4.27,4.2001,4.24,2273
1569605400000,4.225,4.25,4.21,4.25,6520
1569606300000,4.25,4.3,4.2365,4.3,9300
1569607200000,4.32,4.32,4.27,4.295,1839
1569608100000,4.2939,4.31,4.255,4.26,11011
1569609000000,4.26,4.29,4.225,4.2399,24291
1569609900000,4.23,4.28,4.23,4.2314,23037
1569610800000,4.245,4.28,4.22,4.24,17677
1569611700000,4.27,4.32,4.2316,4.32,45816
1569612600000,4.29,4.32,4.28,4.32,4125
1569613500000,4.3,4.31,4.25,4.28,17198
1569850200000,4.15,4.24,4.15,4.2,16736
1569851100000,4.19,4.21,4.16,4.21,2525
1569852000000,4.175,4.27,4.16,4.27,2800
1569852900000,4.25,4.29,4.18,4.18,10553
1569853800000,4.205,4.25,4.19,4.1932,8096
1569854700000,4.1965,4.1965,4.11,4.11,5010
1569855600000,4.14,4.14,4.0612,4.1,1980
1569856500000,4.06,4.14,4.02,4.14,9317
1569857400000,4.18,4.19,4.11,4.15,8466
1569858300000,4.1538,4.2,4.1538,4.16,1959
1569859200000,4.14,4.18,4.1,4.13,15016
1569860100000,4.13,4.13,4.1,4.11,4700
1569861000000,4.1,4.13,4.08,4.08,9802
1569861900000,4.09,4.09,4.08,4.08,1600
1569862800000,4.07,4.09,4.055,4.055,1900
1569863700000,4.05,4.09,4.01,4.09,5364
1569864600000,4.08,4.17,4.07,4.14,23314
1569865500000,4.14,4.15,4.14,4.15,526
1569866400000,4.15,4.15,4.11,4.14,6300
1569867300000,4.12,4.12,4.12,4.12,400
1569868200000,4.13,4.17,4.115,4.17,5320
1569869100000,4.17,4.17,4.13,4.13,400
1569870000000,4.14,4.16,4.115,4.1544,5954
1569870900000,4.15,4.18,4.11,4.17,12240
1569871800000,4.18,4.19,4.1685,4.1801,5300
1569872700000,4.155,4.2,4.13,4.13,24879
1569936600000,4.15,4.19,4.1,4.19,6553
1569937500000,4.16,4.34,4.1411,4.34,10226
1569938400000,4.3,4.33,4.2411,4.28,21280
1569939300000,4.2814,4.3,4.26,4.3,8428
1569940200000,4.3,4.3232,4.26,4.2758,8220
1569941100000,4.29,4.3,4.2,4.26,15819
1569942000000,4.2599,4.26,4.22,4.23,2700
1569942900000,4.26,4.29,4.24,4.24,4019
1569943800000,4.25,4.265,4.23,4.24,23055
1569944700000,4.24,4.2704,4.24,4.2704,4000
1569945600000,4.24,4.26,4.23,4.24,18600
1569946500000,4.24,4.26,4.24,4.24,139372
1569947400000,4.24,4.24,4.23,4.23,3751
1569948300000,4.22,4.23,4.19,4.2065,4026
1569949200000,4.21,4.23,4.165,4.19,20130
1569950100000,4.1698,4.17,4.155,4.155,1100
1569951000000,4.17,4.17,4.1,4.115,1300
1569951900000,4.115,4.17,4.115,4.17,900
1569952800000,4.135,4.18,4.0828,4.18,7802
1569953700000,4.14,4.19,4.1,4.1,10846
1569955500000,4.1376,4.22,4.1376,4.21,8660
1569956400000,4.23,4.23,4.1,4.12,5100
1569957300000,4.14,4.17,4.12,4.12,2590
1569958200000,4.12,4.14,4.1,4.1,4200
1569959100000,4.1,4.13,4.05,4.05,24076
1570023000000,4.35,4.35,4.0623,4.15,81456
1570023900000,4.12,4.19,4.01,4.13,14300
1570024800000,4.07,4.15,4.02,4.03,15453
1570025700000,4.03,4.17,4.02,4.13,21337
1570026600000,4.14,4.18,4.135,4.1598,21608
1570027500000,4.15,4.1595,4.11,4.11,18300
1570028400000,4.125,4.14,4.12,4.13,4479
1570029300000,4.12,4.1578,4.12,4.14,2600
1570030200000,4.1522,4.1522,4.09,4.13,4166
1570031100000,4.14,4.14,4.12,4.13,8229
1570032000000,4.1,4.13,4.1,4.13,410
1570032900000,4.13,4.13,4.09,4.11,4785
1570033800000,4.07,4.15,4.06,4.15,13384
1570034700000,4.1229,4.1229,4.1229,4.1229,800
1570035600000,4.13,4.16,4.125,4.1473,2147
1570036500000,4.14,4.14,4.1,4.1,2000
1570037400000,4.11,4.11,4.11,4.11,100
1570038300000,4.08,4.11,4.07,4.085,2600
1570039200000,4.08,4.1,4.05,4.06,10347
1570040100000,4.05,4.08,4.05,4.065,800
1570041000000,4.05,4.08,4.05,4.05,300
1570041900000,4.0645,4.11,4.0645,4.08,5825
1570042800000,4.14,4.14,4.09,4.1,1300
1570043700000,4.11,4.13,4.1,4.11,5900
1570044600000,4.1,4.12,4.09,4.1,3621
1570045500000,4.08,4.14,4.06,4.14,20660
1570109400000,4.11,4.11,3.86,4.07,21376
1570110300000,4.0389,4.06,3.98,4.01,13400
1570111200000,4.0,4.05,3.925,3.95,11600
1570112100000,3.92,3.95,3.92,3.95,1100
1570113000000,3.91,4.0,3.9008,3.91,7820
1570113900000,3.9,3.95,3.88,3.92,20975
1570114800000,3.935,3.95,3.75,3.87,31871
1570115700000,3.87,4.0,3.825,3.825,27307
1570116600000,3.805,3.94,3.8001,3.94,12620
1570117500000,3.93,4.0,3.9,3.92,18027
1570118400000,3.9,3.98,3.88,3.93,27006
1570119300000,3.87,3.94,3.8,3.91,36410
1570120200000,3.865,3.9,3.81,3.9,8900
1570121100000,3.92,3.92,3.85,3.88,800
1570122000000,3.85,3.89,3.82,3.89,1600
1570122900000,3.86,3.89,3.83,3.83,3200
1570123800000,3.84,3.9,3.82,3.86,6990
1570124700000,3.84,3.86,3.8,3.835,3290
1570125600000,3.84,3.85,3.83,3.84,1950
1570126500000,3.84,3.85,3.83,3.835,1300
1570127400000,3.8201,3.86,3.8201,3.83,1540
1570128300000,3.8448,3.87,3.84,3.87,2850
1570129200000,3.86,3.9,3.85,3.87,3400
1570130100000,3.87,3.89,3.85,3.87,8479
1570131000000,3.87,3.9,3.86,3.9,8111
1570131900000,3.89,3.9,3.78,3.83,17627
1570195800000,3.85,4.04,3.85,3.8909,14722
1570196700000,3.84,3.865,3.83,3.865,23405
1570197600000,3.865,3.97,3.865,3.945,30121
1570198500000,3.901,3.95,3.901,3.95,2800
1570199400000,3.97,3.97,3.94,3.94,300
1570200300000,3.935,3.98,3.93,3.97,9106
1570201200000,3.96,3.97,3.935,3.94,6541
1570202100000,3.95,3.96,3.945,3.95,6100
1570203000000,3.945,4.06,3.93,4.01,65900
1570203900000,4.0,4.03,3.98,4.0,218190
1570204800000,4.0,4.0,3.98,3.99,10300
1570205700000,3.99,4.0,3.95,3.98,51230
1570206600000,3.9857,3.99,3.975,3.975,1850
1570207500000,3.97,3.9871,3.97,3.9871,1205
1570208400000,3.97,3.99,3.97,3.99,17490
1570209300000,4.015,4.015,4.0,4.0,1800
