datetime,open,high,low,close,volume
1569504600000,6.18,6.18,6.15,6.15,25120
1569505500000,6.16,6.17,6.16,6.16,3620
1569506400000,6.1632,6.1699,6.15,6.157,18676
1569507300000,6.155,6.16,6.15,6.16,10471
1569508200000,6.16,6.16,6.155,6.1593,6322
1569509100000,6.1567,6.16,6.1567,6.16,6764
1569510000000,6.16,6.16,6.15,6.155,2600
1569510900000,6.155,6.16,6.15,6.15,4883
1569511800000,6.1539,6.16,6.1515,6.155,4369
1569512700000,6.155,6.16,6.15,6.15,6800
1569513600000,6.16,6.16,6.155,6.155,7032
1569514500000,6.155,6.16,6.15,6.16,13807
1569515400000,6.1611,6.18,6.1611,6.1701,10559
1569516300000,6.175,6.175,6.15,6.15,4912
1569517200000,6.155,6.18,6.15,6.1774,18538
1569518100000,6.175,6.1751,6.15,6.16,4831
1569519000000,6.16,6.1699,6.16,6.165,1200
1569519900000,6.16,6.16,6.1542,6.16,7325
1569520800000,6.155,6.18,6.155,6.18,13497
1569521700000,6.18,6.18,6.17,6.18,9600
1569522600000,6.175,6.18,6.15,6.155,35999
1569523500000,6.16,6.165,6.16,6.1603,4524
1569524400000,6.165,6.17,6.16,6.165,3215
1569525300000,6.165,6.1662,6.16,6.165,9361
1569526200000,6.165,6.17,6.155,6.155,5810
1569527100000,6.15,6.1763,6.15,6.16,29293
1569591000000,6.18,6.18,6.18,6.18,9872
1569592800000,6.18,6.18,6.18,6.18,200
1569593700000,6.1728,6.19,6.17,6.18,5034
1569594600000,6.18,6.19,6.1724,6.175,12568
1569595500000,6.1761,6.1761,6.17,6.17,1727
1569596400000,6.1783,6.18,6.17,6.18,8087
1569597300000,6.175,6.18,6.17,6.18,1193
1569598200000,6.18,6.18,6.18,6.18,700
1569599100000,6.1756,6.19,6.17,6.175,3455
1569600000000,6.176,6.176,6.17,6.17,300
1569600900000,6.18,6.18,6.17,6.1734,7810
1569601800000,6.17,6.18,6.16,6.16,7750
1569602700000,6.165,6.169,6.16,6.1632,4386
1569603600000,6.16,6.16,6.155,6.16,10229
1569604500000,6.1631,6.17,6.161,6.167,3979
1569605400000,6.16,6.17,6.16,6.17,2400
1569606300000,6.1682,6.17,6.1682,6.17,845
1569607200000,6.17,6.17,6.1643,6.1643,2000
1569608100000,6.1636,6.17,6.16,6.1699,6100
1569609000000,6.16,6.17,6.16,6.16,3910
1569609900000,6.1601,6.17,6.155,6.155,10599
1569610800000,6.16,6.1601,6.15,6.16,7600
1569611700000,6.165,6.17,6.165,6.169,1365
1569612600000,6.17,6.18,6.16,6.18,7150
1569613500000,6.1763,6.2,6.175,6.195,26180
1569850200000,6.21,6.21,6.1852,6.2003,39078
1569851100000,6.2,6.205,6.19,6.2,6971
1569852000000,6.205,6.22,6.2,6.21,30378
1569852900000,6.21,6.22,6.21,6.21,15166
1569853800000,6.22,6.22,6.21,6.21,11788
1569854700000,6.21,6.215,6.21,6.21,4400
1569855600000,6.21,6.221,6.21,6.21,15489
1569856500000,6.21,6.22,6.2001,6.22,4860
1569857400000,6.2,6.21,6.2,6.21,5570
1569858300000,6.21,6.21,6.2012,6.2012,610
1569859200000,6.219,6.22,6.2,6.21,5671
