datetime,open,high,low,close,volume
1591968600000,9.61,9.69,9.53,9.53,4060
1591969500000,9.685,9.685,9.63,9.63,2008
1591970400000,9.57,9.58,9.55,9.565,629
1591971300000,9.49,9.525,9.46,9.5,4156
1591972200000,9.5,9.5,9.345,9.345,7472
1591973100000,9.37,9.4,9.16,9.2,3984
1591974000000,9.19,9.22,9.085,9.1,19997
1591974900000,9.1,9.17,9.1,9.12,15090
1591975800000,9.14,9.27,9.13,9.24,6326
1591976700000,9.22,9.31,9.22,9.31,1814
1591977600000,9.33,9.4,9.32,9.355,2782
1591978500000,9.33,9.38,9.3,9.3,2777
1591979400000,9.2701,9.29,9.24,9.2553,3715
1591980300000,9.2,9.23,9.1501,9.23,10639
1591981200000,9.2,9.21,9.09,9.1,8029
1591982100000,9.09,9.1,9.0,9.01,7468
1591983000000,9.0,9.05,8.98,8.98,13951
1591983900000,8.96,8.99,8.89,8.92,5988
1591984800000,8.85,8.96,8.85,8.96,3839
1591985700000,8.93,9.03,8.89,8.98,5673
1591986600000,9.01,9.2,9.01,9.11,10844
1591987500000,9.14,9.18,9.12,9.18,2061
1591988400000,9.19,9.31,9.18,9.25,5090
1591989300000,9.25,9.25,9.07,9.08,4714
1591990200000,9.09,9.16,9.05,9.16,7904
1591991100000,9.16,9.25,9.15,9.2,15672
