datetime,open,high,low,close,volume
1569504600000,9.69,9.74,9.55,9.59,146246
1569505500000,9.58,9.63,9.56,9.605,116299
1569506400000,9.61,9.65,9.56,9.575,102204
1569507300000,9.58,9.625,9.52,9.55,136343
1569508200000,9.54,9.6775,9.52,9.67,96444
1569509100000,9.665,9.69,9.59,9.6,109934
1569510000000,9.59,9.63,9.57,9.63,43693
1569510900000,9.63,9.64,9.53,9.545,65936
1569511800000,9.55,9.61,9.53,9.59,51479
1569512700000,9.59,9.59,9.55,9.57,29359
1569513600000,9.575,9.645,9.555,9.625,98096
1569514500000,9.62,9.68,9.61,9.665,50054
1569515400000,9.67,9.71,9.65,9.67,63766
1569516300000,9.67,9.68,9.64,9.645,22544
1569517200000,9.65,9.67,9.63,9.64,24140
1569518100000,9.64,9.64,9.61,9.62,27949
1569519000000,9.62,9.66,9.615,9.655,24592
1569519900000,9.66,9.665,9.62,9.66,36519
1569520800000,9.66,9.68,9.64,9.67,25120
1569521700000,9.68,9.72,9.67,9.705,49732
1569522600000,9.71,9.74,9.7,9.74,45880
1569523500000,9.74,9.75,9.71,9.71,58684
1569524400000,9.71,9.725,9.69,9.69,45503
1569525300000,9.7,9.73,9.69,9.725,63694
1569526200000,9.73,9.83,9.72,9.805,247264
1569527100000,9.805,9.805,9.755,9.8,375422
1569591000000,9.83,9.94,9.72,9.91,183260
1569591900000,9.91,9.94,9.84,9.895,88024
1569592800000,9.89,9.91,9.81,9.88,122922
1569593700000,9.87,9.91,9.84,9.86,55906
1569594600000,9.87,9.88,9.81,9.83,99190
1569595500000,9.83,9.87,9.82,9.86,73075
1569596400000,9.86,9.895,9.85,9.88,166959
1569597300000,9.875,9.89,9.85,9.87,59656
1569598200000,9.875,9.95,9.78,9.83,124377
1569599100000,9.825,9.945,9.825,9.92,32771
1569600000000,9.91,9.9101,9.865,9.9,34864
1569600900000,9.89,9.9,9.85,9.885,28024
1569601800000,9.88,9.91,9.87,9.88,43214
1569602700000,9.88,9.89,9.81,9.815,48982
1569603600000,9.815,9.87,9.805,9.87,41743
1569604500000,9.87,9.8712,9.84,9.87,26864
1569605400000,9.87,9.87,9.83,9.845,22447
1569606300000,9.84,9.89,9.81,9.89,45042
1569607200000,9.885,9.935,9.87,9.93,61623
1569608100000,9.935,9.98,9.905,9.91,56206
1569609000000,9.91,9.93,9.88,9.89,33995
1569609900000,9.895,9.905,9.875,9.895,27295
1569610800000,9.895,9.91,9.88,9.885,57118
1569611700000,9.88,9.93,9.88,9.915,53869
1569612600000,9.915,9.94,9.9,9.91,118386
1569613500000,9.91,9.915,9.84,9.88,528209
1569850200000,10.6,10.6,10.25,10.53,1660753
1569851100000,10.53,10.78,10.525,10.62,1590877
1569852000000,10.6,10.61,10.37,10.49,774321
1569852900000,10.49,10.59,10.38,10.44,685834
1569853800000,10.435,10.485,10.38,10.4555,279409
1569854700000,10.455,10.465,10.37,10.415,404326
1569855600000,10.42,10.63,10.42,10.495,418756
1569856500000,10.49,10.66,10.45,10.655,337910
1569857400000,10.66,10.66,10.56,10.575,190624
1569858300000,10.57,10.68,10.525,10.5806,218486
1569859200000,10.58,10.59,10.5201,10.5241,162913
1569860100000,10.52,10.615,10.52,10.61,124089
1569861000000,10.6,10.625,10.54,10.5489,246703
1569861900000,10.55,10.65,10.53,10.64,196968
1569862800000,10.64,10.65,10.57,10.625,154359
1569863700000,10.625,10.64,10.56,10.575,116344
1569864600000,10.58,10.62,10.52,10.53,112224
1569865500000,10.53,10.55,10.47,10.53,235598
1569866400000,10.53,10.58,10.5,10.55,154046
1569867300000,10.56,10.58,10.49,10.51,132500
1569868200000,10.51,10.65,10.485,10.6,207776
1569869100000,10.59,10.64,10.58,10.63,201201
1569870000000,10.64,10.66,10.52,10.59,239529
1569870900000,10.6,10.63,10.58,10.5962,181209
1569871800000,10.6,10.64,10.58,10.6359,261277
1569872700000,10.635,10.71,10.63,10.65,1034439
1569936600000,10.76,10.98,10.68,10.77,841384
1569937500000,10.77,10.87,10.73,10.82,327936
1569938400000,10.815,10.84,10.64,10.725,275885
1569939300000,10.725,10.81,10.72,10.79,185871
1569940200000,10.79,10.8398,10.71,10.74,191715
1569941100000,10.74,10.75,10.61,10.63,157665
1569942000000,10.63,10.68,10.535,10.58,255690
1569942900000,10.58,10.62,10.57,10.59,121226
1569943800000,10.6,10.7,10.55,10.56,231491
1569944700000,10.565,10.59,10.51,10.565,166583
1569945600000,10.565,10.5804,10.51,10.51,137669
1569946500000,10.51,10.54,10.39,10.44,267720
1569947400000,10.445,10.5,10.44,10.47,150542
