datetime,open,high,low,close,volume
1569504600000,7.54,7.5751,7.5107,7.5422,9885
1569505500000,7.55,7.55,7.53,7.54,7412
1569506400000,7.53,7.5394,7.53,7.5323,5436
1569507300000,7.53,7.53,7.52,7.52,3044
1569508200000,7.52,7.52,7.5165,7.52,6335
1569509100000,7.52,7.52,7.51,7.51,4029
1569510000000,7.515,7.515,7.5,7.5,4495
1569510900000,7.5,7.5052,7.5,7.505,10240
1569511800000,7.5,7.509,7.495,7.5,7956
1569512700000,7.5,7.5,7.49,7.495,10195
1569513600000,7.495,7.5,7.4934,7.5,10752
1569514500000,7.5,7.5,7.4936,7.4943,7838
1569515400000,7.4951,7.4951,7.4924,7.495,1950
1569516300000,7.4993,7.51,7.495,7.5033,9519
1569517200000,7.51,7.51,7.5004,7.505,8455
1569518100000,7.505,7.505,7.5008,7.5008,1950
1569519000000,7.505,7.51,7.5,7.507,6600
1569519900000,7.505,7.5094,7.5,7.505,4085
1569520800000,7.51,7.51,7.5,7.505,9942
1569521700000,7.5005,7.509,7.5005,7.505,7190
1569522600000,7.505,7.505,7.5,7.5,1300
1569523500000,7.5037,7.5069,7.5,7.5,2190
1569524400000,7.5001,7.505,7.5,7.505,7467
1569525300000,7.505,7.5095,7.495,7.5,21958
1569526200000,7.49,7.4985,7.49,7.4985,5427
1569527100000,7.4973,7.5,7.48,7.48,8866
1569591000000,7.48,7.53,7.48,7.52,9433
1569591900000,7.5275,7.5275,7.5175,7.52,2920
1569592800000,7.53,7.53,7.5175,7.525,15345
1569593700000,7.5254,7.53,7.52,7.5201,5400
1569594600000,7.52,7.5279,7.5101,7.52,3578
1569595500000,7.525,7.5253,7.5108,7.5108,16488
1569596400000,7.51,7.5394,7.51,7.515,20398
1569597300000,7.513,7.53,7.513,7.5154,31718
1569598200000,7.52,7.54,7.51,7.53,41848
1569599100000,7.525,7.5368,7.52,7.52,4619
1569600000000,7.52,7.5256,7.52,7.5256,1822
1569600900000,7.52,7.52,7.52,7.52,300
1569601800000,7.52,7.52,7.52,7.52,100
1569602700000,7.52,7.5229,7.52,7.5229,1504
1569603600000,7.52,7.5248,7.51,7.5142,14763
1569604500000,7.5142,7.5239,7.513,7.5239,9592
1569605400000,7.525,7.525,7.52,7.52,17615
1569606300000,7.5166,7.5166,7.51,7.51,4010
1569607200000,7.51,7.51,7.5063,7.51,2700
1569608100000,7.5109,7.5139,7.51,7.5139,3072
1569609000000,7.5199,7.52,7.5108,7.515,3043
1569609900000,7.5165,7.5165,7.505,7.5095,5956
1569610800000,7.5062,7.5128,7.5062,7.51,3225
1569611700000,7.5145,7.5173,7.51,7.513,2032
1569612600000,7.5147,7.5177,7.51,7.5177,4963
1569613500000,7.52,7.52,7.5,7.515,20278
1569850200000,7.5,7.5,7.47,7.5,16847
1569851100000,7.49,7.5,7.48,7.5,10114
1569852000000,7.5,7.5,7.491,7.495,22015
1569852900000,7.492,7.5,7.49,7.495,9224
1569853800000,7.5,7.5,7.495,7.5,5732
1569854700000,7.5,7.5,7.4923,7.495,8325
1569855600000,7.49,7.5,7.49,7.499,5474
1569856500000,7.4931,7.5,7.49,7.4938,5119
