datetime,open,high,low,close,volume
1591968600000,9.17,9.6,9.16,9.55,417071
1591969500000,9.5486,9.55,9.16,9.21,181467
1591970400000,9.24,9.38,9.2183,9.23,74318
1591971300000,9.23,9.24,9.1,9.1,84264
1591972200000,9.1,9.12,8.88,8.94,98505
1591973100000,8.95,9.0,8.7,8.705,117412
1591974000000,8.705,8.84,8.67,8.695,157020
1591974900000,8.7,8.83,8.54,8.81,90459
1591975800000,8.81,8.86,8.7,8.74,81975
1591976700000,8.75,8.93,8.75,8.93,68745
1591977600000,8.9302,8.97,8.85,8.8701,58401
1591978500000,8.88,8.905,8.79,8.82,38552
1591979400000,8.815,8.88,8.791,8.865,32672
1591980300000,8.8601,8.96,8.78,8.9401,115911
1591981200000,8.94,8.945,8.75,8.87,160979
1591982100000,8.86,8.97,8.83,8.879,80829
1591983000000,8.88,8.92,8.75,8.805,68473
1591983900000,8.805,8.83,8.69,8.7,72821
1591984800000,8.71,8.88,8.71,8.855,52744
1591985700000,8.8562,8.8562,8.75,8.77,99278
1591986600000,8.765,8.84,8.69,8.71,55613
1591987500000,8.71,8.79,8.71,8.77,47408
1591988400000,8.77,8.87,8.765,8.82,63099
1591989300000,8.82,8.82,8.72,8.77,53873
1591990200000,8.789,8.8,8.77,8.775,61680
1591991100000,8.775,8.84,8.76,8.78,237566
