datetime,open,high,low,close,volume
1569504600000,33.52,34.4,33.01,34.0,92154
1569505500000,34.0,34.04,33.76,33.76,18329
1569506400000,33.75,33.87,33.7,33.755,10207
1569507300000,33.755,33.755,33.61,33.66,3600
1569508200000,33.695,33.77,33.63,33.65,24078
1569509100000,33.65,33.75,33.62,33.73,26224
1569510000000,33.77,33.77,33.6,33.7,33796
1569510900000,33.715,33.77,33.6,33.75,9048
1569511800000,33.75,33.875,33.73,33.83,13050
1569512700000,33.815,33.88,33.8,33.85,5750
1569513600000,33.85,33.96,33.85,33.89,16408
1569514500000,33.895,33.92,33.81,33.9,8225
1569515400000,33.915,33.96,33.88,33.9,9100
1569516300000,33.89,33.935,33.88,33.91,3576
1569517200000,33.88,33.92,33.81,33.84,9385
1569518100000,33.83,33.86,33.805,33.825,10437
1569519000000,33.825,33.875,33.81,33.86,9536
1569519900000,33.86,33.88,33.78,33.78,12887
1569520800000,33.79,33.93,33.73,33.9,11324
1569521700000,33.885,33.93,33.835,33.835,20674
1569522600000,33.835,33.885,33.82,33.88,7822
1569523500000,33.8799,33.915,33.83,33.83,15616
1569524400000,33.83,33.87,33.79,33.84,10055
1569525300000,33.83,33.84,33.77,33.79,12709
1569526200000,33.8,33.8725,33.75,33.8,21329
1569527100000,33.8,33.815,33.66,33.68,68763
1569591000000,33.9,34.08,33.82,33.83,21990
1569591900000,33.825,33.83,33.59,33.59,6487
1569592800000,33.61,33.66,33.53,33.55,5251
1569593700000,33.55,33.61,33.44,33.525,14007
1569594600000,33.51,33.51,33.36,33.39,10440
1569595500000,33.39,33.525,33.38,33.44,6543
1569596400000,33.48,33.53,33.39,33.39,7663
1569597300000,33.43,33.51,33.42,33.51,4175
1569598200000,33.5,33.52,33.24,33.43,11148
1569599100000,33.4,33.5,33.2701,33.5,8153
1569600000000,33.47,33.49,33.41,33.47,3200
1569600900000,33.47,33.53,33.395,33.43,2249
1569601800000,33.41,33.49,33.38,33.44,5932
1569602700000,33.42,33.43,33.29,33.33,6867
1569603600000,33.28,33.42,33.28,33.35,5408
1569604500000,33.36,33.38,33.27,33.295,6951
1569605400000,33.295,33.32,33.267,33.305,9996
1569606300000,33.29,33.29,33.2,33.29,2400
1569607200000,33.3,33.3,33.21,33.255,7306
1569608100000,33.255,33.28,33.21,33.22,4179
1569609000000,33.22,33.23,33.18,33.21,5805
1569609900000,33.19,33.22,33.17,33.17,9170
1569610800000,33.15,33.195,33.13,33.19,6383
1569611700000,33.19,33.36,33.18,33.305,21226
1569612600000,33.3,33.33,33.27,33.32,10108
1569613500000,33.34,33.42,33.26,33.39,70661
1569850200000,33.3,33.67,33.3,33.52,12434
1569851100000,33.5,33.53,33.385,33.44,5689
1569852000000,33.44,33.52,33.35,33.465,5973
1569852900000,33.47,33.5,33.45,33.5,3105
1569853800000,33.46,33.53,33.44,33.44,3824
1569854700000,33.47,33.52,33.44,33.505,4122
1569855600000,33.52,33.54,33.41,33.47,5710
1569856500000,33.42,33.54,33.41,33.49,6573
1569857400000,33.5,33.53,33.47,33.475,8025
1569858300000,33.47,33.47,33.41,33.445,8204
1569859200000,33.44,33.52,33.44,33.46,8698
1569860100000,33.46,33.59,33.445,33.55,9508
1569861000000,33.56,33.605,33.54,33.56,14212
1569861900000,33.565,33.61,33.555,33.57,13746
1569862800000,33.57,33.58,33.53,33.53,4906
1569863700000,33.53,33.56,33.5,33.54,5030
1569864600000,33.54,33.63,33.54,33.6225,13619
1569865500000,33.615,33.69,33.615,33.62,8346
1569866400000,33.62,33.64,33.61,33.6325,11487
1569867300000,33.62,33.8,33.62,33.79,18917
1569868200000,33.76,33.81,33.75,33.8,14184
1569869100000,33.8,33.81,33.72,33.73,15900
1569870000000,33.71,33.76,33.66,33.69,10828
1569870900000,33.69,33.76,33.68,33.725,9115
1569871800000,33.72,33.72,33.63,33.63,15635
1569872700000,33.64,33.67,33.46,33.53,75064
1569936600000,33.81,34.1,33.81,34.0,9594
1569937500000,34.06,34.1,33.6,33.61,14675
1569938400000,33.61,33.61,32.85,32.85,27360
1569939300000,32.88,32.92,32.63,32.72,18127
1569940200000,32.72,32.92,32.69,32.78,12931
1569941100000,32.78,32.9,32.59,32.62,14766
1569942000000,32.68,32.7,32.51,32.525,10822
1569942900000,32.52,32.72,32.48,32.72,11309
1569943800000,32.73,32.8,32.55,32.61,13104
1569944700000,32.61,32.68,32.58,32.64,10405
1569945600000,32.63,32.63,32.31,32.31,9936
1569946500000,32.335,32.39,32.24,32.31,8994
1569947400000,32.285,32.285,32.18,32.23,6310
1569948300000,32.24,32.29,32.17,32.2,9176
1569949200000,32.15,32.15,31.87,31.9,24629
1569950100000,31.905,31.925,31.74,31.755,16934
1569951000000,31.73,31.77,31.65,31.74,15400
1569951900000,31.74,31.86,31.52,31.62,29842
1569952800000,31.6228,31.74,31.59,31.7,10514
1569953700000,31.73,31.86,31.67,31.76,6600
1569954600000,31.8,31.83,31.69,31.83,13541
1569955500000,31.83,31.87,31.71,31.75,13306
1569956400000,31.76,31.76,31.64,31.695,18274
1569957300000,31.695,31.84,31.66,31.73,27514
1569958200000,31.725,31.725,31.54,31.55,36652
1569959100000,31.545,31.57,31.36,31.39,94034
1570023000000,31.32,31.32,30.82,30.94,11087
1570023900000,30.92,30.92,30.7,30.7,14518
1570024800000,30.7,30.89,30.6,30.86,12202
1570025700000,30.88,31.03,30.79,31.005,17624
1570026600000,31.0,31.0,30.77,30.955,11078
1570027500000,30.97,31.13,30.79,31.08,12839
1570028400000,31.11,31.33,31.11,31.31,21750
1570029300000,31.31,31.44,31.29,31.3,28183
