datetime,open,high,low,close,volume
1569504600000,36.85,36.85,36.57,36.58,4721
1569505500000,36.73,36.93,36.41,36.435,9100
1569506400000,36.51,36.68,36.42,36.42,5400
1569507300000,36.44,36.69,36.43,36.6,4500
1569508200000,36.55,36.8,36.55,36.8,3600
1569509100000,36.73,36.83,36.72,36.73,3600
1569510000000,36.76,36.76,36.49,36.63,6380
1569510900000,36.61,36.63,36.46,36.5,6000
1569511800000,36.5,36.6,36.46,36.58,5207
1569512700000,36.58,36.58,36.51,36.51,4170
1569513600000,36.49,36.77,36.44,36.73,8233
1569514500000,36.74,37.05,36.74,37.04,9700
1569515400000,37.04,37.09,36.98,37.0,5700
1569516300000,36.99,37.1,36.97,37.05,4499
1569517200000,37.06,37.12,37.02,37.08,7100
1569518100000,37.08,37.1,36.97,37.025,7281
1569519000000,37.035,37.18,37.035,37.18,7200
1569519900000,37.19,37.25,37.12,37.25,7113
1569520800000,37.25,37.31,37.2,37.27,5600
1569521700000,37.28,37.34,37.21,37.34,5200
1569522600000,37.33,37.34,37.24,37.29,16410
1569523500000,37.3,37.37,37.2901,37.33,10123
1569524400000,37.31,37.34,37.245,37.32,12849
1569525300000,37.33,37.385,37.32,37.36,9798
1569526200000,37.37,37.39,37.27,37.27,15600
1569527100000,37.27,37.27,37.13,37.19,31587
1569591000000,37.51,38.04,37.51,37.95,8178
1569591900000,38.01,38.08,37.89,37.94,3400
1569592800000,37.94,38.0,37.83,37.835,5134
1569593700000,37.81,37.94,37.77,37.895,6911
1569594600000,37.87,38.02,37.79,37.99,12288
1569595500000,38.01,38.17,38.0,38.115,2557
1569596400000,38.115,38.14,38.02,38.03,4521
1569597300000,37.99,37.99,37.88,37.88,6705
1569598200000,37.88,37.97,37.6,37.83,12124
1569599100000,37.83,38.05,37.775,37.95,5395
1569600000000,37.975,37.98,37.855,37.86,4400
1569600900000,37.87,37.875,37.72,37.85,6807
1569601800000,37.78,37.83,37.73,37.73,4300
1569602700000,37.76,37.825,37.59,37.64,11548
1569603600000,37.64,37.92,37.59,37.91,5728
1569604500000,37.92,37.92,37.85,37.885,3700
1569605400000,37.94,37.99,37.91,37.96,3900
1569606300000,37.93,37.95,37.83,37.91,3592
1569607200000,37.9,38.04,37.9,37.9,5880
1569608100000,37.93,37.94,37.82,37.85,4700
1569609000000,37.85,37.85,37.675,37.675,5755
1569609900000,37.64,37.66,37.57,37.66,7963
1569610800000,37.635,37.8,37.635,37.735,7400
1569611700000,37.735,37.87,37.73,37.8,8610
1569612600000,37.79,37.845,37.75,37.84,14387
1569613500000,37.84,37.97,37.84,37.95,26166
