datetime,open,high,low,close,volume
1569504600000,7.58,7.58,7.47,7.49,36170
1569505500000,7.49,7.49,7.42,7.45,52595
1569506400000,7.45,7.46,7.42,7.44,40816
1569507300000,7.435,7.435,7.395,7.42,30578
1569508200000,7.415,7.45,7.41,7.435,21336
1569509100000,7.43,7.45,7.39,7.4,30674
1569510000000,7.395,7.41,7.37,7.4,29140
1569510900000,7.395,7.395,7.345,7.375,32135
1569511800000,7.375,7.4,7.33,7.345,56486
1569512700000,7.35,7.365,7.32,7.33,27422
1569513600000,7.335,7.38,7.325,7.365,22010
1569514500000,7.365,7.46,7.36,7.45,45332
1569515400000,7.46,7.46,7.44,7.46,13377
1569516300000,7.45,7.45,7.42,7.44,12321
1569517200000,7.44,7.44,7.41,7.415,11399
1569518100000,7.415,7.45,7.415,7.445,20075
1569519000000,7.445,7.495,7.44,7.47,19612
1569519900000,7.47,7.48,7.465,7.475,7653
1569520800000,7.48,7.49,7.45,7.475,16140
1569521700000,7.48,7.48,7.43,7.435,23187
1569522600000,7.44,7.47,7.435,7.46,34752
1569523500000,7.46,7.47,7.45,7.46,31769
1569524400000,7.46,7.49,7.46,7.47,14546
1569525300000,7.47,7.495,7.45,7.46,23575
1569526200000,7.46,7.485,7.45,7.45,27247
1569527100000,7.45,7.47,7.42,7.43,132043
1569591000000,7.45,7.59,7.45,7.55,23863
1569591900000,7.555,7.5589,7.48,7.53,36599
1569592800000,7.525,7.525,7.46,7.46,29627
1569593700000,7.45,7.49,7.43,7.485,25050
1569594600000,7.485,7.52,7.475,7.505,15865
1569595500000,7.51,7.535,7.5,7.525,7755
1569596400000,7.53,7.54,7.48,7.485,25021
1569597300000,7.48,7.5,7.47,7.49,13866
1569598200000,7.485,7.505,7.41,7.46,30071
1569599100000,7.45,7.49,7.45,7.47,11509
1569600000000,7.47,7.47,7.445,7.46,17359
1569600900000,7.46,7.46,7.43,7.44,17657
1569601800000,7.435,7.45,7.425,7.425,19764
1569602700000,7.43,7.44,7.4,7.41,24033
1569603600000,7.4,7.45,7.395,7.44,21168
1569604500000,7.435,7.45,7.42,7.45,14924
1569605400000,7.45,7.45,7.43,7.44,19684
1569606300000,7.43,7.475,7.43,7.47,25485
1569607200000,7.47,7.48,7.45,7.48,18729
1569608100000,7.475,7.475,7.45,7.475,25180
1569609000000,7.47,7.48,7.41,7.41,30195
1569609900000,7.41,7.43,7.4,7.4,24115
1569610800000,7.405,7.42,7.38,7.395,30379
1569611700000,7.39,7.43,7.39,7.405,34881
1569612600000,7.4,7.42,7.4,7.4,20004
1569613500000,7.405,7.42,7.39,7.4,89917
1569850200000,7.4,7.55,7.4,7.52,34430
1569851100000,7.54,7.57,7.52,7.545,15709
1569852000000,7.55,7.57,7.545,7.565,17496
1569852900000,7.57,7.62,7.57,7.61,27903
1569853800000,7.605,7.63,7.56,7.56,18313
1569854700000,7.56,7.595,7.55,7.56,66539
1569855600000,7.56,7.615,7.555,7.615,65905
1569856500000,7.61,7.635,7.61,7.62,19719
1569857400000,7.615,7.65,7.605,7.65,28424
1569858300000,7.65,7.65,7.63,7.64,15899
1569859200000,7.64,7.66,7.63,7.63,20561
1569860100000,7.635,7.68,7.63,7.68,19924
1569861000000,7.68,7.68,7.65,7.655,16574
1569861900000,7.655,7.68,7.65,7.67,16511
1569862800000,7.66,7.67,7.65,7.65,14944
1569863700000,7.65,7.66,7.63,7.63,17109
1569864600000,7.635,7.655,7.63,7.65,46361
1569865500000,7.64,7.65,7.62,7.65,21181
1569866400000,7.645,7.65,7.635,7.645,18764
1569867300000,7.645,7.65,7.59,7.6,85589
1569868200000,7.605,7.62,7.58,7.62,29441
1569869100000,7.62,7.63,7.6,7.61,35794
1569870000000,7.61,7.62,7.59,7.61,38199
1569870900000,7.605,7.64,7.6,7.635,34188
1569871800000,7.64,7.64,7.59,7.6,179212
1569872700000,7.6,7.61,7.575,7.59,239882
1569936600000,7.8,7.95,7.7735,7.8357,76718
1569937500000,7.84,7.945,7.835,7.915,55580
1569938400000,7.92,7.94,7.84,7.84,44819
1569939300000,7.84,7.87,7.79,7.82,27426
1569940200000,7.825,7.875,7.79,7.85,40891
1569941100000,7.85,7.86,7.8,7.83,56960
1569942000000,7.82,7.85,7.81,7.835,25858
1569942900000,7.83,7.86,7.81,7.845,29131
1569943800000,7.845,7.95,7.845,7.94,55859
1569944700000,7.9453,7.95,7.89,7.915,94402
1569945600000,7.915,7.92,7.88,7.88,39998
1569946500000,7.88,7.93,7.88,7.915,31586
1569947400000,7.915,7.93,7.895,7.9,30778
1569948300000,7.895,7.91,7.87,7.875,26363
1569949200000,7.88,7.89,7.86,7.87,20649
1569950100000,7.86,7.87,7.835,7.86,50012
1569951000000,7.855,7.89,7.85,7.855,63374
1569951900000,7.85,7.86,7.795,7.795,27796
1569952800000,7.79,7.795,7.72,7.725,34504
1569953700000,7.72,7.73,7.705,7.715,30191
1569954600000,7.72,7.77,7.72,7.77,42410
1569955500000,7.775,7.81,7.775,7.81,46063
1569956400000,7.8,7.82,7.77,7.77,32543
1569957300000,7.77,7.79,7.76,7.785,13514
1569958200000,7.785,7.79,7.75,7.785,39317
1569959100000,7.785,7.8,7.76,7.78,114818
1570023000000,7.72,7.72,7.57,7.605,49727
1570023900000,7.6,7.63,7.57,7.61,39060
1570024800000,7.61,7.625,7.58,7.62,26974
1570025700000,7.62,7.67,7.615,7.63,29022
1570026600000,7.63,7.68,7.6,7.67,36982
1570027500000,7.665,7.72,7.65,7.7,23549
1570028400000,7.7,7.73,7.7,7.73,17906
1570029300000,7.725,7.74,7.69,7.7,27577
