datetime,open,high,low,close,volume
1569504600000,20.61,20.625,20.35,20.35,5028
1569505500000,20.365,20.4,20.1,20.3,77899
1569506400000,20.33,20.34,20.16,20.16,15601
1569507300000,20.14,20.15,19.92,20.04,88985
1569508200000,20.06,20.06,19.98,20.04,4018
1569509100000,20.03,20.04,19.89,19.89,13350
1569510000000,19.82,19.83,19.75,19.8,6318
1569510900000,19.8,19.91,19.77,19.8,9919
1569511800000,19.84,20.0,19.84,19.99,12110
1569512700000,19.97,19.98,19.91,19.94,5538
1569513600000,19.93,20.05,19.93,20.05,6800
1569514500000,20.025,20.07,19.99,20.04,2617
1569515400000,20.05,20.12,20.04,20.11,8733
1569516300000,20.1,20.12,19.9,19.9,18011
1569517200000,19.92,19.98,19.86,19.86,10573
1569518100000,19.85,19.89,19.81,19.855,6518
1569519000000,19.87,20.01,19.87,20.01,4630
1569519900000,20.01,20.07,19.92,20.07,21494
1569520800000,20.07,20.19,20.07,20.18,6724
1569521700000,20.2,20.21,20.07,20.1,8063
1569522600000,20.1,20.13,20.08,20.1,2505
1569523500000,20.08,20.09,20.01,20.02,4887
1569524400000,20.05,20.05,20.02,20.025,3952
1569525300000,20.025,20.08,19.99,20.07,10895
1569526200000,20.07,20.11,20.045,20.06,17991
1569527100000,20.055,20.13,20.04,20.07,41236
1569591000000,20.13,20.49,20.13,20.4614,14474
1569591900000,20.42,20.55,20.22,20.22,12163
1569592800000,20.23,20.31,20.12,20.19,10126
1569593700000,20.2,20.34,20.19,20.29,4097
1569594600000,20.31,20.42,20.31,20.35,4406
1569595500000,20.37,20.38,20.26,20.37,6331
1569596400000,20.36,20.4,20.27,20.34,6300
1569597300000,20.35,20.37,20.29,20.315,4300
1569598200000,20.31,20.35,20.08,20.08,9809
1569599100000,20.18,20.28,20.16,20.26,7345
1569600000000,20.24,20.26,20.11,20.18,7248
1569600900000,20.1,20.2,20.09,20.18,4884
1569601800000,20.17,20.185,20.03,20.185,9523
1569602700000,20.16,20.22,20.14,20.18,7304
1569603600000,20.14,20.21,20.13,20.2,3700
1569604500000,20.2,20.255,20.19,20.22,5586
1569605400000,20.22,20.29,20.21,20.23,7812
1569606300000,20.22,20.22,20.09,20.17,12384
1569607200000,20.18,20.215,20.143,20.215,6070
1569608100000,20.215,20.28,20.205,20.22,6801
1569609000000,20.175,20.18,20.13,20.155,8289
1569609900000,20.16,20.19,20.13,20.17,9695
1569610800000,20.17,20.2,20.14,20.19,8146
1569611700000,20.19,20.285,20.18,20.26,11414
1569612600000,20.25,20.29,20.21,20.21,13527
1569613500000,20.21,20.22,20.16,20.22,52341
1569850200000,20.24,20.55,20.24,20.49,7542
1569851100000,20.5,20.5,20.3764,20.43,3782
1569852000000,20.45,20.45,20.28,20.4209,5993
1569852900000,20.43,20.485,20.425,20.45,2680
1569853800000,20.45,20.47,20.36,20.36,2935
1569854700000,20.29,20.42,20.28,20.39,4560
1569855600000,20.41,20.41,20.34,20.34,5605
1569856500000,20.34,20.53,20.3,20.52,46434
1569857400000,20.53,20.53,20.47,20.5,4105
1569858300000,20.5,20.5,20.44,20.46,4180
1569859200000,20.46,20.48,20.4,20.4,4057
1569860100000,20.4,20.43,20.4,20.425,2748
1569861000000,20.43,20.43,20.4,20.425,2605
1569861900000,20.42,20.48,20.405,20.47,3407
1569862800000,20.48,20.48,20.44,20.455,2825
1569863700000,20.44,20.53,20.42,20.53,6572
1569864600000,20.525,20.58,20.51,20.575,5879
1569865500000,20.57,20.58,20.52,20.58,7398
1569866400000,20.59,20.67,20.59,20.65,9489
1569867300000,20.63,20.63,20.59,20.59,6426
1569868200000,20.6,20.64,20.585,20.63,19121
1569869100000,20.64,20.64,20.575,20.58,4827
1569870000000,20.58,20.62,20.57,20.59,4640
1569870900000,20.59,20.6,20.55,20.565,5875
1569871800000,20.56,20.67,20.56,20.66,12729
1569872700000,20.65,20.66,20.58,20.6,36984
1569936600000,20.7,20.94,20.66,20.83,27211
1569937500000,20.81,20.87,20.7,20.7,5860
1569938400000,20.7,20.74,20.53,20.555,15098
1569939300000,20.57,20.69,20.5,20.59,9433
1569940200000,20.54,20.66,20.54,20.66,15463
1569941100000,20.66,20.74,20.58,20.61,15800
1569942000000,20.57,20.76,20.57,20.685,10896
1569942900000,20.67,20.68,20.48,20.56,12247
1569943800000,20.55,20.66,20.535,20.61,14434
1569944700000,20.65,20.65,20.59,20.63,6142
1569945600000,20.62,20.62,20.5635,20.59,21316
1569946500000,20.56,20.65,20.52,20.56,6526
1569947400000,20.535,20.62,20.53,20.62,7877
1569948300000,20.63,20.68,20.63,20.65,10678
1569949200000,20.63,20.66,20.58,20.63,9423
1569950100000,20.65,20.66,20.58,20.58,11967
1569951000000,20.57,20.59,20.48,20.505,10792
1569951900000,20.47,20.52,20.44,20.5,9504
1569952800000,20.48,20.55,20.44,20.49,7935
1569953700000,20.47,20.5,20.43,20.5,8304
1569954600000,20.5,20.56,20.49,20.54,8645
1569955500000,20.53,20.57,20.53,20.55,10204
1569956400000,20.54,20.57,20.51,20.55,9881
1569957300000,20.55,20.58,20.535,20.58,14324
1569958200000,20.56,20.63,20.555,20.63,18399
1569959100000,20.625,20.69,20.61,20.62,51176
1570023000000,20.41,20.41,20.06,20.19,10378
1570023900000,20.16,20.16,19.97,20.05,10527
1570024800000,20.07,20.2,20.0287,20.175,14814
1570025700000,20.175,20.25,20.08,20.08,9865
1570026600000,20.08,20.19,20.075,20.1,9969
1570027500000,20.07,20.22,20.07,20.21,14706
1570028400000,20.21,20.27,20.14,20.155,7131
1570029300000,20.15,20.19,20.11,20.14,8906
1570030200000,20.14,20.18,20.05,20.16,14434
1570031100000,20.16,20.18,20.09,20.165,6692
1570032000000,20.17,20.19,20.02,20.05,7066
