datetime,open,high,low,close,volume
1591968600000,11.65,11.77,11.21,11.525,326541
1591969500000,11.5105,11.5105,11.18,11.35,182496
1591970400000,11.35,11.47,11.27,11.27,111773
1591971300000,11.275,11.42,11.2501,11.31,128925
1591972200000,11.32,11.3599,11.01,11.16,154585
1591973100000,11.14,11.2,11.005,11.015,262101
1591974000000,11.019,11.11,10.8,10.89,139166
1591974900000,10.89,11.02,10.81,10.91,74817
1591975800000,10.92,11.0801,10.86,10.97,74740
1591976700000,10.98,11.25,10.98,11.25,72362
1591977600000,11.269,11.2783,11.145,11.23,69712
1591978500000,11.23,11.35,11.16,11.28,73169
1591979400000,11.29,11.31,11.15,11.255,76536
1591980300000,11.26,11.33,11.13,11.31,49903
1591981200000,11.335,11.38,11.3,11.38,63191
1591982100000,11.38,11.42,11.29,11.36,63159
1591983000000,11.37,11.3971,11.18,11.225,76363
1591983900000,11.23,11.233,11.045,11.07,71635
1591984800000,11.07,11.27,11.06,11.24,70900
1591985700000,11.23,11.34,11.1899,11.305,58295
1591986600000,11.31,11.37,11.25,11.31,66284
1591987500000,11.3108,11.37,11.29,11.355,52286
1591988400000,11.36,11.56,11.36,11.5227,70746
1591989300000,11.53,11.545,11.355,11.42,46923
1591990200000,11.435,11.59,11.415,11.5049,68794
1591991100000,11.5,11.71,11.5,11.7,239194
