datetime,open,high,low,close,volume
1569504600000,25.18,25.18,24.905,25.085,2443
1569505500000,24.86,25.06,24.86,24.96,1100
1569506400000,25.05,25.17,24.99,25.11,1100
1569507300000,25.15,25.18,25.03,25.18,4599
1569508200000,25.215,25.27,24.99,25.02,2200
1569509100000,24.97,25.035,24.9,24.9,1950
1569510000000,24.89,24.99,24.83,24.86,3200
1569510900000,24.84,24.84,24.58,24.77,11901
1569511800000,24.77,24.7878,24.74,24.74,2907
1569512700000,24.7993,24.7993,24.69,24.69,2100
1569513600000,24.69,24.85,24.64,24.85,2475
1569514500000,24.85,24.91,24.83,24.87,2899
1569515400000,24.91,24.95,24.88,24.95,1100
1569516300000,24.91,24.96,24.84,24.85,3100
1569517200000,24.86,24.99,24.86,24.99,6121
1569518100000,25.0,25.03,24.994,25.03,2400
1569519000000,25.0,25.15,25.0,25.08,2100
1569519900000,25.1,25.1,24.99,25.0,3405
1569520800000,25.0,25.06,24.97,25.03,3165
1569521700000,25.05,25.22,25.05,25.09,8422
1569522600000,25.11,25.16,25.11,25.125,2400
1569523500000,25.11,25.15,25.08,25.08,851
1569524400000,25.05,25.08,25.01,25.04,2000
1569525300000,25.06,25.06,24.95,24.95,9501
1569526200000,24.92,25.1,24.88,25.03,8680
1569527100000,25.03,25.05,24.91,24.91,26811
1569591000000,24.9,24.9,24.61,24.82,3783
1569591900000,24.98,25.11,24.83,24.83,9066
1569592800000,24.95,25.15,24.92,24.96,25719
1569593700000,25.0,25.13,25.0,25.1,3798
1569594600000,25.16,25.225,25.07,25.2,1400
1569595500000,25.27,25.41,25.22,25.41,1693
1569596400000,25.43,25.44,25.18,25.185,2962
1569597300000,25.165,25.2,25.09,25.14,1533
1569598200000,25.09,25.15,24.79,25.0,3900
1569599100000,24.96,25.14,24.84,24.92,1300
1569600000000,24.88,24.88,24.71,24.71,2600
1569600900000,24.72,24.75,24.59,24.655,3180
1569601800000,24.63,24.745,24.59,24.72,2700
1569602700000,24.63,24.63,24.26,24.36,5051
1569603600000,24.31,24.39,24.3,24.35,2600
1569604500000,24.3,24.3,24.2,24.22,3501
1569605400000,24.25,24.39,24.23,24.29,7487
1569606300000,24.25,24.29,24.16,24.275,4027
1569607200000,24.3,24.31,24.09,24.1,6928
1569608100000,24.115,24.115,23.77,23.775,17196
1569609000000,23.77,23.81,23.71,23.75,6211
1569609900000,23.76,23.91,23.67,23.67,20537
1569610800000,23.72,23.73,23.5398,23.56,7300
1569611700000,23.55,23.73,23.55,23.615,11211
1569612600000,23.64,23.755,23.64,23.74,7600
1569613500000,23.725,23.82,23.5,23.64,52262
1569850200000,23.64,23.7547,23.25,23.35,10062
1569851100000,23.28,23.61,23.28,23.5,7394
1569852000000,23.54,23.66,23.44,23.56,4450
1569852900000,23.535,23.57,23.3,23.39,4200
1569853800000,23.39,23.595,23.29,23.54,36901
1569854700000,23.52,23.92,23.52,23.91,35400
1569855600000,23.9,23.91,23.625,23.69,3740
1569856500000,23.68,23.8,23.64,23.72,5499
1569857400000,23.79,23.79,23.64,23.76,4723
1569858300000,23.8,23.8,23.58,23.63,4520
1569859200000,23.62,23.84,23.62,23.84,3792
1569860100000,23.81,23.99,23.81,23.96,1325
1569861000000,23.995,24.07,23.93,24.03,2997
1569861900000,24.05,24.08,23.86,23.89,3953
1569862800000,23.89,23.93,23.87,23.925,2300
1569863700000,23.89,23.93,23.87,23.91,2311
