datetime,open,high,low,close,volume
1569504600000,35.1,35.25,34.92,34.95,10824
1569505500000,34.9701,35.06,34.8118,34.98,6404
1569506400000,34.9208,35.21,34.9208,35.16,15199
1569507300000,35.13,35.395,35.08,35.395,20245
1569508200000,35.4,35.7,35.37,35.68,23108
1569509100000,35.61,35.84,35.58,35.69,21515
1569510000000,35.65,35.71,35.55,35.705,16113
1569510900000,35.75,35.75,35.6,35.65,8550
1569511800000,35.62,35.75,35.51,35.63,53984
1569512700000,35.62,35.84,35.57,35.84,11739
1569513600000,35.82,35.99,35.8109,35.88,8359
1569514500000,35.83,36.15,35.8,36.06,45523
1569515400000,36.1,36.14,36.0,36.025,56701
1569516300000,36.025,36.09,35.86,35.95,23824
1569517200000,35.9799,35.9799,35.7,35.74,5334
1569518100000,35.75,35.8,35.63,35.79,11371
1569519000000,35.78,35.92,35.78,35.855,9196
1569519900000,35.86,35.92,35.7445,35.91,10589
1569520800000,35.92,36.01,35.89,35.94,10825
1569521700000,35.95,36.02,35.86,35.945,22424
1569522600000,35.92,36.0,35.85,35.91,16426
1569523500000,35.93,35.97,35.82,35.87,8977
1569524400000,35.88,35.95,35.808,35.87,9119
1569525300000,35.835,36.04,35.805,35.99,16012
1569526200000,36.02,36.2,35.99,36.085,22510
1569527100000,36.085,36.16,36.08,36.14,56833
1569591000000,36.22,36.37,36.03,36.22,11175
1569591900000,36.12,36.157,35.58,35.704,8957
1569592800000,35.75,35.75,35.04,35.16,10454
1569593700000,35.08,35.46,35.0105,35.28,48519
1569594600000,35.27,35.39,35.17,35.255,19329
1569595500000,35.255,35.27,34.86,34.9882,19707
1569596400000,35.02,35.08,34.82,34.98,5970
1569597300000,34.925,35.1,34.88,35.05,6494
1569598200000,35.05,35.05,34.3434,34.49,21342
1569599100000,34.55,34.89,34.55,34.74,8416
1569600000000,34.52,34.68,34.51,34.6684,9845
1569600900000,34.68,34.84,34.555,34.84,7967
1569601800000,34.84,35.02,34.75,34.92,18533
1569602700000,34.88,34.94,34.73,34.73,17803
1569603600000,34.71,34.99,34.7,34.97,5816
1569604500000,35.01,35.01,34.91,34.93,8033
1569605400000,34.92,35.03,34.92,35.0,11580
1569606300000,34.98,34.98,34.83,34.88,3250
1569607200000,34.945,34.945,34.792,34.792,3712
1569608100000,34.83,34.91,34.59,34.59,6538
1569609000000,34.605,34.62,34.565,34.615,2955
1569609900000,34.615,34.64,34.531,34.5567,7052
1569610800000,34.58,34.6,34.53,34.58,4527
1569611700000,34.58,34.69,34.58,34.67,7346
1569612600000,34.66,34.76,34.62,34.65,14181
1569613500000,34.645,34.8,34.635,34.72,56561
1569850200000,34.95,35.14,34.52,34.59,13216
1569851100000,34.49,34.79,34.26,34.71,14695
1569852000000,34.63,35.07,34.57,34.86,23961
1569852900000,34.91,35.3199,34.88,35.05,16200
1569853800000,35.05,35.055,34.78,34.78,5451
1569854700000,34.7,34.92,34.66,34.81,9604
1569855600000,34.81,34.875,34.63,34.63,6303
1569856500000,34.68,34.75,34.56,34.73,6532
1569857400000,34.76,34.78,34.63,34.69,8740
1569858300000,34.675,34.71,34.62,34.66,3971
1569859200000,34.67,34.78,34.67,34.67,3396
1569860100000,34.64,34.71,34.62,34.68,3608
1569861000000,34.71,34.808,34.59,34.808,5476
1569861900000,34.79,34.91,34.73,34.9,3796
1569862800000,34.9,34.92,34.81,34.92,2836
1569863700000,34.92,35.0525,34.92,35.01,5252
1569864600000,35.03,35.06,34.96,35.01,7520
1569865500000,35.03,35.14,35.01,35.14,5536
1569866400000,35.155,35.155,35.03,35.04,9391
1569867300000,35.05,35.08,34.96,34.995,9111
1569868200000,34.995,35.12,34.98,35.12,7745
1569869100000,35.08,35.13,34.95,34.96,10343
1569870000000,34.98,35.0,34.88,34.9,13232
1569870900000,34.9,34.9,34.82,34.89,13227
1569871800000,34.89,35.01,34.88,34.92,13951
1569872700000,34.915,34.99,34.88,34.88,32990
1569936600000,35.0,35.45,35.0,35.4233,5992
1569937500000,35.56,35.73,35.244,35.265,8802
1569938400000,35.21,35.34,34.9,34.95,11818
1569939300000,34.96,35.27,34.95,35.02,32517
1569940200000,35.06,35.21,34.96,35.155,12057
1569941100000,35.12,35.29,35.07,35.125,11444
1569942000000,35.09,35.2,34.77,34.77,13919
1569942900000,34.78,34.825,34.625,34.67,5272
1569943800000,34.625,34.67,34.42,34.5,10180
1569944700000,34.54,34.54,34.17,34.31,11407
1569945600000,34.4,34.44,34.09,34.12,14954
1569946500000,34.1193,34.28,33.83,33.87,21106
1569947400000,33.9,34.15,33.84,34.15,7283
1569948300000,34.13,34.19,33.99,33.99,6884
1569949200000,33.99,33.99,33.62,33.75,19628
1569950100000,33.75,33.82,33.6156,33.635,10325
1569951000000,33.625,33.705,33.23,33.4,20371
