datetime,open,high,low,close,volume
1569504600000,11.91,11.95,11.85,11.85,7736
1569505500000,11.87,11.89,11.83,11.85,6916
1569506400000,11.85,11.88,11.8,11.81,5818
1569507300000,11.8,11.8,11.76,11.795,5055
1569508200000,11.795,11.8,11.76,11.79,6200
1569509100000,11.79,11.82,11.79,11.79,7059
1569510000000,11.79,11.79,11.75,11.75,5468
1569510900000,11.75,11.76,11.71,11.72,5890
1569511800000,11.71,11.75,11.7,11.735,3474
1569512700000,11.73,11.73,11.7,11.71,2500
1569513600000,11.7,11.74,11.7,11.72,3000
1569514500000,11.72,11.72,11.685,11.7,3850
1569515400000,11.7,11.72,11.695,11.695,3700
1569516300000,11.7,11.705,11.67,11.67,5600
1569517200000,11.68,11.69,11.64,11.645,7412
1569518100000,11.64,11.68,11.59,11.665,102233
1569519000000,11.66,11.71,11.65,11.7,36456
1569519900000,11.7,11.71,11.69,11.71,8300
1569520800000,11.72,11.75,11.715,11.745,5980
1569521700000,11.75,11.76,11.73,11.73,3750
1569522600000,11.735,11.76,11.735,11.75,8939
1569523500000,11.75,11.76,11.74,11.74,7800
1569524400000,11.735,11.77,11.73,11.76,8186
1569525300000,11.765,11.765,11.725,11.735,30590
1569526200000,11.73,11.76,11.725,11.725,35179
1569527100000,11.725,11.73,11.68,11.69,56247
1569591000000,11.81,11.94,11.8,11.94,9853
1569591900000,11.94,11.95,11.83,11.85,6500
1569592800000,11.845,11.88,11.83,11.85,10117
1569593700000,11.85,11.91,11.85,11.91,6800
1569594600000,11.91,11.91,11.86,11.86,4900
1569595500000,11.86,11.905,11.85,11.905,3800
1569596400000,11.905,11.905,11.88,11.885,4600
1569597300000,11.885,11.89,11.87,11.89,2095
1569598200000,11.895,11.91,11.81,11.8525,12878
1569599100000,11.83,11.9,11.82,11.89,2425
1569600000000,11.87,11.895,11.86,11.89,2890
1569600900000,11.885,11.885,11.835,11.84,2654
1569601800000,11.83,11.84,11.82,11.83,3225
1569602700000,11.82,11.8327,11.79,11.81,3374
1569603600000,11.8,11.83,11.79,11.825,2800
1569604500000,11.83,11.84,11.81,11.82,5685
1569605400000,11.82,11.82,11.785,11.785,1300
1569606300000,11.78,11.79,11.75,11.76,9322
1569607200000,11.77,11.77,11.75,11.77,3556
1569608100000,11.775,11.775,11.75,11.755,2000
1569609000000,11.76,11.76,11.75,11.75,8885
1569609900000,11.75,11.765,11.74,11.75,15429
1569610800000,11.765,11.765,11.75,11.755,7010
1569611700000,11.755,11.775,11.75,11.755,8087
1569612600000,11.75,11.78,11.745,11.765,8089
1569613500000,11.765,11.86,11.76,11.84,92017
1569850200000,11.89,11.89,11.78,11.81,5395
1569851100000,11.78,11.8,11.72,11.76,8369
1569852000000,11.76,11.81,11.74,11.8,14425
1569852900000,11.81,11.81,11.75,11.75,4378
1569853800000,11.75,11.76,11.715,11.72,3789
1569854700000,11.715,11.75,11.715,11.74,2800
1569855600000,11.74,11.74,11.7,11.72,6840
1569856500000,11.71,11.72,11.685,11.7,7165
1569857400000,11.705,11.71,11.675,11.69,13189
1569858300000,11.69,11.695,11.67,11.68,4197
1569859200000,11.69,11.7,11.66,11.66,5501
1569860100000,11.66,11.7,11.66,11.695,9745
1569861000000,11.7,11.7,11.675,11.69,14644
1569861900000,11.68,11.74,11.675,11.73,15069
1569862800000,11.74,11.75,11.732,11.745,5939
1569863700000,11.74,11.745,11.72,11.725,3350
1569864600000,11.725,11.735,11.72,11.73,2100
1569865500000,11.73,11.74,11.72,11.725,3300
1569866400000,11.73,11.73,11.71,11.725,6100
1569867300000,11.72,11.725,11.685,11.705,8060
1569868200000,11.71,11.73,11.71,11.73,3476
1569869100000,11.73,11.75,11.73,11.745,5732
1569870000000,11.74,11.755,11.74,11.75,5302
1569870900000,11.75,11.77,11.745,11.745,7226
1569871800000,11.74,11.76,11.72,11.72,10715
1569872700000,11.72,11.73,11.64,11.65,82662
1569936600000,11.79,11.835,11.695,11.8,11307
1569937500000,11.82,11.83,11.785,11.79,4800
1569938400000,11.76,11.76,11.59,11.59,7613
1569939300000,11.6,11.61,11.56,11.58,11450
1569940200000,11.57,11.6,11.54,11.545,4701
1569941100000,11.55,11.59,11.52,11.58,21263
1569942000000,11.58,11.6,11.58,11.59,9100
1569942900000,11.57,11.59,11.56,11.58,6789
1569943800000,11.57,11.57,11.53,11.54,3946
1569944700000,11.54,11.54,11.5,11.5,11383
1569945600000,11.51,11.52,11.49,11.5,14072
1569946500000,11.5,11.52,11.495,11.5,7895
1569947400000,11.505,11.53,11.5,11.525,3681
1569948300000,11.52,11.52,11.45,11.45,27065
1569949200000,11.45,11.46,11.41,11.42,8842
1569950100000,11.42,11.42,11.37,11.39,7095
1569951000000,11.38,11.41,11.345,11.35,8309
1569951900000,11.35,11.35,11.32,11.32,12194
1569952800000,11.31,11.32,11.27,11.31,7314
1569953700000,11.305,11.305,11.26,11.29,7111
1569954600000,11.295,11.34,11.295,11.33,6565
1569955500000,11.34,11.37,11.32,11.33,7521
1569956400000,11.33,11.36,11.325,11.35,22703
1569957300000,11.345,11.375,11.335,11.365,17716
1569958200000,11.365,11.37,11.35,11.365,25317
1569959100000,11.365,11.43,11.36,11.4,66823
1570023000000,11.35,11.35,11.25,11.29,9284
1570023900000,11.31,11.36,11.3,11.3471,13268
1570024800000,11.355,11.45,11.355,11.45,8900
1570025700000,11.455,11.48,11.44,11.46,10780
1570026600000,11.465,11.47,11.395,11.46,15581
1570027500000,11.465,11.465,11.43,11.44,11849
1570028400000,11.46,11.495,11.46,11.495,8100
1570029300000,11.49,11.495,11.46,11.47,8882
1570030200000,11.465,11.47,11.4,11.42,6424
1570031100000,11.425,11.445,11.42,11.425,5901
1570032000000,11.425,11.435,11.405,11.405,12122
1570032900000,11.405,11.445,11.405,11.445,9797
1570033800000,11.445,11.45,11.415,11.425,10463
1570034700000,11.42,11.435,11.41,11.425,6843
1570035600000,11.43,11.465,11.43,11.455,14640
1570036500000,11.455,11.46,11.45,11.455,3319
1570037400000,11.455,11.46,11.44,11.455,6048
1570038300000,11.46,11.46,11.44,11.445,8282
1570039200000,11.44,11.45,11.43,11.445,8738
1570040100000,11.445,11.475,11.445,11.475,9000
1570041000000,11.475,11.48,11.475,11.48,3600
1570041900000,11.475,11.5,11.47,11.475,13963
1570042800000,11.48,11.51,11.465,11.495,14010
1570043700000,11.49,11.5,11.47,11.495,8229
1570044600000,11.49,11.52,11.49,11.505,26093
1570045500000,11.505,11.52,11.49,11.51,78247
1570109400000,11.48,11.48,11.37,11.395,12295
1570110300000,11.4,11.46,11.38,11.385,18171
1570111200000,11.38,11.38,11.215,11.24,26694
1570112100000,11.235,11.28,11.22,11.26,35031
1570113000000,11.25,11.265,11.22,11.22,6800
1570113900000,11.22,11.24,11.18,11.21,7900
1570114800000,11.21,11.28,11.21,11.28,8468
1570115700000,11.29,11.3,11.23,11.235,5372
1570116600000,11.235,11.235,11.16,11.175,9396
1570117500000,11.18,11.185,11.14,11.165,11437
1570118400000,11.17,11.185,11.15,11.175,2975
1570119300000,11.17,11.18,11.13,11.175,6150
1570120200000,11.17,11.205,11.17,11.205,3400
1570121100000,11.205,11.23,11.19,11.215,7400
1570122000000,11.22,11.22,11.2047,11.22,26719
1570122900000,11.225,11.25,11.22,11.245,5886
1570123800000,11.245,11.27,11.235,11.265,9636
1570124700000,11.27,11.29,11.265,11.265,10222
1570125600000,11.26,11.27,11.26,11.27,5480
1570126500000,11.275,11.295,11.275,11.275,5500
1570127400000,11.275,11.29,11.27,11.28,8826
1570128300000,11.28,11.31,11.26,11.27,11300
1570129200000,11.28,11.285,11.27,11.28,10208
1570130100000,11.28,11.295,11.26,11.27,21366
1570131000000,11.27,11.285,11.26,11.285,23346
1570131900000,11.28,11.32,11.26,11.3175,72347
1570195800000,11.35,11.41,11.28,11.325,5289
