datetime,open,high,low,close,volume
1569504600000,20.06,20.1826,20.06,20.13,20071
1569505500000,20.14,20.1706,20.14,20.16,11611
1569506400000,20.16,20.19,20.15,20.15,6899
1569507300000,20.15,20.17,20.13,20.15,12493
1569508200000,20.15,20.2,20.14,20.175,11116
1569509100000,20.18,20.225,20.18,20.18,10882
1569510000000,20.17,20.2,20.14,20.2,18552
1569510900000,20.19,20.195,20.16,20.18,30429
1569511800000,20.18,20.21,20.18,20.195,8340
1569512700000,20.2,20.215,20.195,20.2,12626
1569513600000,20.21,20.22,20.2,20.21,14525
1569514500000,20.22,20.235,20.21,20.225,6409
1569515400000,20.2296,20.24,20.225,20.235,11408
1569516300000,20.235,20.3,20.235,20.28,41073
1569517200000,20.28,20.34,20.28,20.33,39481
1569518100000,20.335,20.34,20.31,20.34,30010
1569519000000,20.34,20.36,20.33,20.36,10815
1569519900000,20.365,20.44,20.365,20.425,35147
1569520800000,20.42,20.48,20.42,20.475,41811
1569521700000,20.475,20.48,20.42,20.46,57868
1569522600000,20.46,20.5,20.46,20.49,29667
1569523500000,20.495,20.5,20.47,20.48,24995
1569524400000,20.48,20.485,20.42,20.44,38225
1569525300000,20.44,20.5,20.435,20.5,28328
1569526200000,20.5,20.52,20.45,20.46,69770
1569527100000,20.46,20.48,20.38,20.42,212226
1569591000000,20.53,20.55,20.45,20.45,35105
1569591900000,20.46,20.48,20.39,20.41,27431
1569592800000,20.41,20.44,20.38,20.41,30418
1569593700000,20.415,20.44,20.41,20.44,8545
1569594600000,20.44,20.5,20.43,20.45,16460
1569595500000,20.455,20.48,20.44,20.45,21587
1569596400000,20.445,20.4582,20.425,20.445,14279
1569597300000,20.45,20.46,20.43,20.4546,106671
1569598200000,20.4576,20.47,20.42,20.46,105254
1569599100000,20.47,20.49,20.45,20.475,55263
1569600000000,20.46,20.4895,20.45,20.48,46439
1569600900000,20.48,20.48,20.42,20.4399,105390
1569601800000,20.435,20.44,20.36,20.36,54626
1569602700000,20.355,20.3812,20.34,20.355,27252
1569603600000,20.34,20.39,20.335,20.3864,11329
1569604500000,20.3898,20.39,20.34,20.35,15121
1569605400000,20.35,20.37,20.34,20.36,6700
1569606300000,20.36,20.36,20.32,20.355,12343
1569607200000,20.35,20.3566,20.325,20.33,13853
1569608100000,20.33,20.3352,20.3,20.32,13193
1569609000000,20.3,20.32,20.29,20.305,9813
1569609900000,20.3,20.31,20.28,20.28,13414
1569610800000,20.29,20.29,20.255,20.28,21411
1569611700000,20.27,20.3,20.25,20.275,39603
1569612600000,20.2748,20.32,20.2748,20.315,32423
1569613500000,20.32,20.38,20.315,20.35,178851
1569850200000,20.58,20.77,20.34,20.4,30000
1569851100000,20.4,20.47,20.39,20.47,20552
1569852000000,20.47,20.51,20.46,20.49,36510
1569852900000,20.5,20.51,20.43,20.47,22382
1569853800000,20.475,20.48,20.4236,20.4737,24137
1569854700000,20.47,20.5,20.45,20.45,24394
1569855600000,20.46,20.47,20.4493,20.465,22506
1569856500000,20.47,20.5,20.45,20.485,19182
1569857400000,20.4861,20.52,20.48,20.515,12349
1569858300000,20.52,20.52,20.48,20.5,11317
1569859200000,20.5,20.55,20.5,20.53,25356
1569860100000,20.54,20.58,20.54,20.575,15977
1569861000000,20.575,20.59,20.5695,20.575,9599
1569861900000,20.575,20.59,20.57,20.57,10970
1569862800000,20.58,20.59,20.57,20.59,9979
1569863700000,20.58,20.59,20.49,20.49,31879
1569864600000,20.5,20.54,20.49,20.53,12800
1569865500000,20.53,20.53,20.51,20.51,19638
1569866400000,20.515,20.515,20.47,20.47,24397
1569867300000,20.47,20.48,20.45,20.47,22282
1569868200000,20.47,20.48,20.44,20.45,11068
1569869100000,20.44,20.47,20.42,20.43,14217
1569870000000,20.43,20.43,20.345,20.36,53886
1569870900000,20.36,20.38,20.33,20.37,37510
1569871800000,20.375,20.44,20.36,20.405,58150
1569872700000,20.405,20.45,20.37,20.39,213964
1569936600000,20.22,20.38,20.105,20.27,34853
1569937500000,20.26,20.27,20.13,20.15,22676
1569938400000,20.12,20.13,19.86,19.885,60747
1569939300000,19.89,19.97,19.89,19.95,35825
1569940200000,19.95,20.01,19.935,19.96,17460
1569941100000,19.96,19.99,19.94,19.97,15974
1569942000000,19.95,19.96,19.875,19.875,7449
1569942900000,19.88,19.885,19.82,19.82,14333
1569943800000,19.825,19.825,19.77,19.78,23597
1569944700000,19.78,19.78,19.69,19.71,21500
1569945600000,19.7,19.72,19.6349,19.635,18457
1569946500000,19.635,19.655,19.595,19.62,22112
1569947400000,19.62,19.6339,19.6,19.6339,23262
1569948300000,19.6355,19.69,19.615,19.675,23711
1569949200000,19.67,19.67,19.5949,19.5949,16483
1569950100000,19.6,19.665,19.59,19.595,24527
1569951000000,19.6,19.6,19.51,19.54,33349
1569951900000,19.55,19.555,19.51,19.51,16083
1569952800000,19.51,19.555,19.49,19.555,19945
1569953700000,19.56,19.575,19.4901,19.54,19808
1569954600000,19.54,19.63,19.54,19.625,10650
1569955500000,19.625,19.65,19.605,19.645,12258
1569956400000,19.64,19.645,19.6,19.6,20338
1569957300000,19.6,19.625,19.595,19.62,23919
1569958200000,19.62,19.625,19.54,19.56,49768
1569959100000,19.56,19.575,19.51,19.53,125510
1570023000000,19.36,19.42,19.2761,19.2761,89142
1570023900000,19.27,19.27,19.04,19.06,73828
1570024800000,19.06,19.11,19.03,19.09,108125
1570025700000,19.09,19.17,19.05,19.05,36746
1570026600000,19.0578,19.1,19.03,19.1,42596
1570027500000,19.09,19.22,19.08,19.21,66505
1570028400000,19.22,19.255,19.17,19.19,27359
1570029300000,19.19,19.35,19.1819,19.33,59089
1570030200000,19.33,19.33,19.225,19.255,27954
1570031100000,19.26,19.28,19.2,19.2,20966
1570032000000,19.19,19.26,19.19,19.22,25288
1570032900000,19.22,19.22,19.19,19.19,17863
1570033800000,19.19,19.2,19.13,19.1359,19483
1570034700000,19.13,19.14,19.07,19.11,29497
1570035600000,19.12,19.16,19.11,19.135,34347
1570036500000,19.13,19.13,19.1,19.1,18184
1570037400000,19.11,19.1214,19.1,19.11,15245
1570038300000,19.11,19.115,19.09,19.11,27659
1570039200000,19.11,19.1382,19.11,19.1263,18148
1570040100000,19.125,19.1252,19.09,19.1,13645
1570041000000,19.1,19.11,19.08,19.08,15883
1570041900000,19.08,19.085,19.06,19.07,14429
1570042800000,19.07,19.105,19.06,19.105,26340
1570043700000,19.1,19.125,19.09,19.09,17367
1570044600000,19.09,19.11,19.06,19.1084,31560
1570045500000,19.1,19.1037,19.06,19.075,97172
1570109400000,19.09,19.2,19.03,19.05,61336
1570110300000,19.06,19.08,19.002,19.0221,16257
1570111200000,19.01,19.01,18.83,18.88,92249
1570112100000,18.88,19.05,18.86,19.03,62029
1570113000000,19.025,19.07,19.0,19.045,17815
1570113900000,19.028,19.04,18.96,19.04,45756
1570114800000,19.04,19.05,19.0,19.02,32510
