datetime,open,high,low,close,volume
1571324400000,15.5,16.0,15.15,15.735,3112013
1571325300000,15.75,15.84,15.5,15.59,582719
1571326200000,15.6,15.93,15.6,15.69,274357
1571327100000,15.68,15.91,15.61,15.77,168233
1571328000000,15.78,16.19,15.71,16.13,499300
1571328900000,16.16,16.43,16.1,16.31,251573
1571329800000,16.31,16.64,16.24,16.6,182341
1571330700000,16.5,16.71,16.34,16.47,205750
1571331600000,16.45,16.7,16.45,16.62,136147
1571332500000,16.59,16.8,16.43,16.74,132706
1571333400000,16.74,16.89,16.6,16.8,247047
1571334300000,16.81,16.94,16.71,16.88,167266
1571335200000,16.9,16.95,16.75,16.915,326959
1571336100000,16.9,17.0,16.7,16.94,370247
1571337000000,16.94,17.25,16.92,16.95,280427
1571337900000,16.95,17.2,16.95,16.96,214783
1571338800000,16.96,17.02,16.61,16.885,209252
1571339700000,16.885,16.98,16.6,16.84,124574
1571340600000,16.8359,17.14,16.79,17.1,243712
1571341500000,17.1,17.24,16.56,16.93,525868
1571405400000,16.12,16.69,16.11,16.46,206938
1571406300000,16.45,16.4744,15.805,16.35,124442
1571407200000,16.36,16.48,16.15,16.25,39977
1571408100000,16.295,16.83,16.25,16.62,50554
1571409000000,16.6,16.8,16.59,16.75,20494
1571409900000,16.78,16.88,16.7,16.7,59189
1571410800000,16.7,16.83,16.63,16.82,10500
1571411700000,16.87,16.87,16.71,16.7315,13855
1571412600000,16.74,16.75,16.69,16.7,40354
1571413500000,16.7112,16.99,16.7112,16.88,33771
1571414400000,16.86,16.97,16.78,16.815,14945
1571415300000,16.83,16.86,16.7796,16.81,12367
1571416200000,16.85,16.965,16.81,16.9,63898
1571417100000,16.81,16.97,16.81,16.87,12781
1571418000000,16.87,16.87,16.81,16.82,9788
1571418900000,16.815,16.815,16.75,16.75,52053
1571419800000,16.75,16.82,16.75,16.755,57298
1571420700000,16.755,16.77,16.5,16.77,25389
1571421600000,16.75,16.75,16.65,16.685,32809
1571422500000,16.685,16.7,16.685,16.695,25108
1571423400000,16.7,16.84,16.69,16.73,53893
1571424300000,16.7,16.75,16.7,16.735,11850
1571425200000,16.7,16.73,16.7,16.7,7200
1571426100000,16.7,16.71,16.7,16.7,16448
1571427000000,16.71,16.86,16.7,16.76,28141
1571427900000,16.76,16.855,16.5,16.5,58656
1571664600000,16.41,16.59,16.25,16.4,23716
1571665500000,16.4,16.69,16.4,16.57,17155
1571666400000,16.55,16.57,16.41,16.5088,8439
1571667300000,16.56,16.59,16.43,16.54,7862
