datetime,open,high,low,close,volume
1591968600000,13.5,13.5399,13.455,13.5033,24777
1591969500000,13.525,13.525,13.49,13.52,18505
1591970400000,13.53,13.57,13.52,13.52,7139
1591971300000,13.53,13.5463,13.5,13.5,12512
1591972200000,13.498,13.5,13.42,13.4764,15651
1591973100000,13.5,13.5,13.42,13.44,15202
1591974000000,13.455,13.46,13.441,13.46,6032
1591974900000,13.45,13.4699,13.45,13.45,3875
1591975800000,13.459,13.4663,13.45,13.4663,5352
1591976700000,13.48,13.48,13.45,13.45,9881
1591977600000,13.47,13.47,13.46,13.46,5646
1591978500000,13.46,13.48,13.46,13.4666,3142
1591979400000,13.48,13.48,13.45,13.45,3664
1591980300000,13.435,13.45,13.435,13.45,2150
1591981200000,13.435,13.45,13.435,13.4486,9016
1591982100000,13.445,13.45,13.445,13.449,1628
1591983000000,13.445,13.445,13.435,13.44,2130
1591983900000,13.43,13.435,13.4251,13.4251,2119
1591984800000,13.4301,13.44,13.43,13.43,3445
1591985700000,13.4397,13.46,13.42,13.44,24683
1591986600000,13.445,13.45,13.44,13.44,4925
1591987500000,13.43,13.45,13.43,13.4433,3238
1591988400000,13.45,13.45,13.445,13.45,4720
1591989300000,13.445,13.46,13.44,13.45,12780
1591990200000,13.4617,13.47,13.44,13.44,4001
1591991100000,13.45,13.46,13.41,13.46,11499
