datetime,open,high,low,close,volume
1569504600000,15.27,15.5,15.27,15.48,20415
1569505500000,15.48,15.48,15.29,15.39,5219
1569506400000,15.38,15.41,15.29,15.4,413735
1569507300000,15.43,15.49,15.4,15.4,17147
1569508200000,15.4,15.48,15.32,15.34,18105
1569509100000,15.34,15.49,15.33,15.49,25884
1569510000000,15.49,15.5,15.43,15.43,12281
1569510900000,15.45,15.5,15.44,15.5,13909
1569511800000,15.49,15.5,15.44,15.475,10625
1569512700000,15.47,15.5,15.41,15.41,16914
1569513600000,15.42,15.45,15.37,15.43,8526
1569514500000,15.41,15.48,15.41,15.45,7697
1569515400000,15.47,15.5,15.44,15.49,50321
1569516300000,15.49,15.5,15.42,15.485,35929
1569517200000,15.49,15.5,15.46,15.5,37171
1569518100000,15.5,15.58,15.49,15.58,83106
1569519000000,15.59,15.61,15.49,15.52,25316
1569519900000,15.51,15.52,15.49,15.5,13832
1569520800000,15.52,15.54,15.5,15.505,13386
1569521700000,15.505,15.57,15.505,15.55,11616
1569522600000,15.55,15.56,15.5,15.515,7965
1569523500000,15.52,15.55,15.48,15.545,16303
1569524400000,15.55,15.57,15.54,15.55,23799
1569525300000,15.55,15.58,15.49,15.515,37914
1569526200000,15.51,15.56,15.48,15.545,89366
1569527100000,15.545,15.55,15.4,15.405,167670
1569591000000,15.26,15.53,15.08,15.5,40741
1569591900000,15.5,15.63,15.39,15.62,88709
1569592800000,15.62,15.67,15.49,15.67,58478
1569593700000,15.68,15.74,15.65,15.72,38816
1569594600000,15.71,15.71,15.6065,15.61,24603
1569595500000,15.61,15.68,15.58,15.68,18954
1569596400000,15.69,15.72,15.66,15.71,19997
1569597300000,15.71,15.77,15.7,15.7,37959
1569598200000,15.69,15.85,15.57,15.78,61124
1569599100000,15.78,15.84,15.72,15.73,53137
1569600000000,15.73,15.77,15.68,15.7301,24144
1569600900000,15.75,15.81,15.73,15.765,32722
1569601800000,15.76,15.8,15.71,15.72,9526
1569602700000,15.71,15.8,15.7,15.77,26609
1569603600000,15.77,15.82,15.74,15.78,29228
1569604500000,15.76,15.89,15.76,15.85,31884
1569605400000,15.85,15.94,15.85,15.92,48119
1569606300000,15.915,15.915,15.74,15.75,50691
1569607200000,15.74,15.858,15.74,15.84,27604
1569608100000,15.83,15.835,15.71,15.72,20886
1569609000000,15.71,15.88,15.7,15.84,32790
1569609900000,15.84,15.84,15.75,15.77,6794
1569610800000,15.77,15.77,15.73,15.74,8605
1569611700000,15.735,15.735,15.7,15.72,14558
1569612600000,15.72,15.73,15.67,15.71,60262
1569613500000,15.715,15.73,15.64,15.71,141538
1569850200000,15.52,15.73,15.47,15.6,49599
1569851100000,15.59,15.59,15.42,15.52,38406
1569852000000,15.52,15.52,15.43,15.48,18241
1569852900000,15.47,15.6,15.44,15.57,18309
1569853800000,15.58,15.58,15.46,15.5,13180
1569854700000,15.51,15.52,15.43,15.48,43011
1569855600000,15.47,15.53,15.395,15.41,51367
1569856500000,15.41,15.47,15.33,15.34,51439
1569857400000,15.34,15.395,15.315,15.38,25526
1569858300000,15.38,15.39,15.2952,15.2952,8931
1569859200000,15.3,15.31,15.24,15.255,16341
1569860100000,15.25,15.35,15.24,15.29,39385
1569861000000,15.285,15.34,15.28,15.28,21060
1569861900000,15.28,15.31,15.23,15.245,46834
1569862800000,15.245,15.26,15.15,15.17,34403
1569863700000,15.16,15.175,15.105,15.12,68011
1569864600000,15.13,15.1397,15.03,15.075,46456
1569865500000,15.08,15.1,15.01,15.0575,17156
1569866400000,15.06,15.15,15.06,15.15,9083
1569867300000,15.15,15.21,15.15,15.195,25308
1569868200000,15.2,15.23,15.15,15.21,22697
1569869100000,15.215,15.24,15.15,15.17,19609
1569870000000,15.16,15.195,15.12,15.155,19726
1569870900000,15.155,15.175,15.12,15.15,38891
1569871800000,15.155,15.16,15.07,15.07,116415
1569872700000,15.075,15.21,15.06,15.17,351377
1569936600000,15.03,15.26,15.03,15.17,12583
1569937500000,15.09,15.12,15.03,15.07,6828
1569938400000,15.09,15.41,15.09,15.35,48404
1569939300000,15.36,15.42,15.33,15.35,14473
1569940200000,15.39,15.51,15.36,15.45,39046
1569941100000,15.46,15.52,15.38,15.41,38349
1569942000000,15.4,15.43,15.37,15.37,29614
1569942900000,15.37,15.43,15.36,15.37,14757
1569943800000,15.36,15.43,15.35,15.42,55826
1569944700000,15.42,15.505,15.415,15.47,25048
1569945600000,15.47,15.48,15.43,15.45,23778
1569946500000,15.46,15.48,15.375,15.43,109345
1569947400000,15.42,15.43,15.16,15.19,49650
1569948300000,15.18,15.18,15.1,15.135,37509
1569949200000,15.13,15.13,15.06,15.08,45744
1569950100000,15.085,15.135,15.075,15.125,32906
1569951000000,15.13,15.14,15.075,15.08,26127
1569951900000,15.075,15.21,15.07,15.19,47919
1569952800000,15.2,15.2,15.14,15.16,25679
1569953700000,15.16,15.165,15.12,15.125,16047
1569954600000,15.12,15.12,14.91,14.95,49763
1569955500000,14.94,15.0,14.9,15.0,46631
1569956400000,14.995,15.03,14.91,14.92,107661
1569957300000,14.925,14.93,14.895,14.905,73040
1569958200000,14.91,14.92,14.87,14.9,69194
1569959100000,14.905,14.94,14.85,14.87,210998
1570023000000,15.02,15.16,14.96,15.01,26562
1570023900000,14.99,14.99,14.72,14.76,27522
1570024800000,14.73,14.77,14.62,14.655,33738
1570025700000,14.64,14.72,14.59,14.7195,28233
1570026600000,14.72,14.83,14.715,14.81,20221
1570027500000,14.81,14.83,14.705,14.705,13090
1570028400000,14.7,14.7999,14.68,14.78,13102
1570029300000,14.78,14.85,14.74,14.85,9306
1570030200000,14.85,14.96,14.85,14.93,13286
1570031100000,14.93,14.95,14.9,14.9,5937
1570032000000,14.91,14.93,14.9,14.9,7175
1570032900000,14.91,14.9413,14.88,14.9,13630
1570033800000,14.88,14.915,14.82,14.84,11957
1570034700000,14.83,14.83,14.735,14.77,52638
1570035600000,14.77,14.78,14.685,14.71,39648
1570036500000,14.69,14.77,14.685,14.75,32257
1570037400000,14.75,14.81,14.745,14.8,19548
1570038300000,14.8,14.8,14.69,14.695,37473
1570039200000,14.7,14.71,14.63,14.635,33805
1570040100000,14.64,14.67,14.6,14.67,34539
1570041000000,14.66,14.6948,14.6,14.605,21309
1570041900000,14.6,14.61,14.56,14.59,36222
1570042800000,14.59,14.66,14.565,14.62,39170
1570043700000,14.625,14.665,14.625,14.66,39459
1570044600000,14.67,14.67,14.58,14.58,42188
1570045500000,14.58,14.59,14.51,14.52,246931
1570109400000,14.34,14.55,14.34,14.55,7340
1570110300000,14.535,14.58,14.48,14.53,5509
1570111200000,14.56,14.99,14.55,14.86,41618
1570112100000,14.86,14.87,14.73,14.73,14284
1570113000000,14.75,14.79,14.67,14.71,37165
1570113900000,14.73,14.75,14.68,14.69,34415
1570114800000,14.7,14.7,14.58,14.63,69756
1570115700000,14.63,14.63,14.53,14.62,48561
1570116600000,14.62,14.66,14.59,14.6,24910
1570117500000,14.59,14.65,14.57,14.64,40351
1570118400000,14.62,14.69,14.61,14.638,30223
1570119300000,14.64,14.665,14.64,14.66,15479
1570120200000,14.66,14.69,14.6,14.63,20140
1570121100000,14.63,14.66,14.6149,14.66,17179
1570122000000,14.66,14.71,14.65,14.68,13937
1570122900000,14.69,14.69,14.63,14.67,18433
1570123800000,14.67,14.68,14.645,14.65,12226
1570124700000,14.65,14.67,14.63,14.67,10714
1570125600000,14.68,14.74,14.68,14.72,13863
1570126500000,14.715,14.74,14.64,14.65,17929
1570127400000,14.665,14.67,14.64,14.65,13103
1570128300000,14.66,14.69,14.645,14.68,15649
1570129200000,14.68,14.7,14.66,14.69,12877
1570130100000,14.68,14.69,14.64,14.64,27652
1570131000000,14.64,14.66,14.5,14.52,83784
1570131900000,14.52,14.535,14.47,14.48,193897
1570195800000,14.44,14.52,14.29,14.43,12210
1570196700000,14.46,14.5,14.45,14.45,5164
1570197600000,14.44,14.55,14.44,14.54,4414
1570198500000,14.53,14.55,14.49,14.54,10130
1570199400000,14.53,14.62,14.51,14.62,30783
1570200300000,14.61,14.645,14.58,14.6,5477
1570201200000,14.62,14.68,14.59,14.68,5573
1570202100000,14.69,14.76,14.69,14.715,17114
1570203000000,14.71,14.76,14.675,14.76,7605
1570203900000,14.76,14.77,14.73,14.76,6530
1570204800000,14.76,14.795,14.76,14.78,11739
1570205700000,14.79,14.81,14.79,14.805,10519
1570206600000,14.81,14.835,14.78,14.815,8712
1570207500000,14.82,14.89,14.82,14.86,13802
1570208400000,14.86,14.875,14.83,14.835,15475
1570209300000,14.83,14.875,14.83,14.845,8280
1570210200000,14.845,14.9,14.84,14.885,13113
