datetime,open,high,low,close,volume
1591968600000,24.0,24.0,23.17,23.73,415167
1591969500000,23.69,23.69,23.1101,23.28,139777
1591970400000,23.33,23.68,23.305,23.37,138298
1591971300000,23.39,23.62,23.27,23.27,96896
1591972200000,23.29,23.34,22.91,23.08,106352
1591973100000,23.05,23.2058,22.55,22.665,137418
1591974000000,22.63,23.1,22.44,22.77,170058
1591974900000,22.78,22.94,22.51,22.77,47280
1591975800000,22.81,23.16,22.7,23.06,104367
1591976700000,23.08,23.48,23.06,23.48,81390
1591977600000,23.4249,23.62,23.4249,23.54,75419
1591978500000,23.53,23.71,23.44,23.57,73264
1591979400000,23.58,23.7,23.43,23.615,55989
1591980300000,23.61,23.79,23.48,23.71,75625
1591981200000,23.75,23.8,23.59,23.78,55243
1591982100000,23.77,23.8167,23.62,23.69,70890
1591983000000,23.7,23.73,23.25,23.25,102086
1591983900000,23.26,23.27,22.89,22.94,69326
1591984800000,22.97,23.29,22.96,23.2,60688
1591985700000,23.22,23.335,23.0901,23.32,41735
1591986600000,23.32,23.46,23.26,23.315,45207
1591987500000,23.34,23.5,23.325,23.445,50602
1591988400000,23.47,23.85,23.47,23.85,82499
1591989300000,23.85,23.85,23.615,23.8,92054
1591990200000,23.795,23.97,23.73,23.945,131595
1591991100000,23.95,24.26,23.94,24.23,352234
