datetime,open,high,low,close,volume
1569504600000,3.42,3.48,3.42,3.45,12951
1569505500000,3.44,3.46,3.41,3.4299,11284
1569506400000,3.43,3.46,3.4299,3.46,6142
1569507300000,3.4758,3.5,3.46,3.4665,9246
1569508200000,3.4636,3.47,3.43,3.43,12747
1569509100000,3.42,3.4393,3.4,3.41,9415
1569510000000,3.41,3.4199,3.35,3.36,17948
1569510900000,3.355,3.38,3.31,3.36,37252
1569511800000,3.36,3.37,3.32,3.33,27053
1569512700000,3.34,3.36,3.32,3.34,6100
1569513600000,3.35,3.36,3.34,3.35,2143
1569514500000,3.35,3.38,3.35,3.3698,2140
1569515400000,3.36,3.39,3.34,3.345,24999
1569516300000,3.34,3.3538,3.34,3.35,5500
1569517200000,3.35,3.38,3.345,3.355,7050
1569518100000,3.355,3.36,3.32,3.34,29691
1569519000000,3.34,3.36,3.34,3.3544,850
1569519900000,3.36,3.36,3.34,3.35,11280
1569520800000,3.35,3.35,3.3415,3.3466,4600
1569521700000,3.35,3.35,3.34,3.345,1600
1569522600000,3.34,3.3464,3.32,3.33,12979
1569523500000,3.31,3.36,3.31,3.34,17186
1569524400000,3.35,3.35,3.32,3.34,1900
1569525300000,3.33,3.335,3.32,3.3232,4507
1569526200000,3.33,3.34,3.31,3.32,9080
1569527100000,3.33,3.33,3.28,3.29,33959
1569591000000,3.29,3.33,3.25,3.33,32933
1569591900000,3.31,3.31,3.26,3.267,3940
1569592800000,3.28,3.28,3.25,3.27,18480
1569593700000,3.26,3.31,3.25,3.31,6674
1569594600000,3.29,3.31,3.28,3.28,6200
1569595500000,3.29,3.29,3.26,3.28,12808
1569596400000,3.28,3.29,3.23,3.235,64093
1569597300000,3.2373,3.24,3.19,3.23,23426
1569598200000,3.215,3.25,3.21,3.23,6652
1569599100000,3.24,3.26,3.22,3.24,13694
1569600000000,3.26,3.26,3.22,3.25,1700
1569600900000,3.24,3.24,3.22,3.23,3140
1569601800000,3.24,3.26,3.21,3.23,13870
1569602700000,3.22,3.23,3.19,3.2,9401
1569603600000,3.19,3.22,3.18,3.2,3032
1569604500000,3.2,3.22,3.19,3.2,10083
1569605400000,3.19,3.21,3.18,3.21,4110
1569606300000,3.19,3.2,3.18,3.2,6009
1569607200000,3.19,3.198,3.18,3.18,6850
1569608100000,3.18,3.19,3.17,3.17,15502
1569609000000,3.17,3.18,3.15,3.16,15921
1569609900000,3.15,3.16,3.14,3.16,7514
1569610800000,3.155,3.18,3.155,3.16,4801
1569611700000,3.16,3.22,3.16,3.22,9170
1569612600000,3.22,3.27,3.16,3.24,34257
1569613500000,3.23,3.27,3.23,3.26,46578
1569850200000,3.23,3.305,2.75,2.7657,170811
1569851100000,2.76,2.77,2.5,2.72,267940
1569852000000,2.775,2.82,2.72,2.765,163792
1569852900000,2.765,2.8,2.68,2.7,49439
1569853800000,2.673,2.7,2.63,2.69,37931
1569854700000,2.69,2.73,2.67,2.68,39520
1569855600000,2.68,2.69,2.62,2.65,47568
1569856500000,2.6284,2.65,2.6098,2.65,47100
1569857400000,2.6359,2.65,2.6,2.64,29755
1569858300000,2.63,2.7,2.61,2.7,31671
1569859200000,2.6901,2.72,2.685,2.7,10114
1569860100000,2.6979,2.75,2.686,2.7301,39671
1569861000000,2.74,2.7548,2.72,2.7301,37939
1569861900000,2.74,2.86,2.72,2.857,83649
1569862800000,2.8501,2.96,2.83,2.942,51936
1569863700000,2.94,2.94,2.86,2.89,39419
1569864600000,2.8872,2.99,2.885,2.99,60542
1569865500000,2.99,3.05,2.985,3.015,28464
1569866400000,3.015,3.02,2.99,3.0028,35150
1569867300000,3.0,3.009,2.935,2.95,34733
1569868200000,2.9401,3.05,2.9401,3.03,26382
1569869100000,3.05,3.05,3.0,3.01,2825
1569870000000,3.0,3.03,3.0,3.02,7400
1569870900000,3.02,3.05,3.0,3.04,8673
1569871800000,3.04,3.09,3.005,3.0873,46475
1569872700000,3.1,3.1,3.07,3.07,30483
1569936600000,3.1,3.15,3.05,3.05,65497
1569937500000,3.06,3.07,3.0301,3.06,53318
1569938400000,3.06,3.06,3.04,3.04,28537
1569939300000,3.045,3.07,3.0425,3.05,24814
1569940200000,3.06,3.07,3.055,3.055,5915
1569941100000,3.0505,3.055,3.04,3.0463,23608
1569942000000,3.04,3.05,3.04,3.04,1800
1569942900000,3.04,3.05,3.04,3.0441,4245
1569943800000,3.045,3.0479,3.04,3.04,2400
1569944700000,3.0499,3.05,3.04,3.0463,3000
1569945600000,3.05,3.05,3.04,3.04,8265
1569946500000,3.04,3.05,3.04,3.04,5123
1569947400000,3.04,3.045,3.04,3.04,24584
1569948300000,3.04,3.045,2.915,2.925,177060
1569949200000,2.93,2.94,2.89,2.905,28116
1569950100000,2.9027,2.9027,2.8425,2.845,37229
1569951000000,2.85,2.855,2.83,2.845,12575
1569951900000,2.84,2.85,2.83,2.84,10225
1569952800000,2.84,2.85,2.82,2.82,19601
1569953700000,2.83,2.83,2.81,2.81,8980
1569954600000,2.8,2.81,2.78,2.78,17269
1569955500000,2.78,2.79,2.75,2.75,14670
1569956400000,2.7525,2.76,2.66,2.7,91736
1569957300000,2.695,2.705,2.68,2.685,29899
1569958200000,2.685,2.69,2.65,2.65,34616
1569959100000,2.65,2.67,2.63,2.63,131802
1570023000000,2.59,2.655,2.56,2.61,27351
1570023900000,2.59,2.6,2.56,2.56,22524
1570024800000,2.57,2.6,2.5666,2.6,10303
1570025700000,2.61,2.6176,2.5758,2.59,10630
1570026600000,2.59,2.61,2.57,2.58,34665
1570027500000,2.58,2.6,2.58,2.58,3836
1570028400000,2.58,2.5823,2.56,2.57,16302
1570029300000,2.57,2.62,2.57,2.61,9976
1570030200000,2.625,2.63,2.61,2.61,6808
1570031100000,2.61,2.61,2.55,2.57,20497
1570032000000,2.56,2.58,2.56,2.565,3400
1570032900000,2.57,2.58,2.55,2.58,8904
1570033800000,2.575,2.6,2.57,2.59,7639
1570034700000,2.6,2.6,2.58,2.6,37032
1570035600000,2.6,2.62,2.595,2.605,3490
1570036500000,2.6046,2.63,2.6046,2.625,7342
1570037400000,2.63,2.635,2.62,2.62,4383
1570038300000,2.63,2.63,2.58,2.595,9190
1570039200000,2.595,2.605,2.59,2.605,8749
1570040100000,2.605,2.65,2.605,2.64,7387
1570041000000,2.635,2.71,2.635,2.71,6191
1570041900000,2.71,2.73,2.71,2.73,11025
1570042800000,2.725,2.75,2.71,2.72,18261
1570043700000,2.725,2.73,2.72,2.73,10952
1570044600000,2.73,2.77,2.73,2.755,29781
1570045500000,2.755,2.77,2.75,2.76,37577
1570109400000,2.75,2.75,2.695,2.7,8350
1570110300000,2.7,2.76,2.69,2.755,19634
1570111200000,2.75,2.76,2.72,2.73,17382
1570112100000,2.73,2.75,2.729,2.75,4350
1570113000000,2.74,2.75,2.725,2.74,9517
1570113900000,2.745,2.76,2.74,2.76,2600
1570114800000,2.765,2.82,2.765,2.8168,13562
1570115700000,2.8189,2.86,2.8189,2.8461,13443
1570116600000,2.85,2.85,2.7888,2.81,32127
1570117500000,2.81,2.84,2.8,2.84,11892
1570118400000,2.84,2.87,2.84,2.87,2099
1570119300000,2.88,2.89,2.8559,2.89,22475
1570120200000,2.89,2.89,2.87,2.8782,5498
1570121100000,2.88,2.895,2.86,2.86,15999
1570122000000,2.86,2.86,2.84,2.8516,4350
1570122900000,2.86,2.86,2.85,2.85,1503
1570123800000,2.86,2.86,2.835,2.835,2900
1570124700000,2.84,2.84,2.803,2.81,14688
1570125600000,2.81,2.82,2.81,2.82,9725
1570126500000,2.82,2.835,2.82,2.83,4597
1570127400000,2.84,2.86,2.83,2.86,7352
1570128300000,2.85,2.87,2.85,2.85,17546
1570129200000,2.87,2.87,2.85,2.85,3400
1570130100000,2.87,2.87,2.85,2.85,13044
1570131000000,2.85,2.86,2.85,2.855,7900
1570131900000,2.86,2.91,2.85,2.91,51834
1570195800000,2.91,3.0,2.9,2.95,10472
1570196700000,2.95,2.9791,2.9,2.95,28595
1570197600000,2.96,2.99,2.86,2.88,29370
1570198500000,2.88,2.88,2.85,2.85,12862
1570199400000,2.85,2.85,2.83,2.84,13325
1570200300000,2.83,2.87,2.83,2.86,12246
1570201200000,2.85,2.855,2.84,2.855,3700
1570202100000,2.855,2.88,2.855,2.87,1300
1570203000000,2.87,2.885,2.86,2.86,3500
1570203900000,2.86,2.89,2.86,2.885,2399
1570204800000,2.89,2.89,2.88,2.89,2200
1570205700000,2.88,2.885,2.87,2.875,2370
1570206600000,2.88,2.88,2.86,2.86,2600
1570207500000,2.87,2.87,2.86,2.865,3300
1570208400000,2.865,2.87,2.85,2.87,2694
1570209300000,2.875,2.88,2.865,2.865,2400
1570210200000,2.865,2.88,2.865,2.875,5688
1570211100000,2.875,2.885,2.87,2.885,1900
1570212000000,2.89,2.89,2.885,2.885,900
1570212900000,2.885,2.895,2.83,2.86,28489
1570213800000,2.85,2.89,2.85,2.89,8019
1570214700000,2.9,2.9,2.8613,2.88,7109
1570215600000,2.88,2.9,2.8601,2.895,7465
1570216500000,2.89,2.89,2.86,2.87,15263
1570217400000,2.86,2.88,2.83,2.83,46003
1570218300000,2.835,2.86,2.82,2.86,34662
1570455000000,2.82,2.89,2.82,2.83,22500
1570455900000,2.82,2.84,2.77,2.82,30383
1570456800000,2.82,2.82,2.78,2.8,35713
1570457700000,2.81,2.84,2.8,2.84,6077
1570458600000,2.85,2.86,2.83,2.86,3367
1570459500000,2.85,2.87,2.85,2.87,1500
1570460400000,2.865,2.89,2.865,2.87,7596
1570461300000,2.87,2.87,2.85,2.85,4036
1570462200000,2.84,2.865,2.83,2.865,10354
1570463100000,2.87,2.88,2.865,2.87,5140
1570464000000,2.865,2.865,2.85,2.855,2700
1570464900000,2.85,2.87,2.85,2.87,7600
1570465800000,2.875,2.88,2.86,2.86,2193
1570466700000,2.875,2.875,2.86,2.865,700
1570467600000,2.86,2.86,2.85,2.85,401
1570468500000,2.845,2.87,2.8435,2.87,4893
1570469400000,2.87,2.9,2.87,2.88,4700
1570470300000,2.88,2.89,2.87,2.89,800
1570471200000,2.88,2.88,2.88,2.88,1503
1570472100000,2.8801,2.8801,2.8643,2.8709,8746
1570473000000,2.86,2.87,2.86,2.86,4100
1570473900000,2.86,2.87,2.8521,2.86,2926
1570474800000,2.865,2.87,2.865,2.87,1777
1570475700000,2.875,2.88,2.865,2.8761,4396
1570476600000,2.87,2.88,2.86,2.86,2457
