datetime,open,high,low,close,volume
1569504600000,6.24,6.27,6.23,6.27,7800
1569505500000,6.24,6.25,6.24,6.24,2100
1569506400000,6.25,6.36,6.25,6.34,3156
1569507300000,6.31,6.32,6.3,6.32,2134
1569508200000,6.32,6.32,6.31,6.31,1200
1569509100000,6.32,6.33,6.32,6.325,3751
1569510000000,6.33,6.39,6.33,6.38,20378
1569510900000,6.38,6.38,6.345,6.36,6760
1569511800000,6.37,6.37,6.36,6.36,2080
1569512700000,6.36,6.36,6.31,6.33,4899
1569513600000,6.32,6.35,6.32,6.34,6443
1569514500000,6.34,6.34,6.33,6.33,1800
1569515400000,6.34,6.35,6.3349,6.35,8225
1569516300000,6.35,6.36,6.34,6.355,22568
1569517200000,6.36,6.38,6.35,6.36,3124
1569518100000,6.35,6.35,6.34,6.35,1800
1569519000000,6.345,6.36,6.33,6.35,2275
1569519900000,6.35,6.35,6.34,6.35,3100
1569520800000,6.355,6.36,6.35,6.35,2150
1569521700000,6.35,6.35,6.34,6.34,2000
1569522600000,6.35,6.35,6.34,6.35,2400
1569523500000,6.35,6.37,6.35,6.35,2000
1569524400000,6.35,6.355,6.34,6.345,24909
1569525300000,6.35,6.38,6.35,6.36,4730
1569526200000,6.36,6.37,6.35,6.35,8388
1569527100000,6.36,6.37,6.34,6.34,16718
1569591000000,6.34,6.34,6.34,6.34,1137
1569591900000,6.379,6.379,6.379,6.379,236
1569592800000,6.41,6.41,6.39,6.4,2513
1569593700000,6.41,6.43,6.41,6.43,1292
1569594600000,6.43,6.44,6.43,6.44,955
1569595500000,6.43,6.47,6.42,6.47,8241
1569596400000,6.48,6.48,6.45,6.465,2400
1569597300000,6.48,6.5,6.46,6.49,5250
1569598200000,6.49,6.54,6.47,6.515,23913
1569599100000,6.515,6.57,6.5,6.55,6139
1569600000000,6.54,6.54,6.5,6.5,3200
1569600900000,6.51,6.51,6.49,6.51,3161
1569601800000,6.48,6.5,6.48,6.48,1000
1569602700000,6.47,6.48,6.45,6.45,6389
1569603600000,6.45,6.48,6.45,6.48,1346
1569604500000,6.46,6.46,6.45,6.45,1000
1569605400000,6.46,6.47,6.45,6.47,800
1569606300000,6.45,6.4789,6.45,6.4713,4699
1569607200000,6.49,6.49,6.46,6.465,1300
1569608100000,6.46,6.46,6.45,6.45,2086
1569609000000,6.46,6.46,6.44,6.44,4349
1569609900000,6.44,6.44,6.41,6.41,1500
1569610800000,6.41,6.43,6.39,6.43,12916
1569611700000,6.43,6.45,6.43,6.445,3061
1569612600000,6.45,6.46,6.45,6.46,2800
1569613500000,6.46,6.47,6.45,6.45,8442
1569850200000,6.43,6.43,6.38,6.4,1205
1569851100000,6.4,6.52,6.39,6.51,7605
1569852000000,6.51,6.52,6.45,6.46,3768
1569852900000,6.46,6.47,6.42,6.42,7500
1569853800000,6.43,6.45,6.43,6.44,5306
1569854700000,6.43,6.49,6.43,6.45,9561
1569855600000,6.45,6.46,6.44,6.46,3528
1569856500000,6.46,6.46,6.44,6.46,5806
1569857400000,6.45,6.46,6.43,6.45,5657
1569858300000,6.46,6.46,6.445,6.45,6599
1569859200000,6.45,6.49,6.45,6.49,7703
1569860100000,6.49,6.51,6.48,6.5,6957
1569861000000,6.495,6.495,6.46,6.465,2500
1569861900000,6.46,6.46,6.444,6.445,3154
1569862800000,6.45,6.45,6.445,6.45,1148
1569863700000,6.46,6.46,6.43,6.44,4886
1569864600000,6.44,6.45,6.44,6.45,900
1569865500000,6.45,6.45,6.44,6.45,1682
1569866400000,6.45,6.45,6.43,6.43,2080
1569867300000,6.42,6.42,6.41,6.41,1100
1569868200000,6.41,6.43,6.4,6.43,2359
1569869100000,6.44,6.45,6.43,6.44,2917
1569870000000,6.43,6.43,6.4,6.405,2341
1569870900000,6.41,6.42,6.41,6.41,6082
1569871800000,6.415,6.43,6.41,6.42,6320
1569872700000,6.43,6.43,6.38,6.39,34874
1569936600000,6.36,6.525,6.36,6.41,4179
1569937500000,6.4,6.42,6.37,6.39,1609
1569938400000,6.38,6.38,6.33,6.355,4677
1569939300000,6.355,6.355,6.35,6.35,600
1569940200000,6.35,6.36,6.34,6.35,3201
1569941100000,6.35,6.35,6.34,6.34,6900
1569942000000,6.34,6.35,6.33,6.33,4730
1569942900000,6.33,6.33,6.3,6.3,6338
1569943800000,6.3,6.3,6.25,6.255,7200
1569944700000,6.25,6.26,6.21,6.21,2945
1569945600000,6.2,6.2117,6.2,6.2,8275
1569946500000,6.19,6.19,6.16,6.16,1476
1569947400000,6.16,6.2,6.16,6.18,5728
1569948300000,6.16,6.2,6.16,6.2,2924
1569949200000,6.18,6.19,6.18,6.18,11161
1569950100000,6.19,6.19,6.15,6.16,10297
1569951000000,6.16,6.165,6.08,6.14,25884
1569951900000,6.13,6.13,6.1,6.11,3604
1569952800000,6.1,6.15,6.1,6.12,5904
1569953700000,6.125,6.13,6.12,6.13,2041
1569954600000,6.15,6.17,6.15,6.165,2087
1569955500000,6.1669,6.18,6.16,6.16,2160
1569956400000,6.16,6.17,6.14,6.15,6985
1569957300000,6.16,6.16,6.12,6.12,4249
1569958200000,6.12,6.12,6.09,6.1,3763
1569959100000,6.1,6.11,6.09,6.1,17961
1570023000000,6.06,6.1,6.06,6.095,7480
1570023900000,6.095,6.095,6.08,6.09,3816
1570024800000,6.09,6.11,6.09,6.11,1361
1570025700000,6.15,6.18,6.13,6.15,4654
1570026600000,6.15,6.17,6.14,6.15,7090
1570027500000,6.15,6.15,6.1,6.105,1800
1570028400000,6.105,6.13,6.07,6.07,3705
1570029300000,6.08,6.1,6.08,6.1,2803
1570030200000,6.08,6.1,6.08,6.1,6150
1570031100000,6.09,6.09,6.08,6.09,2805
1570032000000,6.09,6.09,6.06,6.06,5577
1570032900000,6.06,6.06,6.06,6.06,2874
1570033800000,6.065,6.065,6.025,6.05,11125
1570034700000,6.05,6.07,5.98,6.01,52403
1570035600000,6.02,6.04,6.02,6.02,2400
1570036500000,6.02,6.06,6.02,6.06,5200
1570037400000,6.045,6.045,6.02,6.02,5600
1570038300000,6.03,6.05,6.03,6.05,2509
1570039200000,6.07,6.1,6.06,6.09,2727
1570040100000,6.09,6.11,6.09,6.11,2156
1570041000000,6.1,6.14,6.1,6.14,3000
1570041900000,6.14,6.16,6.13,6.14,1599
1570042800000,6.14,6.155,6.14,6.155,1200
1570043700000,6.15,6.19,6.14,6.18,7619
1570044600000,6.18,6.21,6.18,6.2,8915
1570045500000,6.2,6.22,6.19,6.19,36618
1570109400000,6.16,6.16,6.16,6.16,1005
1570110300000,6.14,6.1738,6.09,6.09,2850
1570111200000,6.07,6.07,6.01,6.02,2400
1570112100000,6.04,6.04,6.0144,6.03,2964
1570113000000,6.04,6.04,6.0,6.01,22104
1570113900000,6.005,6.01,5.98,6.0,7583
1570114800000,6.01,6.04,6.0,6.04,5916
1570115700000,6.04,6.05,6.01,6.025,7763
1570116600000,6.025,6.03,6.01,6.025,6617
1570117500000,6.03,6.0334,6.02,6.02,1580
1570118400000,6.03,6.05,6.02,6.04,2785
1570119300000,6.04,6.06,6.01,6.06,9171
1570120200000,6.04,6.08,6.04,6.0732,6598
1570121100000,6.075,6.11,6.075,6.11,6735
1570122000000,6.115,6.12,6.11,6.115,2494
