datetime,open,high,low,close,volume
1591968600000,2.19,2.22,2.15,2.2039,226144
1591969500000,2.2,2.215,2.12,2.16,172024
1591970400000,2.15,2.18,2.15,2.16,73354
1591971300000,2.16,2.1699,2.12,2.15,96208
1591972200000,2.15,2.15,2.11,2.1199,118839
1591973100000,2.12,2.14,2.08,2.0991,96074
1591974000000,2.0932,2.1,2.08,2.085,94015
1591974900000,2.083,2.09,2.08,2.08,51416
1591975800000,2.08,2.1,2.08,2.0929,136500
1591976700000,2.09,2.12,2.09,2.105,96383
1591977600000,2.105,2.11,2.09,2.1,159257
1591978500000,2.1,2.11,2.09,2.09,50314
1591979400000,2.099,2.1,2.08,2.085,71137
1591980300000,2.085,2.09,2.08,2.09,65475
1591981200000,2.08,2.09,2.08,2.0895,85654
1591982100000,2.0899,2.1,2.08,2.09,65816
1591983000000,2.085,2.09,2.08,2.085,45222
1591983900000,2.08,2.09,2.07,2.07,63197
1591984800000,2.07,2.08,2.05,2.05,115946
1591985700000,2.06,2.06,2.04,2.04,106491
1591986600000,2.045,2.06,2.04,2.05,137542
1591987500000,2.06,2.06,2.04,2.06,89934
1591988400000,2.06,2.06,2.05,2.06,114010
1591989300000,2.06,2.07,2.04,2.045,92794
1591990200000,2.04,2.05,2.035,2.05,194353
1591991100000,2.045,2.06,2.04,2.05,156114
