datetime,open,high,low,close,volume
1569504600000,28.49,28.49,28.23,28.42,42929
1569505500000,28.44,28.48,28.15,28.225,23343
1569506400000,28.27,28.36,28.08,28.08,22884
1569507300000,28.103,28.18,28.04,28.13,9775
1569508200000,28.19,28.28,28.1,28.245,13811
1569509100000,28.24,28.45,28.22,28.31,17485
1569510000000,28.33,28.34,28.19,28.26,9027
1569510900000,28.28,28.31,28.2,28.28,7300
1569511800000,28.3,28.345,28.21,28.23,26637
1569512700000,28.25,28.26,28.17,28.26,10400
1569513600000,28.265,28.38,28.255,28.32,16754
1569514500000,28.335,28.38,28.31,28.32,31234
1569515400000,28.325,28.39,28.32,28.36,34193
1569516300000,28.34,28.35,28.14,28.14,9583
1569517200000,28.14,28.18,27.99,28.025,7359
1569518100000,28.04,28.04,27.96,27.995,13530
1569519000000,27.98,28.12,27.98,28.09,7560
1569519900000,28.09,28.18,28.09,28.18,8066
1569520800000,28.2,28.2,28.095,28.11,9644
1569521700000,28.11,28.14,28.01,28.02,9861
1569522600000,28.04,28.04,27.92,27.955,11268
1569523500000,27.94,27.99,27.86,27.87,8313
1569524400000,27.87,27.94,27.86,27.88,14164
1569525300000,27.9,28.0,27.84,27.995,14927
1569526200000,27.99,27.99,27.75,27.75,27615
1569527100000,27.76,27.82,27.72,27.77,88247
1569591000000,27.79,28.35,27.79,28.34,37067
1569591900000,28.33,28.51,28.25,28.33,28069
1569592800000,28.36,28.4,27.97,27.97,45635
1569593700000,27.97,28.17,27.97,28.14,30601
1569594600000,28.14,28.235,28.07,28.16,9533
1569595500000,28.19,28.3,28.16,28.295,8350
1569596400000,28.31,28.36,28.23,28.24,11080
1569597300000,28.21,28.21,28.135,28.21,7806
1569598200000,28.21,28.27,27.91,27.99,23800
1569599100000,27.97,28.13,27.91,28.0,11024
1569600000000,28.01,28.05,27.91,28.05,9422
1569600900000,28.0411,28.07,27.93,27.95,7301
1569601800000,27.9,27.93,27.87,27.89,4400
1569602700000,27.89,27.89,27.68,27.7,9046
1569603600000,27.68,27.8,27.66,27.79,7220
1569604500000,27.77,27.77,27.67,27.71,12811
1569605400000,27.71,27.71,27.645,27.645,7015
1569606300000,27.64,27.66,27.55,27.66,8921
1569607200000,27.65,27.68,27.56,27.655,9180
1569608100000,27.65,27.695,27.61,27.64,9900
1569609000000,27.6365,27.6365,27.56,27.565,9549
1569609900000,27.57,27.58,27.46,27.52,9088
1569610800000,27.52,27.52,27.41,27.47,13624
1569611700000,27.46,27.5151,27.4,27.41,25340
1569612600000,27.4,27.505,27.39,27.445,37890
1569613500000,27.45,27.5,27.39,27.49,84935
1569850200000,27.49,27.71,27.49,27.65,15187
1569851100000,27.61,27.69,27.51,27.62,12592
1569852000000,27.58,27.67,27.395,27.67,20540
1569852900000,27.665,27.69,27.57,27.6,21451
1569853800000,27.61,27.88,27.59,27.85,106726
1569854700000,27.82,27.94,27.75,27.89,34740
1569855600000,27.9,28.05,27.87,27.93,24537
1569856500000,27.96,28.04,27.93,28.03,15141
1569857400000,28.03,28.15,28.005,28.11,14355
1569858300000,28.08,28.17,28.05,28.17,11180
1569859200000,28.18,28.23,28.04,28.04,37280
1569860100000,28.04,28.31,28.0,28.31,15000
1569861000000,28.35,28.35,28.22,28.23,14300
1569861900000,28.235,28.37,28.22,28.34,10969
1569862800000,28.35,28.42,28.34,28.385,10769
1569863700000,28.38,28.39,28.285,28.33,11974
1569864600000,28.32,28.35,28.31,28.345,12140
1569865500000,28.345,28.38,28.27,28.27,15905
1569866400000,28.27,28.35,28.235,28.35,12382
1569867300000,28.34,28.34,28.25,28.27,26038
