datetime,open,high,low,close,volume
1569504600000,19.98,20.0,19.27,19.45,44871
1569505500000,19.445,19.5359,19.32,19.36,26070
1569506400000,19.35,19.38,18.97,19.12,71741
1569507300000,19.08,19.08,18.87,18.995,26475
1569508200000,18.99,19.045,18.86,19.0199,40049
1569509100000,19.03,19.22,18.99,18.99,21107
1569510000000,18.96,18.99,18.77,18.77,45363
1569510900000,18.76,18.86,18.695,18.79,44646
1569511800000,18.78,18.99,18.71,18.8465,34199
1569512700000,18.8607,18.8607,18.73,18.76,14978
1569513600000,18.73,18.93,18.71,18.89,17854
1569514500000,18.9,19.05,18.89,19.05,17455
1569515400000,19.06,19.07,18.96,18.96,9466
1569516300000,18.95,19.005,18.86,18.89,13140
1569517200000,18.8902,18.93,18.7904,18.82,13328
1569518100000,18.79,18.86,18.68,18.71,31230
1569519000000,18.72,18.8873,18.72,18.79,6994
1569519900000,18.81,18.87,18.785,18.85,8816
1569520800000,18.88,18.89,18.74,18.75,15757
1569521700000,18.75,18.85,18.75,18.77,5993
1569522600000,18.765,18.805,18.76,18.78,6312
1569523500000,18.81,18.87,18.79,18.83,8827
1569524400000,18.83,18.91,18.83,18.83,15875
1569525300000,18.8484,18.93,18.76,18.86,24242
1569526200000,18.865,18.91,18.86,18.87,12473
1569527100000,18.88,18.88,18.78,18.86,71534
1569591000000,18.97,19.31,18.61,18.94,37343
1569591900000,18.92,18.96,18.76,18.85,25559
1569592800000,18.83,18.9272,18.76,18.86,20081
1569593700000,18.83,19.05,18.79,19.02,12582
1569594600000,19.02,19.1005,18.92,19.0474,18848
1569595500000,19.05,19.19,19.02,19.14,17402
1569596400000,19.1,19.31,19.1,19.16,24089
1569597300000,19.17,19.3,19.07,19.185,27052
1569598200000,19.155,19.18,18.82,18.97,22175
1569599100000,18.97,18.995,18.85,18.86,21744
1569600000000,18.83,18.87,18.8,18.85,15840
1569600900000,18.88,18.8874,18.73,18.8,18838
1569601800000,18.78,18.82,18.72,18.74,25448
1569602700000,18.72,18.73,18.5,18.505,31463
1569603600000,18.51,18.705,18.5,18.65,8636
1569604500000,18.64,18.66,18.591,18.64,8217
1569605400000,18.65,18.8,18.65,18.7269,25682
1569606300000,18.71,18.8017,18.645,18.79,12139
1569607200000,18.8,18.81,18.585,18.62,17132
1569608100000,18.63,18.64,18.51,18.51,23400
1569609000000,18.51,18.6,18.47,18.59,20947
1569609900000,18.6,18.605,18.42,18.515,14756
1569610800000,18.57,18.59,18.505,18.505,18350
1569611700000,18.5,18.59,18.49,18.54,15495
1569612600000,18.5257,18.545,18.5,18.54,12361
1569613500000,18.52,18.66,18.52,18.65,43903
1569850200000,18.63,18.64,18.195,18.29,35597
1569851100000,18.31,18.6191,18.285,18.6,22800
1569852000000,18.6,18.67,18.45,18.5035,33483
1569852900000,18.495,18.51,18.2,18.21,60400
1569853800000,18.26,18.32,18.19,18.24,57556
1569854700000,18.25,18.36,18.25,18.33,6346
1569855600000,18.35,18.36,18.15,18.195,17189
1569856500000,18.195,18.22,18.04,18.12,18585
1569857400000,18.11,18.14,18.07,18.09,7229
1569858300000,18.08,18.105,17.97,18.05,18320
1569859200000,18.06,18.09,17.93,17.9391,33571
1569860100000,17.9319,18.08,17.9017,18.08,18466
1569861000000,18.09,18.12,18.07,18.12,9137
1569861900000,18.09,18.09,17.98,18.04,17035
1569862800000,18.08,18.22,18.07,18.18,7782
1569863700000,18.18,18.23,18.15,18.21,4249
1569864600000,18.21,18.28,18.19,18.28,11145
1569865500000,18.27,18.3354,18.265,18.27,9141
1569866400000,18.28,18.43,18.27,18.38,23230
1569867300000,18.37,18.3731,18.32,18.32,6521
1569868200000,18.31,18.41,18.26,18.395,7716
1569869100000,18.4,18.4101,18.34,18.37,8870
1569870000000,18.37,18.41,18.36,18.39,8923
1569870900000,18.38,18.38,18.28,18.315,12727
1569871800000,18.315,18.32,18.28,18.29,15085
1569872700000,18.28,18.32,18.22,18.25,51581
1569936600000,18.21,18.45,18.09,18.45,29513
1569937500000,18.48,18.76,18.45,18.67,13457
1569938400000,18.66,18.77,18.49,18.49,19756
1569939300000,18.54,18.645,18.44,18.49,10469
1569940200000,18.49,18.49,18.2,18.2033,12611
1569941100000,18.21,18.24,18.05,18.2,27626
1569942000000,18.2043,18.3,18.1,18.19,28703
1569942900000,18.18,18.33,18.1,18.33,26850
1569943800000,18.3,18.35,18.13,18.19,33111
1569944700000,18.2,18.21,18.03,18.0965,12808
1569945600000,18.09,18.09,17.95,17.95,19987
1569946500000,17.955,18.04,17.86,17.91,15825
1569947400000,17.89,18.09,17.88,18.05,28540
1569948300000,18.05,18.07,17.93,17.95,21623
1569949200000,17.955,18.0,17.91,17.95,15249
1569950100000,17.92,17.96,17.85,17.89,14800
1569951000000,17.9,17.93,17.84,17.89,10575
1569951900000,17.875,17.9399,17.82,17.825,14185
1569952800000,17.82,17.87,17.72,17.86,27891
1569953700000,17.85,17.86,17.785,17.82,13118
1569954600000,17.84,17.935,17.83,17.91,12689
1569955500000,17.91,17.9732,17.895,17.9732,17154
1569956400000,17.99,18.0,17.86,17.86,15748
1569957300000,17.88,17.9,17.8,17.84,31291
1569958200000,17.84,17.89,17.81,17.86,26458
1569959100000,17.88,17.97,17.85,17.895,49865
1570023000000,17.76,17.8699,17.53,17.78,22216
1570023900000,17.7303,17.76,17.59,17.64,13162
1570024800000,17.7,18.0,17.65,17.98,18249
1570025700000,17.99,18.34,17.98,18.26,38255
1570026600000,18.22,18.385,18.2,18.33,39243
