datetime,open,high,low,close,volume
1591968600000,24.06,24.87,23.81,24.83,17141
1591969500000,24.7124,24.7124,23.95,24.115,6161
1591970400000,24.255,24.5,24.2,24.24,9616
1591971300000,24.17,24.24,23.86,23.86,4697
1591972200000,23.83,23.88,23.475,23.77,8098
1591973100000,23.73,23.855,23.25,23.25,5203
1591974000000,23.29,23.53,23.08,23.37,5534
1591974900000,23.35,23.35,23.09,23.24,2668
1591975800000,23.27,23.58,23.21,23.41,8982
1591976700000,23.33,23.73,23.33,23.7,7780
1591977600000,23.74,23.81,23.65,23.73,3800
1591978500000,23.73,23.839,23.58,23.65,4878
1591979400000,23.65,23.67,23.54,23.67,3084
1591980300000,23.625,23.77,23.54,23.77,4514
1591981200000,23.66,23.72,23.49,23.52,5735
1591982100000,23.48,23.51,23.44,23.44,4292
1591983000000,23.46,23.48,23.22,23.22,6633
1591983900000,23.19,23.19,22.94,23.0,6491
1591984800000,22.94,23.28,22.94,23.28,7624
1591985700000,23.22,23.22,23.08,23.19,2803
1591986600000,23.13,23.34,23.07,23.07,5202
1591987500000,23.16,23.28,23.15,23.27,3958
1591988400000,23.35,23.49,23.28,23.45,7988
1591989300000,23.415,23.43,23.22,23.33,7633
1591990200000,23.35,23.43,23.25,23.42,8992
1591991100000,23.47,23.75,23.47,23.6,28378
