datetime,open,high,low,close,volume
1569504600000,5.76,5.8,5.75,5.77,7395
1569505500000,5.7602,5.78,5.69,5.7,7302
1569506400000,5.69,5.71,5.655,5.66,3002
1569507300000,5.66,5.67,5.6,5.66,8168
1569508200000,5.665,5.68,5.6,5.64,30120
1569509100000,5.64,5.66,5.56,5.56,12842
1569510000000,5.555,5.555,5.5,5.52,10174
1569510900000,5.525,5.53,5.49,5.5,4400
1569511800000,5.49,5.53,5.49,5.51,3000
1569512700000,5.51,5.6,5.51,5.59,9589
1569513600000,5.59,5.62,5.57,5.59,11440
1569514500000,5.59,5.59,5.56,5.59,3351
1569515400000,5.59,5.6,5.58,5.6,700
1569516300000,5.59,5.59,5.56,5.57,3945
1569517200000,5.5666,5.5666,5.535,5.535,2450
1569518100000,5.53,5.54,5.51,5.52,2833
1569519000000,5.52,5.54,5.51,5.53,1400
1569519900000,5.53,5.54,5.51,5.52,1848
1569520800000,5.51,5.53,5.51,5.51,3200
1569521700000,5.52,5.53,5.5,5.5,2916
1569522600000,5.5,5.51,5.46,5.46,17148
1569523500000,5.458,5.47,5.43,5.43,3285
1569524400000,5.43,5.45,5.41,5.42,6777
1569525300000,5.41,5.41,5.38,5.38,9409
1569526200000,5.38,5.4,5.36,5.37,6853
1569527100000,5.37,5.38,5.35,5.37,23853
1569591000000,5.38,5.4738,5.32,5.39,8381
1569591900000,5.38,5.41,5.32,5.3302,3689
1569592800000,5.34,5.4,5.34,5.4,7659
1569593700000,5.37,5.43,5.37,5.42,15525
1569594600000,5.42,5.46,5.4,5.41,5341
1569595500000,5.4053,5.42,5.39,5.4,2652
1569596400000,5.39,5.42,5.365,5.365,3619
1569597300000,5.3501,5.36,5.34,5.34,4425
1569598200000,5.37,5.37,5.29,5.32,4084
1569599100000,5.32,5.33,5.3,5.33,5475
1569600000000,5.32,5.32,5.27,5.3,5954
1569600900000,5.3,5.3,5.2786,5.29,2300
1569601800000,5.29,5.3,5.22,5.22,5096
1569602700000,5.24,5.24,5.15,5.165,6386
1569603600000,5.16,5.17,5.13,5.16,6520
1569604500000,5.14,5.14,5.13,5.13,4460
1569605400000,5.11,5.12,5.11,5.11,1617
1569606300000,5.115,5.148,5.08,5.14,6131
1569607200000,5.1373,5.15,5.07,5.07,21401
1569608100000,5.075,5.09,5.06,5.075,11505
1569609000000,5.07,5.07,5.04,5.05,4363
1569609900000,5.06,5.08,5.035,5.05,16924
1569610800000,5.05,5.07,5.02,5.02,15651
1569611700000,5.02,5.04,5.01,5.04,13253
1569612600000,5.04,5.04,5.01,5.015,9158
1569613500000,5.01,5.05,5.0,5.04,33686
1569850200000,5.07,5.17,5.05,5.085,26467
1569851100000,5.07,5.14,5.07,5.07,5425
1569852000000,5.085,5.09,5.07,5.085,3786
1569852900000,5.08,5.19,5.08,5.17,16135
1569853800000,5.17,5.23,5.15,5.15,9544
1569854700000,5.15,5.17,5.13,5.13,3939
1569855600000,5.13,5.14,5.11,5.12,4013
1569856500000,5.14,5.14,5.05,5.065,32927
1569857400000,5.065,5.09,5.06,5.07,3920
1569858300000,5.08,5.08,5.045,5.065,9902
1569859200000,5.05,5.08,5.05,5.055,3893
1569860100000,5.06,5.12,5.06,5.09,2242
1569861000000,5.105,5.12,5.09,5.12,2300
1569861900000,5.12,5.12,5.09,5.12,2300
1569862800000,5.12,5.15,5.09,5.14,7080
1569863700000,5.15,5.16,5.115,5.12,4329
1569864600000,5.11,5.13,5.11,5.12,1150
1569865500000,5.11,5.15,5.11,5.141,5555
1569866400000,5.13,5.15,5.12,5.15,10934
1569867300000,5.14,5.16,5.14,5.16,1700
1569868200000,5.16,5.16,5.14,5.15,2704
1569869100000,5.14,5.19,5.14,5.18,5358
1569870000000,5.18,5.19,5.13,5.135,9097
1569870900000,5.13,5.135,5.08,5.08,8754
1569871800000,5.075,5.095,5.075,5.085,10513
1569872700000,5.085,5.085,5.055,5.07,65929
1569936600000,5.1,5.1646,5.07,5.13,12829
1569937500000,5.13,5.23,5.13,5.21,13289
1569938400000,5.19,5.21,5.07,5.07,18449
1569939300000,5.065,5.09,5.02,5.02,9956
1569940200000,5.025,5.0307,4.96,4.97,24488
1569941100000,4.98,4.99,4.89,4.9,9109
1569942000000,4.91,4.91,4.895,4.9,2236
1569942900000,4.895,4.94,4.88,4.925,63526
1569943800000,4.925,4.98,4.92,4.975,42071
1569944700000,4.99,4.99,4.91,4.91,32391
1569945600000,4.91,4.94,4.9,4.91,109708
1569946500000,4.92,4.97,4.9,4.94,9101
1569947400000,4.94,4.99,4.92,4.99,5074
1569948300000,4.9844,4.9844,4.95,4.95,6857
1569949200000,4.95,4.97,4.94,4.96,4462
1569950100000,4.96,4.96,4.94,4.94,5335
1569951000000,4.95,4.95,4.92,4.93,12963
1569951900000,4.92,4.92,4.87,4.87,2600
