datetime,open,high,low,close,volume
1569504600000,30.68,30.8,30.3,30.565,65938
1569505500000,30.58,30.83,30.57,30.74,12565
1569506400000,30.715,30.715,30.51,30.57,55059
1569507300000,30.53,30.75,30.51,30.75,14319
1569508200000,30.7429,30.77,30.62,30.7,5334
1569509100000,30.705,30.91,30.705,30.885,9976
1569510000000,30.9,30.92,30.76,30.79,12255
1569510900000,30.81,30.81,30.72,30.79,7231
1569511800000,30.8,30.9,30.75,30.875,13664
1569512700000,30.885,31.089,30.87,31.089,15387
1569513600000,31.0725,31.17,31.0,31.155,12904
1569514500000,31.17,31.17,31.07,31.12,9520
1569515400000,31.12,31.13,30.96,30.98,22068
1569516300000,30.97,31.03,30.9166,30.96,23094
1569517200000,30.96,30.96,30.795,30.84,26400
1569518100000,30.83,30.84,30.78,30.78,9633
1569519000000,30.785,31.02,30.785,30.97,5176
1569519900000,30.98,30.98,30.8847,30.96,16831
1569520800000,30.97,31.0,30.885,30.895,19059
1569521700000,30.895,30.92,30.87,30.905,51155
1569522600000,30.91,31.06,30.885,30.96,33212
1569523500000,30.96,31.0,30.96,31.0,10732
1569524400000,31.0,31.0,30.96,30.98,14617
1569525300000,30.98,31.09,30.97,31.07,42054
1569526200000,31.08,31.109,31.0,31.03,70930
1569527100000,31.05,31.145,30.99,31.0,67186
1569591000000,31.09,31.09,31.03,31.03,2461
1569591900000,31.045,31.045,30.82,30.87,3996
1569592800000,30.94,30.98,30.91,30.93,1700
1569593700000,30.89,30.91,30.79,30.91,2773
1569594600000,30.885,30.92,30.78,30.9,4750
1569595500000,30.92,30.98,30.865,30.88,2600
1569596400000,30.9,30.93,30.785,30.83,2900
1569597300000,30.79,30.84,30.76,30.83,1137
1569598200000,30.85,30.92,30.52,30.7,8572
1569599100000,30.75,30.83,30.64,30.83,5983
1569600000000,30.8,30.8,30.64,30.79,7952
1569600900000,30.76,30.76,30.62,30.62,8144
1569601800000,30.6,30.62,30.5,30.54,11716
1569602700000,30.48,30.625,30.48,30.61,7927
1569603600000,30.57,30.64,30.57,30.59,3135
1569604500000,30.58,30.58,30.465,30.5,12228
1569605400000,30.5,30.51,30.43,30.5,5299
1569606300000,30.44,30.51,30.42,30.51,4360
1569607200000,30.52,30.53,30.4,30.42,5429
1569608100000,30.4,30.4354,30.37,30.385,3159
1569609000000,30.39,30.42,30.34,30.42,4076
1569609900000,30.41,30.45,30.39,30.4,4593
1569610800000,30.4,30.44,30.38,30.44,2273
1569611700000,30.39,30.45,30.39,30.45,3263
1569612600000,30.44,30.48,30.425,30.44,5584
