datetime,open,high,low,close,volume
1569504600000,33.29,33.41,33.045,33.41,5103
1569505500000,33.41,33.6,33.1201,33.4,3820
1569506400000,33.45,33.675,33.32,33.61,6796
1569507300000,33.555,34.2,33.39,34.17,72500
1569508200000,34.1,34.1,33.7,33.8319,33415
1569509100000,33.81,34.14,33.75,34.02,10478
1569510000000,34.02,34.16,33.72,33.84,5836
1569510900000,33.75,33.84,33.34,33.41,15215
1569511800000,33.37,33.755,33.37,33.45,8120
1569512700000,33.475,33.475,32.91,32.91,12697
1569513600000,32.9965,32.9968,32.47,32.615,17331
1569514500000,32.66,32.9,32.625,32.845,7845
1569515400000,32.84,32.875,32.73,32.81,6201
1569516300000,32.81,32.835,32.695,32.765,4624
1569517200000,32.77,33.03,32.73,32.9,16660
1569518100000,32.91,32.94,32.73,32.84,4694
1569519000000,32.86,32.97,32.85,32.855,3601
1569519900000,32.87,33.06,32.87,33.01,2602
1569520800000,33.16,33.29,33.11,33.29,7183
1569521700000,33.31,33.43,33.22,33.38,7078
1569522600000,33.415,33.53,33.38,33.49,10242
1569523500000,33.53,33.575,33.53,33.54,2908
1569524400000,33.52,33.58,33.14,33.27,11452
1569525300000,33.285,33.46,33.12,33.455,12389
1569526200000,33.44,33.48,33.24,33.44,21245
1569527100000,33.39,33.46,33.19,33.28,31867
1569591000000,33.37,33.85,33.16,33.465,20168
1569591900000,33.4,33.88,33.36,33.5246,14075
1569592800000,33.51,34.44,33.51,34.3,12481
1569593700000,34.48,34.48,34.03,34.16,15280
1569594600000,34.15,34.305,34.03,34.25,4899
1569595500000,34.27,34.615,34.26,34.505,10981
1569596400000,34.5,34.545,34.05,34.08,11400
1569597300000,34.0772,34.38,33.96,34.37,10194
1569598200000,34.37,34.42,33.98,34.085,8670
1569599100000,34.145,34.385,34.01,34.13,7575
1569600000000,34.1,34.17,33.88,34.065,3050
1569600900000,34.11,34.11,33.57,33.57,8130
1569601800000,33.595,33.63,33.5,33.575,5125
1569602700000,33.575,33.575,33.36,33.4,8243
