datetime,open,high,low,close,volume
1569504600000,22.74,23.17,22.47,23.14,24894
1569505500000,22.94,22.94,22.5852,22.67,10887
1569506400000,22.76,22.76,22.56,22.56,5344
1569507300000,22.53,22.5327,22.34,22.39,10646
1569508200000,22.43,22.515,22.27,22.3,8300
1569509100000,22.31,22.38,22.16,22.2,19226
1569510000000,22.22,22.28,21.89,21.89,26416
1569510900000,21.915,21.915,21.4,21.51,32842
1569511800000,21.48,21.72,21.48,21.59,15775
1569512700000,21.51,21.54,21.45,21.49,9481
1569513600000,21.5,21.65,21.45,21.62,10424
1569514500000,21.58,21.89,21.58,21.84,14703
1569515400000,21.87,22.01,21.8,21.84,13970
1569516300000,21.8,21.87,21.77,21.84,7308
1569517200000,21.83,21.895,21.66,21.6913,13712
1569518100000,21.66,21.79,21.55,21.75,15989
1569519000000,21.75,21.905,21.72,21.85,5136
1569519900000,21.9,21.9,21.81,21.87,3701
1569520800000,21.86,21.925,21.77,21.83,6756
1569521700000,21.835,21.86,21.6,21.65,9754
1569522600000,21.65,21.7,21.61,21.66,4037
1569523500000,21.65,21.73,21.63,21.71,5891
1569524400000,21.73,21.98,21.725,21.95,21956
1569525300000,21.96,21.97,21.84,21.85,17357
1569526200000,21.82,21.96,21.74,21.775,15926
1569527100000,21.78,21.84,21.67,21.72,70661
1569591000000,22.01,22.5,21.65,22.28,19461
1569591900000,22.36,22.36,21.88,22.1,10004
1569592800000,22.07,22.21,22.03,22.08,11234
1569593700000,22.095,22.55,22.0,22.48,10696
1569594600000,22.48,22.7794,22.4,22.75,22229
1569595500000,22.78,22.95,22.75,22.835,21259
1569596400000,22.79,22.9,22.62,22.695,6474
1569597300000,22.73,22.75,22.615,22.67,18858
1569598200000,22.6,22.68,22.33,22.53,11610
1569599100000,22.61,22.685,22.37,22.49,12951
1569600000000,22.485,22.495,22.2,22.35,6455
1569600900000,22.34,22.38,22.13,22.24,5000
1569601800000,22.23,22.24,22.06,22.06,10464
1569602700000,22.08,22.11,21.78,21.8,11534
1569603600000,21.79,22.13,21.79,22.09,17945
1569604500000,22.07,22.08,21.92,21.99,12387
1569605400000,22.01,22.13,21.88,22.05,6055
1569606300000,22.075,22.32,21.99,22.32,12474
1569607200000,22.285,22.33,22.0,22.17,12226
1569608100000,22.11,22.18,22.07,22.16,9417
1569609000000,22.16,22.16,21.89,21.89,11518
1569609900000,21.89,21.9,21.75,21.89,12440
1569610800000,21.88,22.0,21.78,21.78,11687
1569611700000,21.79,21.9,21.77,21.77,10831
1569612600000,21.79,21.8,21.67,21.69,19503
1569613500000,21.69,21.88,21.67,21.84,63478
1569850200000,21.78,21.78,21.2336,21.74,9009
1569851100000,21.72,21.9217,21.72,21.91,4484
1569852000000,21.83,21.86,21.56,21.74,14877
1569852900000,21.695,21.695,21.57,21.57,675
1569853800000,21.64,21.78,21.64,21.74,5834
1569854700000,21.69,21.85,21.63,21.63,9726
1569855600000,21.7,21.79,21.65,21.67,6719
1569856500000,21.7,21.74,21.53,21.66,11863
1569857400000,21.62,21.815,21.6,21.75,4802
1569858300000,21.835,21.835,21.7,21.78,5084
1569859200000,21.785,21.81,21.7,21.71,8479
1569860100000,21.73,21.77,21.65,21.77,10626
1569861000000,21.77,21.8,21.7,21.7,8641
1569861900000,21.71,21.78,21.66,21.75,13480
1569862800000,21.75,21.995,21.745,21.95,8088
1569863700000,21.97,22.06,21.96,21.98,6902
1569864600000,21.96,22.34,21.96,22.28,16211
1569865500000,22.25,22.34,22.2,22.24,14006
1569866400000,22.24,22.35,22.21,22.35,6447
1569867300000,22.35,22.38,22.24,22.24,8831
