datetime,open,high,low,close,volume
1569504600000,3.47,3.47,3.44,3.44,3415
1569505500000,3.48,3.5,3.47,3.48,3191
1569506400000,3.48,3.48,3.45,3.47,1105
1569507300000,3.47,3.47,3.47,3.47,400
1569508200000,3.47,3.47,3.465,3.47,800
1569509100000,3.46,3.46,3.45,3.45,400
1569510000000,3.45,3.45,3.44,3.45,1900
1569510900000,3.45,3.45,3.41,3.41,23673
1569511800000,3.41,3.415,3.41,3.41,1300
1569512700000,3.41,3.41,3.41,3.41,400
1569513600000,3.405,3.405,3.395,3.395,3200
1569514500000,3.3978,3.42,3.3978,3.42,2380
1569515400000,3.4126,3.42,3.41,3.42,1167
1569517200000,3.4266,3.4266,3.41,3.41,3998
1569518100000,3.41,3.41,3.39,3.39,1463
1569519000000,3.4,3.4,3.37,3.37,37818
1569519900000,3.3857,3.3857,3.375,3.38,1400
1569520800000,3.38,3.385,3.37,3.38,3545
1569521700000,3.385,3.3873,3.38,3.3873,300
1569524400000,3.38,3.39,3.38,3.39,200
1569525300000,3.3866,3.39,3.38,3.39,1500
1569526200000,3.385,3.4,3.385,3.3908,1384
1569527100000,3.394,3.4,3.38,3.4,4774
1569591000000,3.41,3.41,3.3,3.3,4155
1569591900000,3.3,3.37,3.2927,3.37,12465
1569592800000,3.36,3.37,3.35,3.35,1900
1569593700000,3.37,3.37,3.35,3.3699,1280
1569594600000,3.37,3.38,3.36,3.38,600
1569595500000,3.38,3.38,3.38,3.38,300
1569596400000,3.38,3.38,3.33,3.33,16158
1569597300000,3.3463,3.38,3.345,3.38,2773
1569598200000,3.39,3.4,3.37,3.37,2195
1569599100000,3.35,3.3573,3.35,3.35,1700
1569600000000,3.35,3.35,3.33,3.35,1100
1569600900000,3.35,3.35,3.31,3.31,10158
1569601800000,3.325,3.325,3.3,3.31,8766
1569602700000,3.31,3.34,3.29,3.3,15387
1569603600000,3.295,3.3,3.29,3.3,1150
1569604500000,3.3,3.32,3.3,3.32,600
1569605400000,3.34,3.34,3.32,3.3361,1545
1569606300000,3.34,3.35,3.32,3.32,4686
1569607200000,3.32,3.33,3.31,3.325,4422
1569608100000,3.32,3.325,3.3,3.32,3400
1569609000000,3.32,3.35,3.31,3.35,4692
1569609900000,3.33,3.33,3.33,3.33,200
1569610800000,3.35,3.35,3.33,3.34,700
1569611700000,3.33,3.34,3.325,3.34,2800
1569612600000,3.35,3.36,3.34,3.36,2700
1569613500000,3.3546,3.36,3.34,3.34,14489
1569850200000,3.39,3.41,3.36,3.39,3498
1569851100000,3.39,3.4,3.39,3.4,2566
1569852000000,3.4,3.5,3.3965,3.5,24532
1569852900000,3.5,3.54,3.48,3.49,21467
1569853800000,3.49,3.49,3.44,3.46,4000
1569854700000,3.46,3.49,3.46,3.48,1359
1569855600000,3.47,3.48,3.44,3.44,1900
1569856500000,3.44,3.45,3.44,3.45,1681
1569857400000,3.4369,3.45,3.4369,3.45,1520
1569858300000,3.45,3.45,3.45,3.45,500
1569859200000,3.45,3.45,3.44,3.45,1100
1569860100000,3.47,3.48,3.465,3.48,800
1569861000000,3.48,3.5,3.48,3.5,23200
1569861900000,3.49,3.49,3.49,3.49,1600
1569862800000,3.49,3.51,3.48,3.48,7375
1569863700000,3.5,3.5,3.44,3.44,4091
1569864600000,3.44,3.4499,3.44,3.44,1600
1569865500000,3.445,3.48,3.44,3.48,1226
1569866400000,3.48,3.5,3.48,3.5,800
1569867300000,3.4999,3.52,3.4999,3.52,4500
1569868200000,3.5116,3.53,3.51,3.53,10198
1569869100000,3.54,3.54,3.51,3.52,2910
1569870000000,3.52,3.52,3.52,3.52,1300
1569870900000,3.52,3.52,3.495,3.51,9502
1569871800000,3.51,3.53,3.51,3.52,2066
1569872700000,3.53,3.53,3.46,3.47,15788
1569936600000,3.48,3.54,3.48,3.54,2604
1569937500000,3.54,3.54,3.5,3.5,909
1569938400000,3.5,3.52,3.48,3.5,2800
1569939300000,3.48,3.51,3.44,3.48,11089
1569940200000,3.48,3.5,3.48,3.5,2200
1569941100000,3.5,3.5,3.49,3.49,1400
1569942000000,3.49,3.49,3.47,3.47,2000
1569942900000,3.48,3.495,3.48,3.48,1396
1569943800000,3.5,3.5,3.47,3.47,1254
1569945600000,3.47,3.47,3.46,3.47,9600
1569946500000,3.4598,3.47,3.4598,3.46,15001
1569947400000,3.46,3.47,3.46,3.46,300
1569948300000,3.46,3.46,3.46,3.46,300
1569949200000,3.46,3.46,3.43,3.43,3713
1569950100000,3.43,3.43,3.41,3.42,2156
1569951000000,3.41,3.42,3.4,3.4,1000
1569951900000,3.4,3.41,3.4,3.4,1300
1569952800000,3.39,3.39,3.37,3.38,700
1569953700000,3.38,3.4,3.36,3.37,8453
1569954600000,3.3879,3.39,3.3873,3.39,2708
1569955500000,3.38,3.3925,3.38,3.3896,859
1569956400000,3.3909,3.3909,3.36,3.36,7642
1569957300000,3.36,3.3699,3.35,3.35,2500
1569958200000,3.33,3.34,3.3,3.34,11722
1569959100000,3.36,3.36,3.33,3.34,8343
1570023000000,3.31,3.35,3.24,3.2486,41351
1570023900000,3.235,3.235,3.21,3.221,2278
1570024800000,3.23,3.23,3.18,3.18,38458
1570025700000,3.17,3.17,3.16,3.17,2481
1570026600000,3.18,3.21,3.18,3.2,6369
1570027500000,3.21,3.2198,3.2,3.21,4038
1570028400000,3.21,3.22,3.2,3.215,6200
1570029300000,3.215,3.215,3.211,3.211,300
1570030200000,3.21,3.21,3.16,3.17,10655
1570031100000,3.165,3.18,3.165,3.18,3200
1570032000000,3.18,3.21,3.18,3.21,9726
1570032900000,3.21,3.21,3.194,3.1986,1859
1570033800000,3.21,3.21,3.195,3.205,4958
1570034700000,3.22,3.23,3.22,3.23,500
1570035600000,3.23,3.24,3.2253,3.24,4532
1570036500000,3.24,3.245,3.24,3.245,400
1570037400000,3.245,3.245,3.245,3.245,800
1570038300000,3.25,3.25,3.245,3.25,3245
1570039200000,3.25,3.26,3.25,3.25,1300
1570040100000,3.255,3.26,3.255,3.26,400
1570041000000,3.255,3.26,3.255,3.26,500
1570041900000,3.2517,3.26,3.25,3.2561,4760
1570042800000,3.25,3.25,3.25,3.25,400
1570043700000,3.25,3.26,3.25,3.26,1200
1570044600000,3.25,3.2838,3.25,3.25,55007
1570045500000,3.26,3.28,3.26,3.265,4626
1570109400000,3.27,3.3055,3.21,3.21,2725
1570110300000,3.22,3.2255,3.15,3.16,4709
1570111200000,3.16,3.16,3.11,3.11,22897
1570112100000,3.11,3.14,3.11,3.1385,1600
1570113000000,3.14,3.14,3.11,3.13,3595
1570113900000,3.1196,3.13,3.11,3.11,5711
1570114800000,3.12,3.14,3.12,3.135,7020
1570115700000,3.14,3.15,3.13,3.14,11253
1570116600000,3.135,3.14,3.12,3.12,14823
1570117500000,3.12,3.1214,3.12,3.12,1100
1570118400000,3.11,3.12,3.1,3.12,8460
1570119300000,3.13,3.15,3.13,3.13,10350
1570120200000,3.15,3.15,3.14,3.14,11399
1570121100000,3.145,3.15,3.13,3.15,2699
1570122000000,3.13,3.1333,3.13,3.13,2108
1570122900000,3.12,3.12,3.07,3.07,19805
1570123800000,3.0812,3.085,3.06,3.065,3499
1570124700000,3.0734,3.0734,3.06,3.06,5123
1570125600000,3.07,3.11,3.07,3.105,27910
1570126500000,3.1,3.11,3.1,3.105,7308
1570127400000,3.105,3.15,3.105,3.12,13203
1570128300000,3.135,3.135,3.135,3.135,400
1570129200000,3.15,3.15,3.11,3.11,2205
1570130100000,3.1187,3.14,3.1187,3.14,4030
1570131000000,3.1318,3.15,3.1318,3.14,9727
1570131900000,3.145,3.2,3.145,3.165,40556
1570195800000,3.19,3.23,3.16,3.19,31240
1570196700000,3.2,3.24,3.19,3.23,40012
1570197600000,3.24,3.24,3.235,3.24,3690
1570199400000,3.23,3.3018,3.22,3.2973,51475
1570200300000,3.28,3.28,3.27,3.28,14717
1570201200000,3.28,3.28,3.28,3.28,205
1570202100000,3.28,3.28,3.26,3.28,300
1570203000000,3.26,3.267,3.23,3.24,14405
1570203900000,3.24,3.24,3.22,3.23,900
1570204800000,3.23,3.24,3.23,3.24,11788
1570205700000,3.23,3.24,3.23,3.24,200
1570206600000,3.25,3.25,3.2449,3.2449,5300
1570207500000,3.23,3.24,3.23,3.24,5600
1570208400000,3.22,3.2239,3.22,3.22,750
1570209300000,3.22,3.22,3.22,3.22,300
1570210200000,3.22,3.22,3.21,3.21,300
1570211100000,3.2,3.2,3.2,3.2,585
1570212000000,3.2,3.21,3.19,3.21,7222
1570212900000,3.21,3.29,3.21,3.27,6374
1570213800000,3.27,3.28,3.27,3.28,1893
1570214700000,3.27,3.28,3.23,3.23,12594
1570215600000,3.2295,3.26,3.2295,3.25,8727
1570216500000,3.2375,3.25,3.23,3.24,2500
1570217400000,3.24,3.26,3.24,3.25,30460
1570218300000,3.25,3.29,3.24,3.29,44079
1570455000000,3.32,3.35,3.23,3.23,21594
1570455900000,3.23,3.23,3.23,3.23,1000
1570456800000,3.235,3.235,3.2,3.2,6500
1570457700000,3.21,3.21,3.2,3.2,3200
1570458600000,3.2,3.21,3.19,3.2,4480
1570460400000,3.21,3.21,3.2,3.2,3381
1570461300000,3.2,3.21,3.2,3.205,1792
1570462200000,3.2,3.2,3.1925,3.1925,850
1570463100000,3.195,3.195,3.18,3.19,1650
1570464000000,3.19,3.21,3.185,3.2,800
1570464900000,3.2,3.205,3.2,3.2,800
1570465800000,3.2,3.205,3.2,3.2,1059
1570466700000,3.2,3.205,3.2,3.205,500
1570467600000,3.2064,3.2064,3.19,3.19,1763
1570468500000,3.19,3.19,3.17,3.175,2000
1570469400000,3.17,3.17,3.16,3.165,1600
1570470300000,3.16,3.1616,3.16,3.16,700
1570471200000,3.16,3.165,3.16,3.165,600
1570472100000,3.1636,3.18,3.155,3.1797,3650
1570473000000,3.185,3.2,3.185,3.195,2326
1570473900000,3.2,3.21,3.195,3.205,4317
1570474800000,3.2,3.205,3.195,3.205,1909
1570475700000,3.21,3.255,3.2,3.25,30662
1570476600000,3.25,3.255,3.24,3.24,1250
1570477500000,3.23,3.25,3.22,3.22,9577
1570541400000,3.19,3.2399,3.15,3.19,15358
1570542300000,3.19,3.19,3.1783,3.19,775
1570543200000,3.19,3.19,3.16,3.16,9494
1570544100000,3.1799,3.19,3.155,3.17,14459
1570545000000,3.19,3.19,3.19,3.19,100
1570545900000,3.19,3.19,3.15,3.1501,3362
1570546800000,3.1611,3.165,3.1503,3.1503,680
1570547700000,3.17,3.18,3.16,3.175,9027
1570548600000,3.18,3.18,3.175,3.18,5302
1570549500000,3.18,3.18,3.17,3.1735,3152
1570550400000,3.18,3.18,3.175,3.18,500
1570551300000,3.1717,3.19,3.1717,3.19,37594
1570552200000,3.19,3.19,3.18,3.19,600
1570553100000,3.185,3.19,3.18,3.18,600
1570554000000,3.18,3.19,3.18,3.18,3679
1570554900000,3.18,3.19,3.18,3.19,300
1570555800000,3.19,3.19,3.19,3.19,300
1570556700000,3.19,3.19,3.185,3.19,300
1570557600000,3.19,3.19,3.1867,3.19,5498
1570558500000,3.185,3.19,3.185,3.19,300
1570559400000,3.19,3.19,3.185,3.19,900
1570560300000,3.19,3.19,3.18,3.18,2585
1570561200000,3.19,3.19,3.175,3.18,3565
1570562100000,3.19,3.19,3.17,3.18,6935
1570563000000,3.18,3.19,3.18,3.19,854
1570563900000,3.18,3.19,3.18,3.19,11180
1570627800000,3.17,3.1874,3.15,3.1767,1755
1570628700000,3.17,3.17,3.17,3.17,200
