datetime,open,high,low,close,volume
1569504600000,4.74,4.74,4.66,4.72,20712
1569505500000,4.7173,4.72,4.68,4.685,15113
1569506400000,4.69,4.69,4.67,4.67,3609
1569507300000,4.66,4.67,4.64,4.66,6385
1569508200000,4.655,4.66,4.6519,4.6519,1540
1569509100000,4.66,4.66,4.65,4.655,2200
1569510000000,4.66,4.66,4.63,4.635,20126
1569510900000,4.64,4.64,4.62,4.625,15804
1569511800000,4.63,4.67,4.63,4.67,8719
1569512700000,4.66,4.66,4.65,4.65,1400
1569513600000,4.655,4.67,4.6526,4.67,2000
1569514500000,4.665,4.69,4.665,4.67,8888
1569515400000,4.67,4.68,4.665,4.665,3200
1569516300000,4.67,4.68,4.665,4.67,1700
1569517200000,4.665,4.67,4.66,4.67,9271
1569518100000,4.67,4.67,4.66,4.67,2800
1569519000000,4.66,4.67,4.66,4.66,2802
1569519900000,4.665,4.67,4.66,4.6675,1600
1569520800000,4.67,4.67,4.66,4.67,8601
1569521700000,4.665,4.67,4.655,4.66,4085
1569522600000,4.655,4.67,4.65,4.66,15000
1569523500000,4.665,4.67,4.66,4.67,4199
1569524400000,4.665,4.67,4.66,4.67,8600
1569525300000,4.66,4.67,4.65,4.655,11919
1569526200000,4.655,4.665,4.61,4.625,49647
1569527100000,4.62,4.63,4.61,4.63,27011
1569591000000,4.62,4.62,4.54,4.58,19266
1569591900000,4.57,4.57,4.54,4.56,13201
1569592800000,4.57,4.58,4.55,4.56,7114
1569593700000,4.57,4.58,4.565,4.575,4100
1569594600000,4.575,4.58,4.55,4.55,12011
1569595500000,4.545,4.56,4.545,4.56,2595
1569596400000,4.553,4.56,4.55,4.55,4721
1569597300000,4.56,4.56,4.54,4.55,10300
1569598200000,4.55,4.56,4.51,4.52,19305
1569599100000,4.52,4.53,4.51,4.53,2456
1569600000000,4.52,4.52,4.503,4.51,9200
1569600900000,4.5,4.52,4.5,4.52,41721
1569601800000,4.52,4.53,4.5,4.51,31531
1569602700000,4.515,4.52,4.5,4.5,17156
1569603600000,4.5,4.51,4.5,4.5,46794
1569604500000,4.505,4.51,4.5,4.5,3200
1569605400000,4.5,4.51,4.5,4.505,19028
1569606300000,4.51,4.51,4.5,4.5,3422
1569607200000,4.5,4.51,4.5,4.505,5401
1569608100000,4.5,4.51,4.5,4.5,14454
1569609000000,4.5,4.51,4.47,4.47,10013
1569609900000,4.47,4.49,4.47,4.48,8404
1569610800000,4.48,4.4844,4.46,4.46,20291
1569611700000,4.46,4.48,4.46,4.47,21426
1569612600000,4.47,4.49,4.47,4.485,24268
1569613500000,4.49,4.52,4.48,4.52,96022
1569850200000,4.52,4.53,4.51,4.52,7336
1569851100000,4.52,4.525,4.51,4.51,1715
1569852000000,4.515,4.52,4.51,4.515,3100
1569852900000,4.52,4.52,4.505,4.505,2300
1569853800000,4.5,4.51,4.48,4.485,7500
1569854700000,4.485,4.49,4.485,4.485,2299
1569855600000,4.49,4.49,4.48,4.485,5850
1569856500000,4.485,4.5,4.485,4.49,6448
1569857400000,4.49,4.49,4.485,4.49,4800
1569858300000,4.49,4.49,4.485,4.485,1400
1569859200000,4.485,4.49,4.485,4.49,1100
1569860100000,4.5,4.5,4.49,4.5,1700
1569861000000,4.49,4.49,4.48,4.485,10591
1569861900000,4.49,4.49,4.485,4.485,1400
1569862800000,4.48,4.49,4.48,4.485,1700
1569863700000,4.48,4.49,4.48,4.48,3700
1569864600000,4.48,4.49,4.48,4.49,2400
1569865500000,4.48,4.49,4.475,4.485,20530
1569866400000,4.49,4.5,4.485,4.5,4619
1569867300000,4.49,4.5,4.49,4.49,3200
1569868200000,4.49,4.4975,4.48,4.48,8600
1569869100000,4.49,4.49,4.48,4.485,3100
1569870000000,4.485,4.5,4.48,4.49,13614
1569870900000,4.5,4.51,4.495,4.505,7497
1569871800000,4.5,4.51,4.5,4.5,12735
1569872700000,4.51,4.51,4.48,4.495,75323
1569936600000,4.51,4.53,4.51,4.525,7007
1569937500000,4.525,4.525,4.51,4.515,7200
1569938400000,4.515,4.515,4.49,4.5,16892
1569939300000,4.49,4.495,4.48,4.48,2970
1569940200000,4.485,4.495,4.48,4.49,6313
1569941100000,4.4847,4.49,4.46,4.47,4686
1569942000000,4.475,4.48,4.47,4.47,4775
1569942900000,4.475,4.475,4.455,4.47,6024
1569943800000,4.47,4.47,4.455,4.46,3362
1569944700000,4.45,4.46,4.45,4.455,1900
1569945600000,4.45,4.455,4.44,4.44,22961
1569946500000,4.44,4.46,4.44,4.45,12504
1569947400000,4.445,4.45,4.44,4.44,2826
1569948300000,4.445,4.45,4.43,4.43,12152
1569949200000,4.43,4.44,4.43,4.43,2399
1569950100000,4.44,4.44,4.42,4.43,23523
1569951000000,4.435,4.44,4.43,4.43,3000
1569951900000,4.43,4.435,4.42,4.42,6715
1569952800000,4.425,4.425,4.41,4.42,21612
1569953700000,4.42,4.425,4.415,4.42,7800
1569954600000,4.43,4.45,4.42,4.44,10320
1569955500000,4.45,4.45,4.44,4.445,2300
1569956400000,4.445,4.45,4.43,4.43,9720
1569957300000,4.435,4.44,4.42,4.425,8533
1569958200000,4.425,4.43,4.42,4.43,6800
1569959100000,4.425,4.45,4.42,4.44,58799
1570023000000,4.4,4.44,4.4,4.42,12762
1570023900000,4.42,4.42,4.41,4.41,6516
1570024800000,4.42,4.44,4.42,4.43,18200
1570025700000,4.43,4.435,4.42,4.43,6632
1570026600000,4.43,4.43,4.4,4.42,14175
1570027500000,4.42,4.43,4.41,4.43,5950
1570028400000,4.43,4.435,4.42,4.43,7251
1570029300000,4.43,4.44,4.42,4.44,21063
1570030200000,4.44,4.44,4.43,4.44,40567
1570031100000,4.435,4.435,4.41,4.42,42641
1570032000000,4.42,4.43,4.42,4.425,2400
1570032900000,4.42,4.42,4.41,4.415,41255
1570033800000,4.42,4.42,4.41,4.415,17610
1570034700000,4.42,4.42,4.41,4.41,12700
1570035600000,4.42,4.425,4.41,4.425,25782
1570036500000,4.43,4.43,4.42,4.425,2500
1570037400000,4.42,4.43,4.41,4.41,9725
1570038300000,4.415,4.42,4.41,4.415,9112
1570039200000,4.41,4.42,4.41,4.415,6035
1570040100000,4.41,4.42,4.41,4.41,5500
1570041000000,4.41,4.42,4.39,4.39,25969
1570041900000,4.39,4.41,4.39,4.405,6500
1570042800000,4.41,4.41,4.39,4.39,8700
1570043700000,4.39,4.41,4.39,4.405,15406
1570044600000,4.405,4.41,4.39,4.395,19211
1570045500000,4.39,4.395,4.38,4.39,93563
1570109400000,4.38,4.43,4.38,4.4,9938
1570110300000,4.41,4.42,4.39,4.4,12500
1570111200000,4.39,4.4,4.35,4.375,57463
1570112100000,4.38,4.4,4.375,4.39,9699
1570113000000,4.395,4.395,4.385,4.385,4600
1570113900000,4.385,4.4,4.38,4.4,8900
1570114800000,4.395,4.43,4.395,4.425,11754
1570115700000,4.43,4.44,4.42,4.4323,10025
1570116600000,4.43,4.44,4.425,4.43,8520
1570117500000,4.43,4.43,4.425,4.425,2000
1570118400000,4.425,4.445,4.42,4.44,5300
1570119300000,4.445,4.45,4.435,4.45,7200
1570120200000,4.445,4.45,4.445,4.445,2500
1570121100000,4.45,4.45,4.44,4.44,7000
1570122000000,4.445,4.45,4.42,4.425,10608
1570122900000,4.425,4.43,4.42,4.425,1900
1570123800000,4.425,4.44,4.425,4.435,5600
1570124700000,4.44,4.44,4.435,4.44,2500
1570125600000,4.44,4.445,4.4302,4.435,13749
1570126500000,4.44,4.45,4.435,4.44,3400
1570127400000,4.445,4.45,4.44,4.445,3100
1570128300000,4.45,4.45,4.44,4.445,3600
1570129200000,4.445,4.445,4.43,4.435,10100
1570130100000,4.435,4.44,4.42,4.425,9900
1570131000000,4.42,4.43,4.39,4.41,26804
1570131900000,4.4,4.43,4.39,4.43,65681
1570195800000,4.44,4.5,4.44,4.48,6388
1570196700000,4.48,4.5,4.48,4.5,5733
1570197600000,4.5,4.5,4.47,4.48,7272
1570198500000,4.48,4.49,4.47,4.47,3400
1570199400000,4.48,4.48,4.45,4.46,4104
1570200300000,4.47,4.47,4.45,4.47,8356
1570201200000,4.465,4.49,4.46,4.49,18062
1570202100000,4.49,4.5,4.485,4.5,6756
