datetime,open,high,low,close,volume
1569504600000,13.67,13.7,13.67,13.7,4330
1569505500000,13.685,13.72,13.685,13.695,1300
1569506400000,13.69,13.72,13.69,13.71,2400
1569507300000,13.7,13.71,13.68,13.695,2975
1569508200000,13.68,13.68,13.655,13.68,703
1569509100000,13.67,13.69,13.64,13.65,3500
1569510000000,13.65,13.665,13.65,13.655,600
1569510900000,13.64,13.64,13.61,13.61,800
1569511800000,13.6,13.64,13.6,13.63,800
1569512700000,13.64,13.64,13.62,13.62,600
1569513600000,13.62,13.625,13.6,13.62,2300
1569514500000,13.615,13.63,13.61,13.63,945
1569515400000,13.621,13.64,13.62,13.63,3963
1569516300000,13.61,13.61,13.61,13.61,500
1569517200000,13.59,13.6,13.59,13.6,800
1569518100000,13.6,13.6,13.56,13.575,1400
1569519000000,13.57,13.595,13.57,13.59,3064
1569519900000,13.6,13.61,13.595,13.61,400
1569520800000,13.605,13.63,13.6,13.63,700
1569521700000,13.64,13.64,13.62,13.62,2900
1569522600000,13.63,13.63,13.62,13.63,7300
1569523500000,13.63,13.635,13.6,13.6,5658
1569524400000,13.6,13.63,13.6,13.61,4311
1569525300000,13.61,13.615,13.585,13.59,4800
1569526200000,13.59,13.61,13.585,13.585,7485
1569527100000,13.59,13.59,13.53,13.56,50387
1569591000000,13.6,13.69,13.6,13.69,2909
1569591900000,13.69,13.7,13.65,13.67,4025
1569592800000,13.64,13.66,13.64,13.66,1300
1569593700000,13.67,13.71,13.67,13.695,689
1569594600000,13.7,13.7,13.66,13.66,4455
1569595500000,13.65,13.65,13.63,13.65,1300
1569596400000,13.65,13.65,13.63,13.63,500
1569597300000,13.64,13.66,13.62,13.65,1471
1569598200000,13.65,13.65,13.57,13.61,5028
1569599100000,13.6,13.63,13.58,13.63,1422
1569600000000,13.63,13.64,13.62,13.63,800
1569600900000,13.64,13.64,13.61,13.61,1800
1569601800000,13.61,13.61,13.595,13.605,1400
1569602700000,13.6,13.6,13.56,13.56,1400
1569603600000,13.56,13.59,13.55,13.59,2220
1569604500000,13.59,13.62,13.59,13.59,2100
1569605400000,13.6,13.6,13.595,13.6,1100
1569606300000,13.6,13.61,13.57,13.61,2300
1569607200000,13.625,13.625,13.6,13.61,400
1569608100000,13.61,13.62,13.6,13.615,3011
1569609000000,13.62,13.62,13.58,13.585,1200
1569609900000,13.58,13.58,13.56,13.56,3016
1569610800000,13.565,13.565,13.52,13.545,21051
1569611700000,13.545,13.565,13.52,13.52,8650
1569612600000,13.52,13.56,13.515,13.545,8461
1569613500000,13.545,13.58,13.52,13.56,47361
1569850200000,13.57,13.63,13.56,13.62,3854
1569851100000,13.61,13.61,13.56,13.57,4152
1569852000000,13.58,13.58,13.55,13.55,5784
1569852900000,13.55,13.55,13.5,13.5,3723
1569853800000,13.52,13.54,13.51,13.53,2819
1569854700000,13.51,13.55,13.51,13.55,2213
1569855600000,13.54,13.55,13.525,13.545,2475
1569856500000,13.54,13.56,13.53,13.555,3600
1569857400000,13.55,13.565,13.55,13.555,4541
1569858300000,13.56,13.565,13.53,13.54,3300
1569859200000,13.535,13.56,13.52,13.52,7336
1569860100000,13.52,13.56,13.51,13.555,6602
1569861000000,13.555,13.555,13.51,13.515,3611
1569861900000,13.52,13.53,13.51,13.515,2900
1569862800000,13.52,13.55,13.51,13.55,2140
1569863700000,13.545,13.55,13.54,13.55,2300
1569864600000,13.55,13.56,13.54,13.54,1900
1569865500000,13.54,13.56,13.53,13.53,11022
1569866400000,13.53,13.53,13.5,13.525,8825
1569867300000,13.53,13.53,13.505,13.505,700
1569868200000,13.5,13.53,13.5,13.51,4685
1569869100000,13.52,13.54,13.51,13.525,4650
1569870000000,13.53,13.55,13.525,13.55,3194
1569870900000,13.545,13.56,13.51,13.51,8854
1569871800000,13.51,13.53,13.51,13.51,9985
1569872700000,13.515,13.52,13.42,13.44,61811
1569936600000,13.51,13.59,13.495,13.56,4287
1569937500000,13.53,13.57,13.53,13.53,1800
1569938400000,13.53,13.53,13.44,13.45,1800
1569939300000,13.45,13.46,13.44,13.45,1033
1569940200000,13.46,13.47,13.44,13.44,3528
1569941100000,13.43,13.455,13.42,13.44,1974
1569942000000,13.45,13.46,13.44,13.44,3296
1569942900000,13.42,13.465,13.42,13.46,2800
1569943800000,13.47,13.47,13.42,13.43,6734
1569944700000,13.435,13.44,13.42,13.43,1500
1569945600000,13.425,13.425,13.38,13.38,3289
1569946500000,13.38,13.41,13.38,13.38,2300
1569947400000,13.39,13.41,13.39,13.41,1505
1569948300000,13.41,13.41,13.38,13.38,4400
1569949200000,13.38,13.38,13.34,13.355,3900
1569950100000,13.36,13.36,13.31,13.31,5600
1569951000000,13.3,13.31,13.27,13.29,6000
1569951900000,13.28,13.32,13.28,13.28,12187
1569952800000,13.29,13.3,13.27,13.29,3100
1569953700000,13.3,13.31,13.28,13.3,5300
1569954600000,13.31,13.36,13.31,13.36,17433
1569955500000,13.36,13.37,13.32,13.32,4800
1569956400000,13.33,13.34,13.3,13.3,8631
1569957300000,13.315,13.34,13.3,13.32,7069
1569958200000,13.325,13.33,13.27,13.305,15708
1569959100000,13.31,13.34,13.28,13.31,23210
1570023000000,13.23,13.25,13.22,13.22,5427
1570023900000,13.23,13.26,13.13,13.18,6839
1570024800000,13.18,13.24,13.18,13.24,1600
1570025700000,13.25,13.27,13.25,13.27,1929
1570026600000,13.23,13.23,13.18,13.23,3908
1570027500000,13.23,13.23,13.2,13.205,4029
1570028400000,13.22,13.23,13.18,13.18,4943
1570029300000,13.2,13.205,13.18,13.18,1834
1570030200000,13.18,13.18,13.15,13.15,1962
1570031100000,13.16,13.17,13.16,13.17,1000
1570032000000,13.17,13.18,13.15,13.15,3100
1570032900000,13.155,13.16,13.13,13.16,2127
