datetime,open,high,low,close,volume
1569504600000,14.86,14.9,14.84,14.8804,16900
1569505500000,14.84,14.85,14.81,14.8488,12851
1569506400000,14.86,14.8999,14.86,14.88,13262
1569507300000,14.88,14.93,14.88,14.93,34406
1569508200000,14.925,14.9302,14.91,14.9302,5631
1569509100000,14.93,14.94,14.88,14.91,22658
1569510000000,14.9126,14.9126,14.8701,14.88,17188
1569510900000,14.88,14.91,14.88,14.88,12410
1569511800000,14.89,14.92,14.885,14.91,2900
1569512700000,14.91,14.92,14.91,14.92,900
1569513600000,14.93,14.94,14.91,14.91,3533
1569514500000,14.92,14.94,14.915,14.94,2995
1569515400000,14.93,14.93,14.885,14.885,10810
1569516300000,14.89,14.91,14.885,14.91,12424
1569517200000,14.92,14.93,14.92,14.93,1266
1569518100000,14.93,14.94,14.92,14.92,2655
1569519000000,14.91,14.94,14.91,14.91,31095
1569519900000,14.91,14.92,14.9,14.92,9073
1569520800000,14.92,14.97,14.92,14.97,24482
1569521700000,14.974,14.995,14.95,14.98,17272
1569522600000,14.965,14.98,14.93,14.945,17328
1569523500000,14.95,14.9732,14.945,14.9732,2200
1569524400000,14.98,14.98,14.97,14.975,4279
1569525300000,14.98,14.98,14.97,14.97,6142
1569526200000,14.98,15.03,14.97,15.01,34145
1569527100000,15.01,15.02,14.94,14.96,49497
1569591000000,14.69,14.705,14.61,14.69,10066
1569591900000,14.71,14.71,14.56,14.59,26107
1569592800000,14.595,14.65,14.56,14.57,11520
1569593700000,14.5593,14.56,14.53,14.55,13257
1569594600000,14.55,14.5999,14.55,14.5901,6883
1569595500000,14.5801,14.5834,14.52,14.54,13058
1569596400000,14.5439,14.55,14.53,14.54,3500
1569597300000,14.56,14.5699,14.55,14.5642,2315
1569598200000,14.57,14.57,14.5,14.525,22177
1569599100000,14.52,14.56,14.5,14.53,29659
1569600000000,14.525,14.525,14.51,14.515,3592
1569600900000,14.51,14.51,14.505,14.51,2006
1569601800000,14.51,14.51,14.49,14.4975,5750
1569602700000,14.49,14.52,14.44,14.5,32937
1569603600000,14.5021,14.5021,14.395,14.43,45641
1569604500000,14.435,14.455,14.4346,14.45,2998
1569605400000,14.45,14.45,14.43,14.44,1722
1569606300000,14.43,14.46,14.42,14.445,5895
1569607200000,14.4448,14.45,14.43,14.435,6345
1569608100000,14.4305,14.445,14.42,14.43,7778
1569609000000,14.43,14.43,14.42,14.42,3729
1569609900000,14.425,14.43,14.42,14.42,4171
1569610800000,14.43,14.43,14.4,14.42,6023
1569611700000,14.42,14.45,14.41,14.435,18544
1569612600000,14.44,14.45,14.4335,14.45,10565
1569613500000,14.44,14.45,14.415,14.425,51736
1569850200000,14.39,14.48,14.38,14.4314,23352
1569851100000,14.4303,14.4303,14.35,14.385,15972
1569852000000,14.385,14.5,14.375,14.44,19313
1569852900000,14.4504,14.4639,14.42,14.43,7081
1569853800000,14.4256,14.43,14.42,14.43,2882
1569854700000,14.42,14.435,14.42,14.435,2130
1569855600000,14.43,14.44,14.42,14.435,3600
1569856500000,14.4399,14.45,14.43,14.43,4613
1569857400000,14.43,14.43,14.38,14.38,6714
1569858300000,14.3841,14.3856,14.355,14.355,5483
1569859200000,14.355,14.3884,14.35,14.3884,7437
1569860100000,14.38,14.39,14.38,14.38,3200
1569861000000,14.38,14.3833,14.37,14.377,2508
1569861900000,14.38,14.38,14.375,14.375,1427
1569862800000,14.3767,14.4,14.37,14.39,1500
1569863700000,14.4,14.4,14.38,14.385,1300
1569864600000,14.385,14.39,14.38,14.38,1115
1569865500000,14.38,14.38,14.38,14.38,200
1569866400000,14.38,14.39,14.36,14.39,11094
1569867300000,14.3825,14.3825,14.365,14.365,1956
1569868200000,14.36,14.37,14.36,14.37,1500
1569869100000,14.38,14.4,14.36,14.39,7960
1569870000000,14.395,14.445,14.39,14.44,5820
1569870900000,14.44,14.475,14.4368,14.445,6613
1569871800000,14.44,14.44,14.43,14.435,3879
1569872700000,14.43,14.45,14.395,14.41,32202
1569936600000,14.42,14.47,14.41,14.42,6608
1569937500000,14.4226,14.4226,14.38,14.4,6079
1569938400000,14.39,14.39,14.31,14.31,3800
1569939300000,14.31,14.34,14.3,14.33,8468
1569940200000,14.35,14.39,14.33,14.34,9600
1569941100000,14.3327,14.38,14.33,14.36,8397
1569942000000,14.36,14.39,14.36,14.39,9497
1569942900000,14.39,14.42,14.38,14.42,1500
1569943800000,14.42,14.42,14.31,14.315,33234
1569944700000,14.315,14.3199,14.3,14.3,9566
1569945600000,14.315,14.315,14.275,14.275,10174
1569946500000,14.27,14.285,14.27,14.285,8444
1569947400000,14.285,14.29,14.28,14.285,1568
1569948300000,14.285,14.29,14.265,14.265,10800
1569949200000,14.2651,14.2805,14.25,14.27,9928
1569950100000,14.275,14.28,14.2549,14.27,6138
1569951000000,14.27,14.27,14.2,14.21,12194
1569951900000,14.209,14.215,14.2,14.2,1550
1569952800000,14.2,14.2,14.1668,14.175,11452
1569953700000,14.175,14.18,14.155,14.155,5655
1569954600000,14.16,14.18,14.16,14.175,5478
1569955500000,14.1756,14.176,14.16,14.16,5950
1569956400000,14.16,14.19,14.15,14.18,12327
1569957300000,14.185,14.19,14.18,14.18,16436
1569958200000,14.1846,14.185,14.14,14.1567,19518
1569959100000,14.155,14.16,14.14,14.15,24292
1570023000000,14.11,14.13,13.88,13.89,62637
1570023900000,13.91,13.92,13.73,13.75,30194
1570024800000,13.78,13.86,13.73,13.845,58314
1570025700000,13.85,13.92,13.85,13.85,23240
1570026600000,13.84,13.84,13.77,13.78,14160
1570027500000,13.785,13.85,13.785,13.83,18504
1570028400000,13.84,13.88,13.81,13.815,28646
1570029300000,13.83,13.83,13.77,13.8,22556
1570030200000,13.8,13.8,13.78,13.795,7944
1570031100000,13.795,13.8511,13.79,13.805,22399
1570032000000,13.805,13.81,13.78,13.78,5600
1570032900000,13.79,13.8,13.78,13.78,5921
1570033800000,13.78,13.8099,13.78,13.795,13450
1570034700000,13.79,13.82,13.79,13.805,8582
1570035600000,13.83,13.87,13.81,13.81,21927
1570036500000,13.81,13.8284,13.77,13.79,46401
1570037400000,13.79,13.79,13.72,13.73,56319
1570038300000,13.74,13.775,13.7346,13.765,8630
1570039200000,13.76,13.81,13.76,13.805,7234
1570040100000,13.805,13.81,13.8,13.8,6331
