datetime,open,high,low,close,volume
1591968600000,2.5,2.65,2.47,2.49,606092
1591969500000,2.49,2.52,2.41,2.49,116814
1591970400000,2.4801,2.49,2.42,2.46,95157
1591971300000,2.44,2.4599,2.35,2.4399,146248
1591972200000,2.4329,2.4329,2.25,2.33,159344
1591973100000,2.3301,2.37,2.3,2.3501,100096
1591974000000,2.3699,2.3699,2.21,2.273,387902
1591974900000,2.2638,2.28,2.22,2.24,109226
1591975800000,2.2599,2.3499,2.25,2.285,117813
1591976700000,2.28,2.35,2.27,2.31,17901
1591977600000,2.31,2.34,2.28,2.32,63508
1591978500000,2.3161,2.32,2.28,2.28,29805
1591979400000,2.29,2.3,2.28,2.2899,30405
1591980300000,2.28,2.31,2.28,2.31,38820
1591981200000,2.3002,2.3099,2.2601,2.2601,53519
1591982100000,2.26,2.28,2.26,2.275,43066
1591983000000,2.2799,2.28,2.27,2.28,22834
1591983900000,2.28,2.28,2.22,2.2201,119529
1591984800000,2.227,2.26,2.22,2.25,33570
1591985700000,2.25,2.26,2.23,2.2399,51843
1591986600000,2.24,2.27,2.2399,2.26,28631
1591987500000,2.2602,2.28,2.26,2.2639,51375
1591988400000,2.2699,2.27,2.25,2.25,34580
1591989300000,2.25,2.26,2.23,2.25,43361
1591990200000,2.25,2.25,2.21,2.25,77647
1591991100000,2.2499,2.28,2.21,2.2416,217841
