datetime,open,high,low,close,volume
1569504600000,19.91,19.95,19.81,19.8213,391116
1569505500000,19.82,19.91,19.67,19.72,306851
1569506400000,19.72,19.7772,19.69,19.69,144591
1569507300000,19.69,19.72,19.63,19.66,138324
1569508200000,19.6539,19.66,19.585,19.64,116124
1569509100000,19.64,19.665,19.63,19.665,66146
1569510000000,19.66,19.688,19.62,19.67,89534
1569510900000,19.665,19.67,19.65,19.665,37049
1569511800000,19.6671,19.67,19.65,19.6633,60158
1569512700000,19.665,19.665,19.6133,19.62,63436
1569513600000,19.615,19.685,19.615,19.655,34055
1569514500000,19.66,19.67,19.65,19.6649,30538
1569515400000,19.66,19.68,19.6509,19.675,22314
1569516300000,19.68,19.715,19.66,19.705,45433
1569517200000,19.705,19.72,19.69,19.6976,24174
1569518100000,19.7,19.725,19.7,19.705,20598
1569519000000,19.705,19.7194,19.69,19.7,49855
1569519900000,19.7,19.71,19.68,19.695,56009
1569520800000,19.695,19.72,19.69,19.705,64974
1569521700000,19.705,19.71,19.68,19.7,28051
1569522600000,19.6956,19.73,19.69,19.73,32110
1569523500000,19.73,19.73,19.705,19.705,27578
1569524400000,19.705,19.73,19.69,19.71,133267
1569525300000,19.7126,19.76,19.71,19.74,54529
1569526200000,19.735,19.74,19.7,19.705,44993
1569527100000,19.705,19.7069,19.66,19.67,194690
1569591000000,19.69,19.76,19.64,19.65,66348
1569591900000,19.655,19.66,19.61,19.61,45460
1569592800000,19.61,19.64,19.52,19.555,88534
1569593700000,19.555,19.58,19.545,19.58,62584
1569594600000,19.58,19.65,19.5706,19.6254,33771
1569595500000,19.63,19.66,19.6101,19.655,23797
1569596400000,19.654,19.66,19.63,19.63,39373
1569597300000,19.63,19.65,19.615,19.6381,59169
1569598200000,19.635,19.635,19.54,19.545,66483
1569599100000,19.54,19.55,19.48,19.505,95609
1569600000000,19.505,19.51,19.47,19.4887,38593
1569600900000,19.49,19.505,19.48,19.49,52632
1569601800000,19.49,19.5,19.48,19.49,26012
1569602700000,19.485,19.495,19.465,19.47,59325
1569603600000,19.47,19.5,19.46,19.475,66329
1569604500000,19.475,19.4956,19.44,19.46,59890
1569605400000,19.46,19.465,19.42,19.42,39846
1569606300000,19.4218,19.45,19.41,19.45,50839
1569607200000,19.45,19.45,19.43,19.44,36883
1569608100000,19.44,19.4451,19.42,19.44,45078
1569609000000,19.44,19.44,19.42,19.425,34548
1569609900000,19.4228,19.43,19.41,19.42,19829
1569610800000,19.425,19.43,19.39,19.4,64813
1569611700000,19.4,19.41,19.39,19.3917,26989
1569612600000,19.39,19.41,19.38,19.39,105285
1569613500000,19.4,19.44,19.395,19.44,166040
1569850200000,19.43,19.45,19.305,19.315,129933
1569851100000,19.31,19.345,19.25,19.345,109973
1569852000000,19.34,19.36,19.31,19.3599,55481
1569852900000,19.36,19.37,19.315,19.3276,106529
1569853800000,19.33,19.34,19.32,19.3356,37049
1569854700000,19.3312,19.34,19.3,19.305,73149
1569855600000,19.31,19.325,19.3,19.305,33178
1569856500000,19.3,19.305,19.26,19.29,46086
1569857400000,19.285,19.3,19.265,19.3,58411
1569858300000,19.3,19.32,19.29,19.32,40088
1569859200000,19.32,19.45,19.32,19.4419,117038
1569860100000,19.445,19.475,19.445,19.475,55651
1569861000000,19.475,19.49,19.465,19.47,23855
1569861900000,19.47,19.49,19.465,19.48,32011
1569862800000,19.48,19.49,19.465,19.465,21731
1569863700000,19.46,19.465,19.43,19.45,35714
1569864600000,19.445,19.445,19.425,19.435,18705
1569865500000,19.43,19.4372,19.42,19.425,21834
1569866400000,19.43,19.45,19.41,19.445,37979
1569867300000,19.44,19.445,19.395,19.41,34565
1569868200000,19.41,19.42,19.39,19.4133,20706
1569869100000,19.41,19.45,19.4025,19.435,37325
1569870000000,19.44,19.48,19.43,19.47,48274
1569870900000,19.47,19.495,19.46,19.49,41587
1569871800000,19.49,19.49,19.46,19.48,96251
1569872700000,19.48,19.575,19.48,19.56,346557
1569936600000,19.52,19.67,19.52,19.655,120158
1569937500000,19.66,19.69,19.645,19.68,63194
1569938400000,19.67,19.68,19.545,19.55,54597
1569939300000,19.55,19.6,19.51,19.6,74808
1569940200000,19.6,19.61,19.56,19.565,45930
1569941100000,19.57,19.67,19.57,19.651,42321
1569942000000,19.65,19.655,19.62,19.655,40641
1569942900000,19.65,19.75,19.65,19.74,54286
1569943800000,19.74,19.78,19.74,19.745,45598
1569944700000,19.75,19.75,19.72,19.74,29262
1569945600000,19.74,19.74,19.695,19.705,34187
1569946500000,19.705,19.73,19.685,19.725,27124
1569947400000,19.73,19.74,19.72,19.735,21331
1569948300000,19.74,19.74,19.69,19.695,23452
1569949200000,19.695,19.695,19.63,19.63,40908
1569950100000,19.625,19.6261,19.6,19.6,24406
1569951000000,19.6,19.6,19.555,19.57,34888
1569951900000,19.56,19.57,19.53,19.53,32594
1569952800000,19.53,19.56,19.51,19.56,52798
1569953700000,19.56,19.565,19.53,19.54,48821
1569954600000,19.545,19.58,19.54,19.58,79366
1569955500000,19.58,19.6,19.58,19.6,38173
1569956400000,19.595,19.62,19.59,19.61,39472
1569957300000,19.61,19.66,19.61,19.66,57173
1569958200000,19.65,19.655,19.62,19.64,60832
1569959100000,19.645,19.69,19.63,19.66,206115
1570023000000,19.56,19.64,19.5,19.635,92987
1570023900000,19.635,19.66,19.45,19.5,112336
1570024800000,19.5,19.51,19.43,19.455,118429
1570025700000,19.45,19.48,19.41,19.41,97652
1570026600000,19.42,19.42,19.325,19.34,105911
1570027500000,19.34,19.375,19.33,19.37,69838
1570028400000,19.365,19.43,19.36,19.42,88183
1570029300000,19.42,19.43,19.39,19.4,30303
1570030200000,19.395,19.4,19.3244,19.3244,60721
1570031100000,19.325,19.35,19.32,19.34,38772
1570032000000,19.33,19.34,19.27,19.285,94494
1570032900000,19.285,19.285,19.23,19.2763,122227
1570033800000,19.275,19.29,19.22,19.25,64079
1570034700000,19.2539,19.275,19.235,19.27,36050
1570035600000,19.26,19.32,19.26,19.3,26621
1570036500000,19.305,19.305,19.27,19.29,22647
1570037400000,19.3,19.32,19.27,19.3055,36785
1570038300000,19.305,19.34,19.28,19.335,23649
1570039200000,19.335,19.35,19.32,19.345,29011
1570040100000,19.34,19.37,19.34,19.35,22880
1570041000000,19.35,19.39,19.345,19.38,21715
1570041900000,19.375,19.39,19.365,19.365,28811
1570042800000,19.365,19.365,19.315,19.345,52313
1570043700000,19.34,19.345,19.3,19.3,55900
1570044600000,19.3,19.36,19.29,19.335,91733
1570045500000,19.33,19.36,19.315,19.36,159519
1570109400000,19.48,19.7,19.44,19.65,170529
1570110300000,19.6579,19.69,19.64,19.66,55572
1570111200000,19.66,19.66,19.415,19.4481,139481
1570112100000,19.44,19.47,19.4,19.43,97204
1570113000000,19.44,19.46,19.42,19.42,77127
1570113900000,19.42,19.48,19.415,19.45,93756
1570114800000,19.45,19.53,19.45,19.53,54954
1570115700000,19.53,19.5801,19.52,19.56,48811
1570116600000,19.5501,19.5545,19.5,19.52,15675
1570117500000,19.525,19.525,19.5,19.525,12744
1570118400000,19.52,19.61,19.52,19.605,36981
1570119300000,19.61,19.61,19.565,19.58,34080
1570120200000,19.59,19.65,19.587,19.62,57340
1570121100000,19.63,19.65,19.62,19.625,27216
1570122000000,19.6238,19.635,19.615,19.6302,17298
1570122900000,19.635,19.64,19.6,19.62,45615
1570123800000,19.62,19.64,19.605,19.635,25806
1570124700000,19.635,19.65,19.6,19.6,62083
1570125600000,19.6,19.605,19.57,19.58,26527
1570126500000,19.58,19.62,19.57,19.62,25345
1570127400000,19.615,19.64,19.615,19.63,22514
1570128300000,19.62,19.63,19.57,19.58,29578
1570129200000,19.59,19.61,19.58,19.59,20077
1570130100000,19.59,19.6,19.58,19.59,23912
1570131000000,19.59,19.62,19.58,19.615,38476
1570131900000,19.62,19.63,19.58,19.62,339581
1570195800000,19.63,19.6921,19.61,19.69,38059
1570196700000,19.6814,19.71,19.67,19.7,40164
1570197600000,19.71,19.73,19.7,19.7,48599
1570198500000,19.69,19.705,19.66,19.66,33297
1570199400000,19.66,19.68,19.64,19.675,20524
1570200300000,19.67,19.705,19.67,19.69,36921
1570201200000,19.69,19.7204,19.68,19.72,23122
1570202100000,19.72,19.75,19.72,19.7301,29727
1570203000000,19.74,19.75,19.73,19.745,24865
1570203900000,19.745,19.76,19.73,19.75,32585
1570204800000,19.755,19.755,19.69,19.6958,22904
