datetime,open,high,low,close,volume
1569504600000,14.21,14.3181,14.2,14.2906,17652
1569505500000,14.2891,14.3,14.2,14.23,17908
1569506400000,14.24,14.27,14.23,14.27,3255
1569507300000,14.26,14.27,14.23,14.23,3864
1569508200000,14.24,14.255,14.22,14.23,4778
1569509100000,14.23,14.265,14.22,14.265,5487
1569510000000,14.265,14.305,14.26,14.3,12215
1569510900000,14.3,14.33,14.29,14.32,9427
1569511800000,14.325,14.38,14.325,14.37,8862
1569512700000,14.37,14.37,14.33,14.33,2652
1569513600000,14.33,14.34,14.31,14.33,6648
1569514500000,14.325,14.33,14.32,14.32,4028
1569515400000,14.32,14.33,14.32,14.325,7000
1569516300000,14.32,14.37,14.32,14.35,8310
1569517200000,14.34,14.35,14.34,14.345,800
1569518100000,14.345,14.35,14.34,14.345,2526
1569519000000,14.35,14.3899,14.35,14.385,5824
1569519900000,14.39,14.395,14.375,14.39,11065
1569520800000,14.39,14.45,14.385,14.44,19026
1569521700000,14.44,14.45,14.42,14.42,8323
1569522600000,14.41,14.43,14.41,14.4267,3352
1569523500000,14.43,14.44,14.425,14.425,7800
1569524400000,14.425,14.47,14.425,14.465,25044
1569525300000,14.465,14.48,14.45,14.47,23356
1569526200000,14.47,14.48,14.46,14.47,20641
1569527100000,14.47,14.47,14.43,14.43,29863
1569591000000,14.45,14.49,14.36,14.486,11830
1569591900000,14.5,14.5,14.41,14.46,7684
1569592800000,14.44,14.47,14.4,14.43,8555
1569593700000,14.43,14.43,14.36,14.38,5159
1569594600000,14.39,14.4,14.37,14.38,4724
1569595500000,14.39,14.4,14.37,14.38,4726
1569596400000,14.38,14.41,14.38,14.41,15614
1569597300000,14.42,14.42,14.405,14.42,2454
1569598200000,14.415,14.49,14.39,14.445,37427
1569599100000,14.45,14.47,14.43,14.43,2500
1569600000000,14.43,14.47,14.42,14.455,14732
1569600900000,14.46,14.465,14.44,14.44,6050
1569601800000,14.435,14.44,14.415,14.425,5711
1569602700000,14.425,14.44,14.415,14.42,22432
1569603600000,14.415,14.45,14.41,14.45,14086
1569604500000,14.45,14.46,14.39,14.4,25856
1569605400000,14.4,14.41,14.38,14.4,3427
1569606300000,14.4,14.41,14.38,14.405,4790
1569607200000,14.41,14.41,14.36,14.36,3119
1569608100000,14.36,14.38,14.35,14.36,9360
1569609000000,14.36,14.385,14.35,14.35,3814
1569609900000,14.35,14.3561,14.33,14.34,6872
1569610800000,14.34,14.35,14.31,14.33,6245
1569611700000,14.33,14.35,14.33,14.33,6579
1569612600000,14.33,14.37,14.33,14.355,7464
1569613500000,14.35,14.38,14.34,14.38,27754
1569850200000,14.4,14.49,14.4,14.42,4354
1569851100000,14.4543,14.46,14.42,14.42,4290
1569852000000,14.42,14.43,14.36,14.37,7978
1569852900000,14.35,14.36,14.31,14.33,8581
1569853800000,14.33,14.34,14.31,14.32,9030
1569854700000,14.32,14.37,14.32,14.36,4497
1569855600000,14.37,14.4,14.36,14.37,33323
1569856500000,14.37,14.38,14.3563,14.375,8123
1569857400000,14.37,14.42,14.365,14.4172,9753
1569858300000,14.42,14.4219,14.39,14.39,6141
1569859200000,14.395,14.41,14.38,14.38,5290
1569860100000,14.39,14.43,14.39,14.43,9059
1569861000000,14.4238,14.43,14.4,14.43,7445
1569861900000,14.43,14.43,14.41,14.41,2729
1569862800000,14.42,14.4248,14.4143,14.42,7812
1569863700000,14.43,14.43,14.42,14.425,2261
1569864600000,14.42,14.43,14.41,14.42,3266
1569865500000,14.42,14.43,14.42,14.425,1800
1569866400000,14.425,14.455,14.425,14.45,8318
1569867300000,14.455,14.48,14.44,14.47,19272
1569868200000,14.465,14.48,14.465,14.47,1700
1569869100000,14.4799,14.4799,14.45,14.46,4894
1569870000000,14.45,14.48,14.45,14.4799,8100
1569870900000,14.475,14.49,14.45,14.46,10496
1569871800000,14.45,14.455,14.44,14.45,10099
1569872700000,14.445,14.45,14.38,14.38,43762
