datetime,open,high,low,close,volume
1569504600000,45.91,45.91,45.21,45.31,15705
1569505500000,45.41,45.67,45.31,45.49,7248
1569506400000,45.61,45.73,45.3,45.32,4500
1569507300000,45.36,45.55,45.26,45.54,5272
1569508200000,45.51,45.64,45.46,45.53,7131
1569509100000,45.56,45.63,45.29,45.345,7897
1569510000000,45.39,45.39,45.02,45.03,6932
1569510900000,45.055,45.1939,44.955,45.08,8013
1569511800000,45.06,45.235,44.89,45.09,5586
1569512700000,45.08,45.08,44.945,44.98,4601
1569513600000,44.92,45.02,44.8,44.98,6486
1569514500000,45.0352,45.41,44.98,45.3601,11097
1569515400000,45.37,45.71,45.37,45.69,2819
1569516300000,45.63,45.63,45.39,45.39,2772
1569517200000,45.5,45.58,45.41,45.49,3047
1569518100000,45.45,45.45,45.35,45.405,3043
1569519000000,45.39,45.59,45.385,45.561,5324
1569519900000,45.54,45.65,45.49,45.65,3506
1569520800000,45.695,45.72,45.605,45.72,3077
1569521700000,45.72,45.8,45.61,45.665,4532
1569522600000,45.69,45.81,45.665,45.74,4185
1569523500000,45.74,45.77,45.58,45.59,10644
1569524400000,45.61,45.66,45.55,45.6,10002
1569525300000,45.6,45.6,45.38,45.49,10985
1569526200000,45.51,45.59,45.46,45.59,10349
1569527100000,45.595,45.595,45.37,45.54,34542
1569591000000,45.08,46.1,45.08,45.85,4680
1569591900000,46.01,46.19,45.68,45.81,2758
1569592800000,45.74,45.9,45.505,45.68,7650
1569593700000,45.77,46.1,45.72,46.1,2103
1569594600000,46.12,46.24,46.05,46.11,3171
1569595500000,45.96,46.04,45.83,45.98,3002
1569596400000,45.96,46.05,45.88,45.91,5731
1569597300000,45.82,45.89,45.71,45.71,1401
1569598200000,45.745,45.89,45.34,45.53,5138
1569599100000,45.54,45.79,45.47,45.79,1600
1569600000000,45.745,45.745,45.54,45.54,1050
1569600900000,45.57,45.63,45.475,45.52,2941
1569601800000,45.51,45.7089,45.46,45.63,2489
1569602700000,45.51,45.55,45.285,45.35,4002
1569603600000,45.29,45.39,45.23,45.33,3626
1569604500000,45.33,45.52,45.25,45.51,11687
1569605400000,45.55,45.63,45.47,45.6011,5482
1569606300000,45.54,45.71,45.44,45.71,10850
1569607200000,45.725,45.775,45.61,45.775,4470
1569608100000,45.812,46.1,45.812,45.96,49209
1569609000000,45.96,45.96,45.74,45.8,7271
1569609900000,45.81,45.88,45.72,45.77,3213
1569610800000,45.82,45.84,45.64,45.69,4558
1569611700000,45.69,45.82,45.69,45.76,4073
1569612600000,45.76,45.89,45.76,45.87,6183
1569613500000,45.9,45.93,45.72,45.87,35687
1569850200000,45.82,46.1,45.727,46.05,15590
1569851100000,45.885,46.0,45.74,45.895,11404
1569852000000,45.9,46.18,45.78,46.18,4052
1569852900000,46.16,46.375,46.16,46.3647,9154
1569853800000,46.42,46.445,46.15,46.34,3899
1569854700000,46.2644,46.37,46.23,46.37,1500
1569855600000,46.32,46.32,46.07,46.24,3640
1569856500000,46.07,46.1,45.9,45.95,11238
1569857400000,45.92,46.07,45.9,46.065,5044
1569858300000,46.01,46.07,45.93,45.93,11029
1569859200000,45.995,46.1311,45.92,45.95,2250
1569860100000,46.04,46.35,45.97,46.35,6002
1569861000000,46.36,46.41,46.25,46.25,2279
1569861900000,46.24,46.25,46.15,46.19,1900
1569862800000,46.23,46.35,46.23,46.35,2045
1569863700000,46.34,46.38,46.2448,46.3544,5980
1569864600000,46.31,46.47,46.24,46.465,4632
1569865500000,46.51,46.59,46.38,46.45,1959
1569866400000,46.46,46.58,46.37,46.425,8004
1569867300000,46.42,46.46,46.14,46.2,14165
1569868200000,46.2008,46.37,46.2008,46.37,2100
1569869100000,46.32,46.59,46.32,46.51,5722
1569870000000,46.52,46.62,46.49,46.6,7296
1569870900000,46.59,46.74,46.59,46.68,8602
1569871800000,46.7,46.71,46.56,46.585,17628
1569872700000,46.6,46.69,46.46,46.63,63525
1569936600000,46.94,47.0907,46.41,47.0,25079
1569937500000,46.985,47.25,46.985,47.03,8670
1569938400000,47.0,47.01,46.18,46.2,4494
1569939300000,46.105,46.25,45.8,45.97,18085
1569940200000,45.91,46.07,45.77,45.82,13843
1569941100000,45.87,45.9,45.09,45.09,26066
1569942000000,45.05,45.215,45.01,45.07,9996
1569942900000,45.0,45.16,44.93,45.01,8533
1569943800000,45.0,45.07,44.82,44.88,6901
1569944700000,44.89,44.96,44.8,44.86,10459
1569945600000,44.84,44.91,44.62,44.62,7445
1569946500000,44.625,44.68,44.42,44.45,6273
1569947400000,44.48,44.53,44.46,44.5,7524
1569948300000,44.5,44.625,44.4306,44.4306,3878
1569949200000,44.41,44.5,44.36,44.3991,3618
1569950100000,44.35,44.3504,44.12,44.15,6671
1569951000000,44.13,44.2,44.01,44.135,9227
1569951900000,44.13,44.13,44.01,44.072,9208
1569952800000,44.03,44.03,43.78,43.85,30545
1569953700000,43.85,43.978,43.75,43.9509,7825
1569954600000,43.935,44.22,43.935,44.14,6320
1569955500000,44.19,44.285,44.1,44.27,5643
1569956400000,44.275,44.275,44.13,44.14,6585
1569957300000,44.14,44.3,44.14,44.23,12879
1569958200000,44.21,44.21,43.97,44.2,14524
1569959100000,44.23,44.23,43.91,43.97,54749
1570023000000,43.75,43.86,43.12,43.515,18413
1570023900000,43.57,43.73,43.42,43.52,7000
1570024800000,43.55,44.25,43.53,44.1838,9093
1570025700000,44.17,44.38,44.09,44.32,5710
1570026600000,44.11,44.11,43.52,43.83,7482
1570027500000,43.78,43.88,43.56,43.77,7100
1570028400000,43.74,43.94,43.5,43.575,5477
1570029300000,43.58,43.71,43.36,43.485,11102
1570030200000,43.53,43.53,43.2,43.34,5281
1570031100000,43.35,43.43,43.22,43.29,7898
