datetime,open,high,low,close,volume
1569504600000,18.31,18.34,18.28,18.34,3348
1569505500000,18.34,18.4,18.34,18.385,3610
1569506400000,18.37,18.39,18.33,18.34,4353
1569507300000,18.33,18.3395,18.24,18.24,3075
1569508200000,18.25,18.29,18.25,18.26,1550
1569509100000,18.26,18.29,18.25,18.26,3252
1569510000000,18.25,18.25,18.19,18.2065,1969
1569510900000,18.19,18.2136,18.18,18.2,1932
1569511800000,18.2,18.316,18.2,18.3,3754
1569512700000,18.3,18.31,18.28,18.3,2104
1569513600000,18.305,18.35,18.3004,18.31,4356
1569514500000,18.31,18.32,18.29,18.31,2821
1569515400000,18.32,18.33,18.3,18.3,3077
1569516300000,18.3,18.32,18.295,18.3,1496
1569517200000,18.28,18.28,18.255,18.28,1957
1569518100000,18.2762,18.28,18.26,18.28,1908
1569519000000,18.28,18.315,18.28,18.3,5494
1569519900000,18.305,18.32,18.29,18.32,3642
1569520800000,18.33,18.38,18.32,18.36,4865
1569521700000,18.37,18.38,18.34,18.34,2653
1569522600000,18.32,18.35,18.32,18.34,4183
1569523500000,18.34,18.35,18.31,18.31,2329
1569524400000,18.32,18.3425,18.31,18.325,3871
1569525300000,18.32,18.345,18.32,18.335,9299
1569526200000,18.335,18.35,18.325,18.33,6019
1569527100000,18.33,18.33,18.28,18.32,18690
1569591000000,18.24,18.38,18.24,18.38,5798
1569591900000,18.36,18.45,18.34,18.34,1003
1569592800000,18.325,18.345,18.31,18.31,1304
1569593700000,18.3087,18.33,18.3,18.3181,1578
1569594600000,18.3034,18.325,18.3034,18.325,400
1569595500000,18.35,18.35,18.34,18.34,400
1569596400000,18.34,18.34,18.29,18.3,1364
1569597300000,18.32,18.39,18.32,18.39,2000
1569598200000,18.4,18.44,18.34,18.35,16153
1569599100000,18.33,18.3647,18.3,18.345,4575
1569600000000,18.334,18.35,18.31,18.3211,1265
1569600900000,18.31,18.34,18.26,18.29,4320
1569601800000,18.275,18.29,18.275,18.285,915
1569602700000,18.28,18.3,18.25,18.25,1703
