datetime,open,high,low,close,volume
1569504600000,21.55,21.55,21.49,21.51,6437
1569505500000,21.535,21.56,21.5,21.56,1400
1569506400000,21.58,21.6,21.52,21.575,8828
1569507300000,21.57,21.58,21.53,21.54,2525
1569508200000,21.54,21.555,21.53,21.54,2400
1569509100000,21.53,21.53,21.47,21.48,3049
1569510000000,21.48,21.48,21.45,21.45,4319
1569510900000,21.43,21.47,21.4,21.46,8227
1569511800000,21.48,21.62,21.48,21.62,5975
1569512700000,21.625,21.625,21.54,21.605,6903
1569513600000,21.61,21.66,21.61,21.63,4808
1569514500000,21.62,21.65,21.62,21.64,3237
1569515400000,21.63,21.68,21.63,21.655,9375
1569516300000,21.655,21.67,21.62,21.62,2770
1569517200000,21.62,21.64,21.62,21.625,3610
1569518100000,21.6172,21.6172,21.55,21.55,4295
1569519000000,21.56,21.56,21.53,21.56,3214
1569519900000,21.57,21.57,21.52,21.53,6597
1569520800000,21.53,21.67,21.52,21.63,9908
1569521700000,21.625,21.63,21.57,21.57,4243
1569522600000,21.56,21.59,21.56,21.59,3705
1569523500000,21.61,21.63,21.6,21.6,2685
1569524400000,21.615,21.615,21.57,21.57,2157
1569525300000,21.59,21.62,21.58,21.615,8898
1569526200000,21.6,21.6,21.58,21.58,5600
1569527100000,21.58,21.64,21.575,21.58,26937
1569591000000,21.68,21.81,21.66,21.81,24206
1569591900000,21.75,21.785,21.75,21.7699,2370
1569592800000,21.71,21.79,21.69,21.78,7585
1569593700000,21.8,21.8,21.77,21.78,1103
1569594600000,21.77,21.82,21.77,21.82,2224
1569595500000,21.82,21.83,21.79,21.795,2125
1569596400000,21.79,21.79,21.73,21.77,6253
1569597300000,21.76,21.785,21.75,21.77,1646
1569598200000,21.78,21.81,21.7,21.755,5272
1569599100000,21.71,21.74,21.68,21.74,5307
1569600000000,21.7,21.735,21.69,21.731,13509
1569600900000,21.72,21.72,21.56,21.57,12215
1569601800000,21.58,21.635,21.57,21.59,19004
1569602700000,21.56,21.56,21.5,21.5,2926
1569603600000,21.5,21.6,21.5,21.6,1925
1569604500000,21.61,21.64,21.58,21.64,6250
1569605400000,21.65,21.725,21.64,21.68,6964
1569606300000,21.68,21.71,21.66,21.71,2300
1569607200000,21.7,21.715,21.67,21.68,3896
1569608100000,21.68,21.71,21.66,21.69,5520
1569609000000,21.69,21.72,21.68,21.7,4623
1569609900000,21.7,21.74,21.65,21.65,10764
1569610800000,21.65,21.66,21.61,21.625,11689
1569611700000,21.62,21.65,21.615,21.64,9357
1569612600000,21.635,21.695,21.635,21.69,13802
1569613500000,21.695,21.79,21.695,21.77,74385
1569850200000,21.77,21.86,21.77,21.78,4712
1569851100000,21.815,21.815,21.66,21.66,13360
